district,month,cases_registered,vehicles_seized,persons_arrested,notices_served
Cuttack,2020-12,7,11,9,13
Kalahandi,2020-12,3,4,3,7
Bhubaneswar,2021-01,5,9,9,9
Ganjam,2021-01,32,38,40,59
Koraput,2021-01,5,11,6,12
Sambalpur,2021-01,27,36,31,55
Puri,2021-01,10,18,10,27
Balasore,2021-01,18,32,18,45
Rourkela,2021-01,32,40,39,55
Mayurbhanj,2021-01,5,6,5,5
Cuttack,2021-01,2,3,3,5
Kalahandi,2021-01,3,5,5,8
Bhubaneswar,2021-02,3,5,6,4
Ganjam,2021-02,22,39,30,64
Koraput,2021-02,5,8,5,16
Sambalpur,2021-02,20,26,30,46
Puri,2021-02,6,18,6,16
Balasore,2021-02,23,38,23,41
Rourkela,2021-02,35,60,35,58
Mayurbhanj,2021-02,4,3,6,8
Cuttack,2021-02,4,6,4,5
Kalahandi,2021-02,5,17,5,7
Bhubaneswar,2021-03,4,6,4,13
Ganjam,2021-03,27,40,28,53
Koraput,2021-03,4,6,5,5
Sambalpur,2021-03,25,24,30,50
Puri,2021-03,7,14,9,20
Balasore,2021-03,31,53,31,62
Rourkela,2021-03,21,21,22,40
Mayurbhanj,2021-03,7,6,7,17
Cuttack,2021-03,5,9,10,7
Kalahandi,2021-03,0,2,1,1
Bhubaneswar,2021-04,11,13,11,21
Ganjam,2021-04,35,41,45,70
Koraput,2021-04,4,10,4,12
Sambalpur,2021-04,19,34,19,41
Puri,2021-04,6,9,6,14
Balasore,2021-04,24,39,26,54
Rourkela,2021-04,48,83,49,92
Mayurbhanj,2021-04,4,4,4,8
Cuttack,2021-04,1,1,2,2
Kalahandi,2021-04,1,1,2,2
Bhubaneswar,2021-05,5,8,7,15
Ganjam,2021-05,31,47,44,62
Koraput,2021-05,6,7,6,11
Sambalpur,2021-05,26,50,32,49
Puri,2021-05,6,13,6,10
Balasore,2021-05,25,32,31,61
Rourkela,2021-05,27,35,38,48
Mayurbhanj,2021-05,3,2,5,9
Cuttack,2021-05,11,17,11,16
Kalahandi,2021-05,2,3,3,5
Bhubaneswar,2021-06,9,14,9,18
Ganjam,2021-06,32,42,37,68
Koraput,2021-06,3,2,3,5
Sambalpur,2021-06,18,27,18,41
Puri,2021-06,8,9,8,16
Balasore,2021-06,15,18,15,24
Rourkela,2021-06,33,40,33,57
Mayurbhanj,2021-06,4,3,4,8
Cuttack,2021-06,6,9,6,16
Kalahandi,2021-06,3,4,3,4
Bhubaneswar,2021-07,9,17,12,10
Ganjam,2021-07,34,47,41,58
Koraput,2021-07,3,2,4,10
Sambalpur,2021-07,25,39,34,34
Puri,2021-07,6,7,6,12
Balasore,2021-07,19,25,26,38
Rourkela,2021-07,40,67,40,77
Mayurbhanj,2021-07,4,6,4,8
Cuttack,2021-07,2,3,3,5
Kalahandi,2021-07,4,10,5,11
Bhubaneswar,2021-08,5,7,5,7
Ganjam,2021-08,16,27,16,22
Koraput,2021-08,4,6,5,8
Sambalpur,2021-08,20,36,27,37
Puri,2021-08,3,5,4,7
Balasore,2021-08,18,26,18,36
Rourkela,2021-08,34,51,38,50
Mayurbhanj,2021-08,6,5,10,18
Cuttack,2021-08,3,3,3,9
Kalahandi,2021-08,5,3,5,11
Bhubaneswar,2021-09,6,12,7,10
Ganjam,2021-09,42,61,42,79
Koraput,2021-09,7,9,7,13
Sambalpur,2021-09,16,28,18,37
Puri,2021-09,9,11,9,26
Balasore,2021-09,12,12,12,28
Rourkela,2021-09,36,55,44,79
Mayurbhanj,2021-09,4,9,4,14
Cuttack,2021-09,3,6,6,5
Kalahandi,2021-09,1,2,1,1
Bhubaneswar,2021-10,5,8,7,14
Ganjam,2021-10,21,33,22,44
Koraput,2021-10,5,9,7,10
Sambalpur,2021-10,18,22,18,39
Puri,2021-10,5,4,7,11
Balasore,2021-10,19,25,19,31
Rourkela,2021-10,27,47,27,57
Mayurbhanj,2021-10,5,6,5,8
Cuttack,2021-10,4,9,5,7
Kalahandi,2021-10,1,4,1,2
Bhubaneswar,2021-11,8,11,8,19
Ganjam,2021-11,28,38,28,54
Koraput,2021-11,2,1,2,6
Sambalpur,2021-11,24,31,27,48
Puri,2021-11,6,16,8,10
Balasore,2021-11,19,24,19,34
Rourkela,2021-11,31,47,31,56
Mayurbhanj,2021-11,2,5,2,7
Cuttack,2021-11,7,13,7,20
Kalahandi,2021-11,2,2,6,4
Bhubaneswar,2021-12,12,17,13,24
Ganjam,2021-12,24,50,28,62
Koraput,2021-12,4,5,6,10
Sambalpur,2021-12,29,48,29,70
Puri,2021-12,5,4,9,10
Balasore,2021-12,17,24,22,31
Rourkela,2021-12,17,30,17,35
Mayurbhanj,2021-12,6,10,6,12
Cuttack,2021-12,4,5,5,5
Kalahandi,2021-12,6,16,8,14
Bhubaneswar,2022-01,5,7,7,8
Ganjam,2022-01,31,42,31,71
Koraput,2022-01,3,5,3,5
Sambalpur,2022-01,30,38,36,65
Puri,2022-01,5,5,11,6
Balasore,2022-01,16,23,16,29
Rourkela,2022-01,29,39,40,55
Mayurbhanj,2022-01,4,7,5,9
Cuttack,2022-01,6,11,6,11
Kalahandi,2022-01,2,8,2,4
Bhubaneswar,2022-02,3,4,4,4
Ganjam,2022-02,26,37,36,42
Koraput,2022-02,3,6,6,5
Sambalpur,2022-02,30,34,39,57
Puri,2022-02,5,7,14,9
Balasore,2022-02,20,24,25,42
Rourkela,2022-02,39,50,39,66
Mayurbhanj,2022-02,3,7,3,4
Cuttack,2022-02,7,5,9,16
Kalahandi,2022-02,2,3,2,1
Bhubaneswar,2022-03,7,15,7,16
Ganjam,2022-03,28,42,28,52
Koraput,2022-03,2,0,2,2
Sambalpur,2022-03,23,34,28,37
Puri,2022-03,6,8,8,7
Balasore,2022-03,23,37,27,40
Rourkela,2022-03,42,66,46,93
Mayurbhanj,2022-03,2,3,2,7
Cuttack,2022-03,4,7,4,11
Kalahandi,2022-03,3,2,3,2
Bhubaneswar,2022-04,1,0,3,3
Ganjam,2022-04,27,57,30,37
Koraput,2022-04,3,3,3,3
Sambalpur,2022-04,17,20,24,22
Puri,2022-04,5,4,6,14
Balasore,2022-04,20,24,20,43
Rourkela,2022-04,30,48,30,64
Mayurbhanj,2022-04,4,4,8,6
Cuttack,2022-04,2,0,2,5
Kalahandi,2022-04,0,1,2,0
Bhubaneswar,2022-05,2,1,3,5
Ganjam,2022-05,24,23,28,51
Koraput,2022-05,2,7,3,3
Sambalpur,2022-05,25,47,27,47
Puri,2022-05,7,12,7,13
Balasore,2022-05,22,36,24,42
Rourkela,2022-05,33,49,33,63
Mayurbhanj,2022-05,4,5,5,8
Cuttack,2022-05,4,6,4,6
Kalahandi,2022-05,5,7,8,7
Bhubaneswar,2022-06,9,13,11,28
Ganjam,2022-06,23,29,31,49
Koraput,2022-06,4,4,4,8
Sambalpur,2022-06,16,27,16,38
Puri,2022-06,4,6,4,12
Balasore,2022-06,18,28,18,34
Rourkela,2022-06,37,59,44,69
Mayurbhanj,2022-06,4,4,4,11
Cuttack,2022-06,7,11,7,18
Kalahandi,2022-06,0,1,1,1
Bhubaneswar,2022-07,3,6,3,5
Ganjam,2022-07,30,33,36,66
Koraput,2022-07,4,6,5,12
Sambalpur,2022-07,16,32,18,23
Puri,2022-07,3,3,6,6
Balasore,2022-07,20,31,23,43
Rourkela,2022-07,38,42,38,93
Mayurbhanj,2022-07,3,2,4,10
Cuttack,2022-07,9,14,9,12
Kalahandi,2022-07,0,4,1,0
Bhubaneswar,2022-08,5,7,5,15
Ganjam,2022-08,23,35,23,50
Koraput,2022-08,6,7,11,10
Sambalpur,2022-08,23,47,29,49
Puri,2022-08,5,9,5,13
Balasore,2022-08,22,31,25,48
Rourkela,2022-08,29,38,32,50
Mayurbhanj,2022-08,6,9,7,6
Cuttack,2022-08,2,2,3,4
Kalahandi,2022-08,3,1,4,4
Bhubaneswar,2022-09,7,7,7,14
Ganjam,2022-09,36,46,49,77
Koraput,2022-09,0,0,1,0
Sambalpur,2022-09,29,42,30,55
Puri,2022-09,6,10,6,13
Balasore,2022-09,14,15,21,24
Rourkela,2022-09,37,57,45,85
Mayurbhanj,2022-09,0,2,3,3
Cuttack,2022-09,2,0,2,3
Kalahandi,2022-09,6,9,6,8
Bhubaneswar,2022-10,6,10,7,16
Ganjam,2022-10,32,43,34,50
Koraput,2022-10,6,9,10,20
Sambalpur,2022-10,24,41,27,48
Puri,2022-10,3,9,3,3
Balasore,2022-10,20,29,20,43
Rourkela,2022-10,37,65,37,62
Mayurbhanj,2022-10,4,6,4,9
Cuttack,2022-10,5,12,5,9
Kalahandi,2022-10,1,2,3,0
Bhubaneswar,2022-11,1,0,1,6
Ganjam,2022-11,32,42,32,64
Koraput,2022-11,5,5,5,12
Sambalpur,2022-11,29,33,30,57
Puri,2022-11,6,12,7,9
Balasore,2022-11,12,19,14,18
Rourkela,2022-11,24,38,24,56
Mayurbhanj,2022-11,4,8,6,3
Cuttack,2022-11,11,9,11,20
Kalahandi,2022-11,4,9,6,11
Bhubaneswar,2022-12,8,11,9,13
Ganjam,2022-12,20,28,20,34
Koraput,2022-12,3,6,3,10
Sambalpur,2022-12,24,35,30,46
Puri,2022-12,3,2,4,6
Balasore,2022-12,16,23,16,41
Rourkela,2022-12,32,51,36,71
Mayurbhanj,2022-12,8,9,17,25
Cuttack,2022-12,5,11,5,12
Kalahandi,2022-12,1,1,1,2
Bhubaneswar,2023-01,4,4,4,9
Ganjam,2023-01,23,36,29,40
Koraput,2023-01,4,2,4,18
Sambalpur,2023-01,30,51,36,55
Puri,2023-01,5,6,7,7
Balasore,2023-01,20,30,20,52
Rourkela,2023-01,34,48,35,57
Mayurbhanj,2023-01,4,5,6,5
Cuttack,2023-01,6,10,9,14
Kalahandi,2023-01,2,2,4,9
Bhubaneswar,2023-02,5,10,9,6
Ganjam,2023-02,30,39,33,53
Koraput,2023-02,1,3,1,2
Sambalpur,2023-02,28,40,28,72
Puri,2023-02,3,3,4,6
Balasore,2023-02,27,46,31,68
Rourkela,2023-02,35,63,46,65
Mayurbhanj,2023-02,4,9,4,7
Cuttack,2023-02,2,4,2,5
Kalahandi,2023-02,2,1,2,8
Bhubaneswar,2023-03,4,4,10,8
Ganjam,2023-03,32,58,47,59
Koraput,2023-03,5,5,13,15
Sambalpur,2023-03,11,14,11,23
Puri,2023-03,7,10,8,19
Balasore,2023-03,19,27,20,27
Rourkela,2023-03,46,62,46,90
Mayurbhanj,2023-03,4,6,10,11
Cuttack,2023-03,6,3,6,13
Kalahandi,2023-03,6,8,6,10
Bhubaneswar,2023-04,4,13,6,4
Ganjam,2023-04,33,48,38,79
Koraput,2023-04,4,9,4,6
Sambalpur,2023-04,21,26,26,45
Puri,2023-04,2,0,2,2
Balasore,2023-04,18,23,18,42
Rourkela,2023-04,34,70,34,78
Mayurbhanj,2023-04,3,2,5,4
Cuttack,2023-04,4,10,4,6
Kalahandi,2023-04,3,3,5,8
Bhubaneswar,2023-05,4,4,4,12
Ganjam,2023-05,15,31,19,23
Koraput,2023-05,2,5,3,3
Sambalpur,2023-05,26,42,26,58
Puri,2023-05,6,14,6,7
Balasore,2023-05,15,31,15,21
Rourkela,2023-05,31,41,36,70
Mayurbhanj,2023-05,6,15,7,11
Cuttack,2023-05,5,5,6,12
Kalahandi,2023-05,4,4,4,11
Bhubaneswar,2023-06,8,13,8,16
Ganjam,2023-06,27,43,28,45
Koraput,2023-06,4,3,4,11
Sambalpur,2023-06,24,29,28,44
Puri,2023-06,3,2,3,8
Balasore,2023-06,16,21,16,36
Rourkela,2023-06,36,49,36,78
Mayurbhanj,2023-06,5,7,5,6
Cuttack,2023-06,6,8,6,15
Kalahandi,2023-06,3,3,3,6
Bhubaneswar,2023-07,4,5,4,5
Ganjam,2023-07,23,40,23,42
Koraput,2023-07,4,6,7,5
Sambalpur,2023-07,21,35,21,50
Puri,2023-07,9,12,9,8
Balasore,2023-07,13,22,15,23
Rourkela,2023-07,44,73,45,76
Mayurbhanj,2023-07,2,1,2,0
Cuttack,2023-07,6,13,8,8
Kalahandi,2023-07,5,14,6,7
Bhubaneswar,2023-08,7,8,7,7
Ganjam,2023-08,24,42,24,59
Koraput,2023-08,7,5,11,10
Sambalpur,2023-08,33,39,38,72
Puri,2023-08,6,7,12,12
Balasore,2023-08,22,47,22,40
Rourkela,2023-08,38,56,38,73
Mayurbhanj,2023-08,1,4,1,2
Cuttack,2023-08,6,7,6,9
Kalahandi,2023-08,3,3,3,7
Bhubaneswar,2023-09,3,1,3,5
Ganjam,2023-09,27,44,30,59
Koraput,2023-09,3,7,4,2
Sambalpur,2023-09,23,29,24,37
Puri,2023-09,5,3,5,8
Balasore,2023-09,26,28,26,42
Rourkela,2023-09,40,67,40,69
Mayurbhanj,2023-09,3,2,5,1
Cuttack,2023-09,8,13,12,13
Kalahandi,2023-09,7,11,7,7
Bhubaneswar,2023-10,3,1,4,3
Ganjam,2023-10,39,43,39,76
Koraput,2023-10,3,1,5,7
Sambalpur,2023-10,15,18,26,32
Puri,2023-10,8,12,9,14
Balasore,2023-10,16,24,24,29
Rourkela,2023-10,40,68,45,75
Mayurbhanj,2023-10,3,3,5,2
Cuttack,2023-10,7,13,7,12
Kalahandi,2023-10,3,7,8,5
Bhubaneswar,2023-11,5,8,6,10
Ganjam,2023-11,25,39,29,49
Koraput,2023-11,1,0,1,5
Sambalpur,2023-11,19,31,27,39
Puri,2023-11,6,14,6,12
Balasore,2023-11,22,40,22,36
Rourkela,2023-11,33,38,42,76
Mayurbhanj,2023-11,5,7,7,16
Cuttack,2023-11,5,13,5,9
Kalahandi,2023-11,3,2,3,3
Bhubaneswar,2023-12,4,5,4,11
Ganjam,2023-12,21,26,24,48
Koraput,2023-12,1,5,1,2
Sambalpur,2023-12,25,36,30,54
Puri,2023-12,8,10,15,9
Balasore,2023-12,19,22,19,36
Rourkela,2023-12,34,45,34,77
Mayurbhanj,2023-12,2,3,2,2
Cuttack,2023-12,8,16,8,14
Kalahandi,2023-12,1,2,1,3
Bhubaneswar,2024-01,4,7,6,3
Ganjam,2024-01,23,30,23,46
Koraput,2024-01,1,0,1,2
Sambalpur,2024-01,20,31,20,34
Puri,2024-01,4,5,4,11
Balasore,2024-01,23,39,23,52
Rourkela,2024-01,37,70,37,67
Mayurbhanj,2024-01,7,10,7,14
Cuttack,2024-01,10,17,11,20
Kalahandi,2024-01,3,6,5,9
Bhubaneswar,2024-02,5,8,6,8
Ganjam,2024-02,35,55,40,73
Koraput,2024-02,4,6,4,1
Sambalpur,2024-02,14,16,14,19
Puri,2024-02,5,5,5,16
Balasore,2024-02,25,42,38,41
Rourkela,2024-02,29,41,32,57
Mayurbhanj,2024-02,2,2,4,5
Cuttack,2024-02,4,7,4,8
Kalahandi,2024-02,5,5,5,8
Bhubaneswar,2024-03,7,13,7,14
Ganjam,2024-03,42,64,42,76
Koraput,2024-03,2,3,3,5
Sambalpur,2024-03,21,29,21,44
Puri,2024-03,6,8,12,6
Balasore,2024-03,26,46,34,42
Rourkela,2024-03,32,60,40,68
Mayurbhanj,2024-03,11,16,12,23
Cuttack,2024-03,4,7,4,5
Kalahandi,2024-03,2,5,2,3
Bhubaneswar,2024-04,2,6,2,3
Ganjam,2024-04,33,59,38,75
Koraput,2024-04,3,6,3,6
Sambalpur,2024-04,18,32,18,39
Puri,2024-04,8,9,13,18
Balasore,2024-04,15,20,21,21
Rourkela,2024-04,40,61,56,73
Mayurbhanj,2024-04,8,15,12,18
Cuttack,2024-04,5,9,7,10
Kalahandi,2024-04,6,6,6,13
Bhubaneswar,2024-05,5,7,5,11
Ganjam,2024-05,30,38,37,64
Koraput,2024-05,3,2,7,4
Sambalpur,2024-05,21,25,31,43
Puri,2024-05,6,11,6,11
Balasore,2024-05,26,49,34,49
Rourkela,2024-05,37,53,38,82
Mayurbhanj,2024-05,2,3,2,6
Cuttack,2024-05,8,7,8,18
Kalahandi,2024-05,2,1,3,2
Bhubaneswar,2024-06,8,10,8,16
Ganjam,2024-06,30,45,30,58
Koraput,2024-06,2,3,2,3
Sambalpur,2024-06,25,27,33,44
Puri,2024-06,5,9,6,4
Balasore,2024-06,13,17,15,23
Rourkela,2024-06,35,57,36,66
Mayurbhanj,2024-06,1,2,1,3
Cuttack,2024-06,2,4,3,5
Kalahandi,2024-06,4,2,4,15
Bhubaneswar,2024-07,2,6,5,4
Ganjam,2024-07,22,24,22,35
Koraput,2024-07,2,1,4,6
Sambalpur,2024-07,27,40,38,60
Puri,2024-07,1,2,1,0
Balasore,2024-07,19,34,19,43
Rourkela,2024-07,32,47,39,63
Mayurbhanj,2024-07,0,3,2,1
Cuttack,2024-07,7,8,9,15
Kalahandi,2024-07,1,2,1,1
Bhubaneswar,2024-08,8,9,8,12
Ganjam,2024-08,27,40,28,54
Koraput,2024-08,1,0,1,3
Sambalpur,2024-08,27,33,32,55
Puri,2024-08,5,8,5,9
Balasore,2024-08,24,42,24,42
Rourkela,2024-08,35,50,35,66
Mayurbhanj,2024-08,2,2,2,4
Cuttack,2024-08,7,7,7,17
Kalahandi,2024-08,2,4,3,5
Bhubaneswar,2024-09,5,9,7,11
Ganjam,2024-09,23,47,24,61
Koraput,2024-09,13,25,13,22
Sambalpur,2024-09,21,37,28,41
Puri,2024-09,1,0,1,1
Balasore,2024-09,17,33,18,38
Rourkela,2024-09,34,46,40,85
Mayurbhanj,2024-09,6,7,7,7
Cuttack,2024-09,6,8,11,7
Kalahandi,2024-09,2,4,3,5
Bhubaneswar,2024-10,3,2,3,5
Ganjam,2024-10,21,23,21,49
Koraput,2024-10,5,11,6,8
Sambalpur,2024-10,33,48,33,68
Puri,2024-10,7,12,9,15
Balasore,2024-10,19,31,19,39
Rourkela,2024-10,41,68,50,73
Mayurbhanj,2024-10,6,4,6,9
Cuttack,2024-10,4,5,4,7
Kalahandi,2024-10,3,3,3,5
Bhubaneswar,2024-11,3,10,3,8
Ganjam,2024-11,24,30,26,47
Koraput,2024-11,5,10,7,9
Sambalpur,2024-11,21,31,22,46
Puri,2024-11,8,10,8,14
Balasore,2024-11,22,37,28,39
Rourkela,2024-11,43,64,43,95
Mayurbhanj,2024-11,6,12,8,13
Cuttack,2024-11,8,17,9,21
Kalahandi,2024-11,2,3,4,3
Bhubaneswar,2024-12,8,14,12,17
Ganjam,2024-12,23,33,23,49
Koraput,2024-12,5,9,5,9
Sambalpur,2024-12,16,31,16,31
Puri,2024-12,5,6,5,10
Balasore,2024-12,23,30,23,65
Rourkela,2024-12,37,64,43,75
Mayurbhanj,2024-12,7,11,8,16
Cuttack,2024-12,5,8,6,6
Kalahandi,2024-12,2,1,3,5
Bhubaneswar,2025-01,8,9,11,22
Ganjam,2025-01,27,48,27,46
Koraput,2025-01,5,9,6,12
Sambalpur,2025-01,27,42,27,50
Puri,2025-01,5,7,6,13
Balasore,2025-01,22,26,28,33
Rourkela,2025-01,45,67,51,83
Mayurbhanj,2025-01,3,2,3,2
Cuttack,2025-01,6,11,6,14
Kalahandi,2025-01,4,2,4,2
Bhubaneswar,2025-02,4,4,5,12
Ganjam,2025-02,27,36,27,52
Koraput,2025-02,4,2,4,12
Sambalpur,2025-02,9,11,13,21
Puri,2025-02,1,1,2,2
Balasore,2025-02,19,33,19,44
Rourkela,2025-02,29,54,30,53
Mayurbhanj,2025-02,5,6,5,10
Cuttack,2025-02,8,16,8,17
Kalahandi,2025-02,3,3,5,7
Bhubaneswar,2025-03,7,10,11,11
Ganjam,2025-03,34,51,45,64
Koraput,2025-03,4,3,4,10
Sambalpur,2025-03,17,26,17,36
Puri,2025-03,7,18,7,11
Balasore,2025-03,22,32,23,51
Rourkela,2025-03,37,49,44,89
Mayurbhanj,2025-03,1,1,1,3
Cuttack,2025-03,5,9,6,12
Kalahandi,2025-03,4,2,4,10
Bhubaneswar,2025-04,7,10,8,13
Ganjam,2025-04,36,47,39,53
Koraput,2025-04,2,2,2,4
Sambalpur,2025-04,19,32,25,38
Puri,2025-04,5,7,7,13
Balasore,2025-04,27,34,34,55
Rourkela,2025-04,35,55,50,62
Mayurbhanj,2025-04,5,7,7,8
Cuttack,2025-04,5,8,7,13
Kalahandi,2025-04,3,2,3,6
Bhubaneswar,2025-05,5,1,7,11
Ganjam,2025-05,24,31,28,37
Koraput,2025-05,4,8,4,11
Sambalpur,2025-05,23,27,23,47
Puri,2025-05,5,9,6,9
Balasore,2025-05,22,52,27,38
Rourkela,2025-05,42,58,57,90
Mayurbhanj,2025-05,4,5,7,10
Cuttack,2025-05,4,7,6,6
Kalahandi,2025-05,1,2,1,2
Bhubaneswar,2025-06,6,6,6,12
Ganjam,2025-06,33,53,33,65
Koraput,2025-06,3,5,7,8
Sambalpur,2025-06,19,37,19,36
Puri,2025-06,2,4,3,3
Balasore,2025-06,32,51,44,58
Rourkela,2025-06,37,57,38,70
Mayurbhanj,2025-06,3,6,7,9
Cuttack,2025-06,9,15,9,14
Kalahandi,2025-06,4,8,7,4
Bhubaneswar,2025-07,9,13,9,19
Ganjam,2025-07,22,34,22,37
Koraput,2025-07,2,1,4,3
Sambalpur,2025-07,28,36,32,45
Puri,2025-07,5,9,8,9
Balasore,2025-07,15,23,17,23
Rourkela,2025-07,39,57,40,81
Mayurbhanj,2025-07,3,2,3,8
Cuttack,2025-07,4,4,4,9
Kalahandi,2025-07,1,2,1,4
Bhubaneswar,2025-08,4,5,6,9
Ganjam,2025-08,26,33,26,47
Koraput,2025-08,5,3,8,4
Sambalpur,2025-08,18,18,21,35
Puri,2025-08,3,3,4,8
Balasore,2025-08,24,41,28,55
Rourkela,2025-08,29,33,29,57
Mayurbhanj,2025-08,3,4,4,9
Cuttack,2025-08,4,7,6,5
Kalahandi,2025-08,4,6,5,10
Bhubaneswar,2025-09,5,10,5,12
Ganjam,2025-09,26,25,26,52
Koraput,2025-09,6,7,6,11
Sambalpur,2025-09,16,27,16,33
Puri,2025-09,6,9,8,11
Balasore,2025-09,23,26,23,62
Rourkela,2025-09,32,60,36,53
Mayurbhanj,2025-09,6,9,7,18
Cuttack,2025-09,4,10,4,10
Kalahandi,2025-09,1,3,2,3
Bhubaneswar,2025-10,5,10,7,8
Ganjam,2025-10,24,36,24,43
Koraput,2025-10,5,5,7,9
Sambalpur,2025-10,18,25,18,52
Puri,2025-10,4,10,8,7
Balasore,2025-10,12,17,12,25
Rourkela,2025-10,31,35,41,53
Mayurbhanj,2025-10,4,8,5,7
Cuttack,2025-10,5,9,5,10
Kalahandi,2025-10,1,1,5,0
Bhubaneswar,2025-11,2,2,2,2
Ganjam,2025-11,18,26,23,40
Koraput,2025-11,10,14,12,27
Sambalpur,2025-11,21,31,26,41
Puri,2025-11,7,8,8,13
Balasore,2025-11,22,30,22,43
Rourkela,2025-11,30,41,41,47
Mayurbhanj,2025-11,4,4,4,4
Cuttack,2025-11,9,19,9,12
Kalahandi,2025-11,2,5,3,1
