district,month,ipc_trials,ipc_convictions,ipc_acquitted,sll_trials,sll_convictions,sll_acquitted,nonmv_trials,nonmv_convictions,nonmv_acquitted,mv_trials,mv_convictions,mv_acquitted,speedy_trial_cases,judgement_date,punishment
Puri,2017-01,25,7,8,35,13,15,0,0,0,113,85,12,2,2017-01-17,3 years Rigorous Imprisonment
Balasore,2017-01,35,6,14,36,12,16,0,0,0,123,97,16,4,2017-01-17,2 years RI + Rs. 5000 fine
Rourkela,2017-01,36,8,23,63,18,25,0,0,0,224,155,32,4,2017-01-12,Fine of Rs. 5000
Mayurbhanj,2017-01,16,2,5,28,8,13,0,0,0,57,32,6,2,2017-01-01,Fine of Rs. 5000
Cuttack,2017-01,50,8,26,88,42,28,0,0,0,286,222,17,3,2017-01-05,"5 years RI + Rs. 10,000 fine"
Kalahandi,2017-01,9,2,4,18,9,9,0,0,0,50,36,6,0,2017-01-17,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2017-02,69,18,35,106,36,54,0,0,0,314,270,26,5,2017-02-17,Acquitted
Ganjam,2017-02,37,6,23,54,21,28,0,0,0,161,144,3,3,2017-02-26,Acquitted
Koraput,2017-02,14,3,9,17,4,6,0,0,0,85,51,10,2,2017-02-11,Fine of Rs. 5000
Sambalpur,2017-02,33,15,18,42,24,18,0,0,0,166,140,26,2,2017-02-13,2 years RI + Rs. 5000 fine
Puri,2017-02,19,5,14,34,15,9,0,0,0,107,97,5,2,2017-02-13,6 months RI
Balasore,2017-02,26,6,14,46,14,12,0,0,0,124,96,19,2,2017-02-15,2 years RI + Rs. 5000 fine
Rourkela,2017-02,40,9,18,60,34,16,0,0,0,210,159,14,3,2017-02-10,Fine of Rs. 5000
Mayurbhanj,2017-02,16,3,11,16,8,4,0,0,0,70,67,3,1,2017-02-17,2 years RI + Rs. 5000 fine
Cuttack,2017-02,65,30,34,85,42,30,0,0,0,281,235,26,7,2017-02-15,Acquitted
Kalahandi,2017-02,9,1,4,11,4,5,0,0,0,62,51,4,2,2017-02-11,3 years Rigorous Imprisonment
Bhubaneswar,2017-03,51,17,21,91,50,26,0,0,0,312,244,25,5,2017-03-05,6 months RI
Ganjam,2017-03,35,8,20,64,28,19,0,0,0,167,120,8,2,2017-03-12,1 year Probation
Koraput,2017-03,9,3,5,27,9,9,0,0,0,88,62,13,2,2017-03-26,6 months RI
Sambalpur,2017-03,27,8,13,66,38,20,0,0,0,134,90,20,3,2017-03-18,2 years RI + Rs. 5000 fine
Puri,2017-03,24,2,11,32,15,15,0,0,0,115,81,4,3,2017-03-28,Acquitted
Balasore,2017-03,27,5,10,45,19,18,0,0,0,149,117,12,2,2017-03-02,Fine of Rs. 5000
Rourkela,2017-03,28,7,9,53,28,14,0,0,0,225,198,17,6,2017-03-17,Fine of Rs. 5000
Mayurbhanj,2017-03,10,1,3,25,12,12,0,0,0,71,54,12,2,2017-03-24,6 months RI
Cuttack,2017-03,46,8,20,84,37,25,0,0,0,307,252,12,6,2017-03-23,2 years RI + Rs. 5000 fine
Kalahandi,2017-03,13,4,6,23,9,6,0,0,0,55,39,10,3,2017-03-11,Acquitted
Bhubaneswar,2017-04,78,23,34,91,31,33,0,0,0,333,257,44,6,2017-04-18,1 year Probation
Ganjam,2017-04,29,9,20,38,23,12,0,0,0,170,164,6,1,2017-04-12,Acquitted
Koraput,2017-04,15,3,5,35,11,16,0,0,0,71,62,2,0,2017-04-22,Acquitted
Sambalpur,2017-04,27,7,14,51,23,21,0,0,0,134,123,11,2,2017-04-16,Acquitted
Puri,2017-04,24,7,9,33,18,15,0,0,0,125,119,6,4,2017-04-13,Fine of Rs. 5000
Balasore,2017-04,26,6,11,36,13,15,0,0,0,153,110,15,1,2017-04-20,3 years Rigorous Imprisonment
Rourkela,2017-04,30,5,17,68,24,23,0,0,0,245,208,5,5,2017-04-11,Acquitted
Mayurbhanj,2017-04,12,4,6,28,16,9,0,0,0,76,48,10,1,2017-04-17,Acquitted
Cuttack,2017-04,61,13,39,77,35,26,0,0,0,274,234,19,6,2017-04-15,3 years Rigorous Imprisonment
Kalahandi,2017-04,13,4,6,11,4,3,0,0,0,60,38,10,0,2017-04-19,Acquitted
Bhubaneswar,2017-05,56,13,27,83,36,32,0,0,0,295,263,18,3,2017-05-01,3 years Rigorous Imprisonment
Ganjam,2017-05,35,5,19,34,11,15,0,0,0,174,137,4,2,2017-05-24,"5 years RI + Rs. 10,000 fine"
Koraput,2017-05,16,7,9,29,18,11,0,0,0,97,74,15,1,2017-05-01,3 years Rigorous Imprisonment
Sambalpur,2017-05,37,15,17,49,22,14,0,0,0,137,103,21,6,2017-05-03,6 months RI
Puri,2017-05,32,7,17,33,14,10,0,0,0,114,71,16,0,2017-05-01,6 months RI
Balasore,2017-05,34,8,15,50,23,26,0,0,0,153,126,16,3,2017-05-02,6 months RI
Rourkela,2017-05,34,13,14,64,21,28,0,0,0,182,133,30,3,2017-05-19,2 years RI + Rs. 5000 fine
Mayurbhanj,2017-05,14,3,11,20,8,8,0,0,0,73,45,9,0,2017-05-22,Acquitted
Cuttack,2017-05,64,11,24,67,34,18,0,0,0,277,244,16,5,2017-05-25,"5 years RI + Rs. 10,000 fine"
Kalahandi,2017-05,19,2,7,14,6,3,0,0,0,63,53,5,1,2017-05-08,6 months RI
Bhubaneswar,2017-06,57,11,23,86,47,27,0,0,0,294,220,15,6,2017-06-20,6 months RI
Ganjam,2017-06,25,9,11,52,19,30,0,0,0,196,136,33,2,2017-06-02,"5 years RI + Rs. 10,000 fine"
Koraput,2017-06,15,3,7,20,5,5,0,0,0,78,74,4,1,2017-06-04,6 months RI
Sambalpur,2017-06,29,4,19,41,23,13,0,0,0,152,112,26,3,2017-06-09,Fine of Rs. 5000
Puri,2017-06,20,5,9,34,13,16,0,0,0,137,101,3,3,2017-06-24,6 months RI
Balasore,2017-06,26,4,18,46,20,18,0,0,0,142,125,8,6,2017-06-19,"5 years RI + Rs. 10,000 fine"
Rourkela,2017-06,44,11,19,65,32,15,0,0,0,236,171,4,5,2017-06-09,3 years Rigorous Imprisonment
Mayurbhanj,2017-06,14,1,3,9,4,5,0,0,0,64,59,5,1,2017-06-04,6 months RI
Cuttack,2017-06,48,18,22,88,50,35,0,0,0,279,210,22,4,2017-06-04,"5 years RI + Rs. 10,000 fine"
Kalahandi,2017-06,11,4,7,30,19,11,0,0,0,59,41,4,0,2017-06-17,Acquitted
Bhubaneswar,2017-07,57,8,33,84,49,30,0,0,0,280,231,6,5,2017-07-06,3 years Rigorous Imprisonment
Ganjam,2017-07,33,8,24,42,18,19,0,0,0,178,143,17,0,2017-07-19,Acquitted
Koraput,2017-07,18,5,13,23,15,8,0,0,0,96,73,11,0,2017-07-09,"5 years RI + Rs. 10,000 fine"
Sambalpur,2017-07,43,10,20,38,16,16,0,0,0,148,113,18,5,2017-07-01,Acquitted
Puri,2017-07,26,5,15,32,11,12,0,0,0,109,81,19,4,2017-07-05,6 months RI
Balasore,2017-07,30,12,16,39,15,13,0,0,0,143,124,6,4,2017-07-18,3 years Rigorous Imprisonment
Rourkela,2017-07,61,16,43,69,33,21,0,0,0,235,189,23,4,2017-07-15,Fine of Rs. 5000
Mayurbhanj,2017-07,14,6,8,16,7,4,0,0,0,69,61,3,2,2017-07-06,"5 years RI + Rs. 10,000 fine"
Cuttack,2017-07,54,15,25,80,27,25,0,0,0,262,210,48,6,2017-07-19,6 months RI
Kalahandi,2017-07,9,2,3,10,4,3,0,0,0,56,39,2,1,2017-07-24,Fine of Rs. 5000
Bhubaneswar,2017-08,62,8,36,91,45,22,0,0,0,308,230,30,8,2017-08-07,2 years RI + Rs. 5000 fine
Ganjam,2017-08,34,13,18,49,27,14,0,0,0,187,168,4,2,2017-08-27,1 year Probation
Koraput,2017-08,9,3,6,23,10,8,0,0,0,97,82,4,2,2017-08-28,Acquitted
Sambalpur,2017-08,31,8,14,44,25,18,0,0,0,142,113,7,5,2017-08-14,"5 years RI + Rs. 10,000 fine"
Puri,2017-08,29,4,19,27,12,12,0,0,0,120,108,4,2,2017-08-19,3 years Rigorous Imprisonment
Balasore,2017-08,31,5,24,47,17,22,0,0,0,117,105,12,2,2017-08-10,Acquitted
Rourkela,2017-08,46,12,21,64,20,18,0,0,0,216,149,29,9,2017-08-22,Fine of Rs. 5000
Mayurbhanj,2017-08,14,5,9,18,7,6,0,0,0,82,65,6,2,2017-08-20,Acquitted
Cuttack,2017-08,47,13,19,83,42,25,0,0,0,274,213,23,6,2017-08-09,2 years RI + Rs. 5000 fine
Kalahandi,2017-08,12,3,4,22,10,12,0,0,0,64,50,12,1,2017-08-14,3 years Rigorous Imprisonment
Bhubaneswar,2017-09,57,26,31,98,33,43,0,0,0,308,274,9,7,2017-09-21,2 years RI + Rs. 5000 fine
Ganjam,2017-09,33,11,20,57,22,27,0,0,0,212,198,11,2,2017-09-18,2 years RI + Rs. 5000 fine
Koraput,2017-09,15,5,8,31,11,15,0,0,0,85,69,3,2,2017-09-17,2 years RI + Rs. 5000 fine
Sambalpur,2017-09,29,7,14,44,30,14,0,0,0,180,117,26,1,2017-09-25,1 year Probation
Puri,2017-09,24,5,19,40,26,13,0,0,0,115,74,15,2,2017-09-15,2 years RI + Rs. 5000 fine
Balasore,2017-09,21,4,13,34,14,18,0,0,0,142,131,5,2,2017-09-25,"5 years RI + Rs. 10,000 fine"
Rourkela,2017-09,41,14,16,73,34,19,0,0,0,228,198,19,8,2017-09-14,6 months RI
Mayurbhanj,2017-09,16,4,9,27,17,8,0,0,0,71,48,3,2,2017-09-08,2 years RI + Rs. 5000 fine
Cuttack,2017-09,57,21,33,82,35,24,0,0,0,281,242,10,7,2017-09-01,2 years RI + Rs. 5000 fine
Kalahandi,2017-09,16,2,11,18,4,4,0,0,0,64,42,6,2,2017-09-19,Fine of Rs. 5000
Bhubaneswar,2017-10,67,17,32,87,38,40,0,0,0,303,239,57,5,2017-10-22,6 months RI
Ganjam,2017-10,37,11,23,58,32,14,0,0,0,176,125,30,3,2017-10-05,1 year Probation
Koraput,2017-10,17,2,8,29,14,8,0,0,0,71,57,2,1,2017-10-25,6 months RI
Sambalpur,2017-10,23,4,10,46,20,16,0,0,0,157,118,13,5,2017-10-13,1 year Probation
Puri,2017-10,28,6,10,38,21,15,0,0,0,114,89,14,5,2017-10-01,6 months RI
Balasore,2017-10,24,7,8,42,23,11,0,0,0,157,115,15,1,2017-10-16,3 years Rigorous Imprisonment
Rourkela,2017-10,47,12,17,84,47,34,0,0,0,193,164,29,2,2017-10-15,2 years RI + Rs. 5000 fine
Mayurbhanj,2017-10,13,4,6,14,6,6,0,0,0,71,53,12,2,2017-10-02,3 years Rigorous Imprisonment
Cuttack,2017-10,53,22,27,88,33,27,0,0,0,258,209,20,12,2017-10-02,3 years Rigorous Imprisonment
Kalahandi,2017-10,15,5,8,22,10,6,0,0,0,57,38,4,0,2017-10-25,Acquitted
Bhubaneswar,2017-11,63,15,36,100,42,36,0,0,0,311,277,25,6,2017-11-16,3 years Rigorous Imprisonment
Ganjam,2017-11,50,12,32,45,19,11,0,0,0,161,117,8,3,2017-11-06,2 years RI + Rs. 5000 fine
Koraput,2017-11,16,4,5,20,7,6,0,0,0,78,71,3,1,2017-11-01,3 years Rigorous Imprisonment
Sambalpur,2017-11,31,11,19,43,14,12,0,0,0,160,112,15,1,2017-11-18,6 months RI
Puri,2017-11,14,4,5,58,16,18,0,0,0,115,81,11,3,2017-11-14,Acquitted
Balasore,2017-11,35,11,13,54,18,25,0,0,0,146,111,24,2,2017-11-02,6 months RI
Rourkela,2017-11,42,14,28,55,23,27,0,0,0,208,194,7,3,2017-11-19,Acquitted
Mayurbhanj,2017-11,14,3,8,24,11,6,0,0,0,76,51,3,0,2017-11-15,Fine of Rs. 5000
Cuttack,2017-11,64,11,42,81,39,28,0,0,0,266,211,34,6,2017-11-02,1 year Probation
Kalahandi,2017-11,14,1,3,23,6,9,0,0,0,66,60,2,0,2017-11-22,3 years Rigorous Imprisonment
Bhubaneswar,2017-12,64,11,44,96,43,22,0,0,0,305,272,7,8,2017-12-06,1 year Probation
Ganjam,2017-12,41,14,25,44,16,19,0,0,0,181,144,8,6,2017-12-13,3 years Rigorous Imprisonment
Koraput,2017-12,12,5,6,29,13,10,0,0,0,77,55,3,1,2017-12-21,6 months RI
Sambalpur,2017-12,27,5,22,50,22,18,0,0,0,164,117,25,4,2017-12-12,2 years RI + Rs. 5000 fine
Puri,2017-12,22,4,10,32,15,11,0,0,0,118,88,13,0,2017-12-19,6 months RI
Balasore,2017-12,25,6,15,40,16,15,0,0,0,149,96,22,0,2017-12-06,"5 years RI + Rs. 10,000 fine"
Rourkela,2017-12,35,11,22,53,19,26,0,0,0,199,171,8,5,2017-12-19,6 months RI
Mayurbhanj,2017-12,21,5,14,24,10,12,0,0,0,65,47,8,0,2017-12-10,1 year Probation
Cuttack,2017-12,59,17,38,76,28,37,0,0,0,258,207,34,1,2017-12-15,2 years RI + Rs. 5000 fine
Kalahandi,2017-12,12,2,5,13,6,4,0,0,0,74,62,10,1,2017-12-26,6 months RI
Bhubaneswar,2018-01,53,17,28,103,46,24,0,0,0,310,226,40,2,2018-01-17,1 year Probation
Ganjam,2018-01,27,6,11,58,16,16,0,0,0,163,128,31,4,2018-01-12,1 year Probation
Koraput,2018-01,16,5,6,23,11,7,0,0,0,72,57,12,2,2018-01-14,1 year Probation
Sambalpur,2018-01,32,10,15,51,26,22,0,0,0,150,96,23,0,2018-01-15,"5 years RI + Rs. 10,000 fine"
Puri,2018-01,19,3,13,33,18,15,0,0,0,119,84,2,2,2018-01-04,"5 years RI + Rs. 10,000 fine"
Balasore,2018-01,31,12,18,44,21,13,0,0,0,126,85,14,4,2018-01-08,3 years Rigorous Imprisonment
Rourkela,2018-01,31,5,10,65,31,23,0,0,0,218,172,43,2,2018-01-07,3 years Rigorous Imprisonment
Mayurbhanj,2018-01,20,3,16,20,8,9,0,0,0,74,59,15,0,2018-01-18,1 year Probation
Cuttack,2018-01,44,11,27,86,39,27,0,0,0,251,183,19,3,2018-01-27,2 years RI + Rs. 5000 fine
Kalahandi,2018-01,8,1,3,18,5,5,0,0,0,51,42,8,1,2018-01-05,2 years RI + Rs. 5000 fine
Bhubaneswar,2018-02,63,9,28,83,46,20,0,0,0,301,244,45,8,2018-02-21,6 months RI
Ganjam,2018-02,39,11,27,53,33,17,0,0,0,185,165,17,3,2018-02-24,3 years Rigorous Imprisonment
Koraput,2018-02,10,4,6,23,6,5,0,0,0,76,55,2,0,2018-02-26,Acquitted
Sambalpur,2018-02,32,9,18,52,25,13,0,0,0,149,129,17,3,2018-02-04,2 years RI + Rs. 5000 fine
Puri,2018-02,18,3,13,27,13,14,0,0,0,136,93,21,2,2018-02-01,Acquitted
Balasore,2018-02,35,9,11,41,18,17,0,0,0,141,85,21,1,2018-02-16,Fine of Rs. 5000
Rourkela,2018-02,47,11,36,77,39,21,0,0,0,255,210,45,6,2018-02-18,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2018-02,17,2,7,30,8,14,0,0,0,84,66,3,1,2018-02-19,1 year Probation
Cuttack,2018-02,50,13,37,80,35,43,0,0,0,265,222,34,3,2018-02-20,1 year Probation
Kalahandi,2018-02,18,3,13,20,9,5,0,0,0,53,48,5,3,2018-02-22,Fine of Rs. 5000
Bhubaneswar,2018-03,62,23,26,91,36,34,0,0,0,326,261,13,2,2018-03-20,6 months RI
Ganjam,2018-03,38,13,20,49,23,19,0,0,0,166,120,13,5,2018-03-21,Acquitted
Koraput,2018-03,12,5,6,26,10,13,0,0,0,73,41,5,4,2018-03-19,2 years RI + Rs. 5000 fine
Sambalpur,2018-03,29,12,15,47,15,21,0,0,0,159,143,7,5,2018-03-06,3 years Rigorous Imprisonment
Puri,2018-03,18,2,6,37,9,11,0,0,0,115,91,5,1,2018-03-05,6 months RI
Balasore,2018-03,17,7,10,46,20,20,0,0,0,126,117,9,3,2018-03-17,"5 years RI + Rs. 10,000 fine"
Rourkela,2018-03,42,12,21,57,19,21,0,0,0,208,137,21,8,2018-03-02,2 years RI + Rs. 5000 fine
Mayurbhanj,2018-03,12,3,9,23,11,7,0,0,0,83,54,9,2,2018-03-10,Acquitted
Cuttack,2018-03,51,10,27,90,41,34,0,0,0,290,236,22,6,2018-03-07,Acquitted
Kalahandi,2018-03,10,1,6,28,7,10,0,0,0,61,43,11,1,2018-03-07,3 years Rigorous Imprisonment
Bhubaneswar,2018-04,60,14,25,91,36,28,0,0,0,299,244,38,9,2018-04-20,1 year Probation
Ganjam,2018-04,31,7,18,51,19,25,0,0,0,193,163,7,1,2018-04-13,6 months RI
Koraput,2018-04,19,3,13,22,11,11,0,0,0,75,53,10,1,2018-04-08,1 year Probation
Sambalpur,2018-04,28,10,13,38,15,16,0,0,0,130,107,17,4,2018-04-14,Acquitted
Puri,2018-04,30,8,11,38,20,17,0,0,0,126,102,20,2,2018-04-26,Acquitted
Balasore,2018-04,31,10,12,32,12,10,0,0,0,161,106,23,3,2018-04-25,2 years RI + Rs. 5000 fine
Rourkela,2018-04,60,17,25,59,22,27,0,0,0,216,210,6,4,2018-04-21,2 years RI + Rs. 5000 fine
Mayurbhanj,2018-04,14,5,9,17,3,5,0,0,0,60,52,4,0,2018-04-15,"5 years RI + Rs. 10,000 fine"
Cuttack,2018-04,56,12,23,89,54,33,0,0,0,313,237,52,5,2018-04-09,"5 years RI + Rs. 10,000 fine"
Kalahandi,2018-04,17,6,11,16,9,7,0,0,0,51,42,4,1,2018-04-22,1 year Probation
Bhubaneswar,2018-05,42,9,15,92,36,18,0,0,0,295,278,17,5,2018-05-27,"5 years RI + Rs. 10,000 fine"
Ganjam,2018-05,22,6,16,54,26,15,0,0,0,174,133,12,2,2018-05-07,Acquitted
Koraput,2018-05,17,7,10,29,17,10,0,0,0,70,54,6,3,2018-05-23,Acquitted
Sambalpur,2018-05,35,10,15,50,15,21,0,0,0,151,109,13,3,2018-05-25,6 months RI
Puri,2018-05,27,10,12,26,10,7,0,0,0,140,129,3,3,2018-05-08,Acquitted
Balasore,2018-05,40,13,22,45,24,11,0,0,0,147,135,12,6,2018-05-16,Fine of Rs. 5000
Rourkela,2018-05,34,8,21,71,29,41,0,0,0,218,172,7,6,2018-05-23,6 months RI
Mayurbhanj,2018-05,9,2,4,21,7,6,0,0,0,75,64,11,1,2018-05-03,2 years RI + Rs. 5000 fine
Cuttack,2018-05,54,12,34,91,31,42,0,0,0,267,233,6,4,2018-05-24,"5 years RI + Rs. 10,000 fine"
Kalahandi,2018-05,13,5,7,13,6,7,0,0,0,59,43,11,1,2018-05-15,3 years Rigorous Imprisonment
Bhubaneswar,2018-06,71,19,41,102,46,45,0,0,0,312,276,17,4,2018-06-14,1 year Probation
Ganjam,2018-06,49,11,26,69,29,23,0,0,0,196,128,22,7,2018-06-10,"5 years RI + Rs. 10,000 fine"
Koraput,2018-06,18,3,5,26,10,11,0,0,0,90,87,3,1,2018-06-14,3 years Rigorous Imprisonment
Sambalpur,2018-06,37,10,13,45,27,14,0,0,0,140,127,13,5,2018-06-11,"5 years RI + Rs. 10,000 fine"
Puri,2018-06,14,3,8,39,18,14,0,0,0,119,80,19,3,2018-06-06,Acquitted
Balasore,2018-06,18,4,7,50,30,17,0,0,0,148,114,24,3,2018-06-26,Fine of Rs. 5000
Rourkela,2018-06,50,9,26,59,36,23,0,0,0,228,190,13,1,2018-06-08,1 year Probation
Mayurbhanj,2018-06,9,2,4,20,7,6,0,0,0,61,48,3,0,2018-06-21,Fine of Rs. 5000
Cuttack,2018-06,59,9,39,75,35,20,0,0,0,261,199,37,6,2018-06-19,"5 years RI + Rs. 10,000 fine"
Kalahandi,2018-06,13,2,8,25,7,9,0,0,0,72,46,10,4,2018-06-23,Fine of Rs. 5000
Bhubaneswar,2018-07,59,22,37,83,38,41,0,0,0,307,214,42,4,2018-07-09,6 months RI
Ganjam,2018-07,25,5,17,50,26,20,0,0,0,193,155,29,2,2018-07-05,1 year Probation
Koraput,2018-07,17,5,9,27,12,13,0,0,0,85,47,7,1,2018-07-18,"5 years RI + Rs. 10,000 fine"
Sambalpur,2018-07,31,6,23,46,16,14,0,0,0,148,122,17,4,2018-07-25,1 year Probation
Puri,2018-07,29,9,11,35,13,16,0,0,0,108,95,9,2,2018-07-17,"5 years RI + Rs. 10,000 fine"
Balasore,2018-07,26,7,15,51,23,22,0,0,0,159,103,23,3,2018-07-11,1 year Probation
Rourkela,2018-07,33,13,15,53,20,27,0,0,0,195,160,15,3,2018-07-07,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2018-07,20,2,9,23,10,11,0,0,0,60,53,6,1,2018-07-22,"5 years RI + Rs. 10,000 fine"
Cuttack,2018-07,64,20,35,65,24,22,0,0,0,269,235,29,8,2018-07-08,Fine of Rs. 5000
Kalahandi,2018-07,13,1,5,18,8,6,0,0,0,60,42,11,2,2018-07-01,Acquitted
Bhubaneswar,2018-08,56,12,21,94,42,26,0,0,0,288,239,11,5,2018-08-17,6 months RI
Ganjam,2018-08,44,11,19,65,25,18,0,0,0,156,120,10,3,2018-08-09,Fine of Rs. 5000
Koraput,2018-08,25,4,15,18,9,5,0,0,0,84,80,3,4,2018-08-09,3 years Rigorous Imprisonment
Sambalpur,2018-08,29,11,16,49,25,14,0,0,0,165,114,22,6,2018-08-26,3 years Rigorous Imprisonment
Puri,2018-08,23,4,13,38,21,16,0,0,0,116,79,3,2,2018-08-21,"5 years RI + Rs. 10,000 fine"
Balasore,2018-08,28,9,13,40,12,16,0,0,0,131,115,7,5,2018-08-25,1 year Probation
Rourkela,2018-08,43,14,15,56,29,16,0,0,0,222,162,35,2,2018-08-27,6 months RI
Mayurbhanj,2018-08,14,2,10,25,10,15,0,0,0,59,51,4,2,2018-08-12,Fine of Rs. 5000
Cuttack,2018-08,61,11,43,80,35,38,0,0,0,269,255,14,1,2018-08-05,"5 years RI + Rs. 10,000 fine"
Kalahandi,2018-08,18,5,6,18,6,7,0,0,0,50,40,10,0,2018-08-01,1 year Probation
Bhubaneswar,2018-09,64,22,26,94,30,33,0,0,0,311,261,21,5,2018-09-07,3 years Rigorous Imprisonment
Ganjam,2018-09,32,5,15,60,25,24,0,0,0,203,160,11,6,2018-09-13,Fine of Rs. 5000
Koraput,2018-09,15,3,12,29,15,10,0,0,0,73,61,9,3,2018-09-07,6 months RI
Sambalpur,2018-09,34,7,27,55,22,22,0,0,0,136,113,8,5,2018-09-22,6 months RI
Puri,2018-09,21,4,7,33,10,14,0,0,0,107,87,5,2,2018-09-25,"5 years RI + Rs. 10,000 fine"
Balasore,2018-09,32,12,18,48,21,12,0,0,0,126,95,18,0,2018-09-26,6 months RI
Rourkela,2018-09,46,16,26,48,17,18,0,0,0,234,201,26,3,2018-09-17,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2018-09,12,2,6,18,6,11,0,0,0,81,46,11,3,2018-09-10,Fine of Rs. 5000
Cuttack,2018-09,49,15,23,76,30,26,0,0,0,271,204,38,2,2018-09-28,6 months RI
Kalahandi,2018-09,14,2,7,23,7,10,0,0,0,57,55,2,2,2018-09-08,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2018-10,54,10,40,83,32,32,0,0,0,309,240,57,7,2018-10-02,"5 years RI + Rs. 10,000 fine"
Ganjam,2018-10,33,7,26,60,21,20,0,0,0,186,135,24,8,2018-10-26,Fine of Rs. 5000
Koraput,2018-10,9,1,4,30,10,11,0,0,0,66,57,6,1,2018-10-25,"5 years RI + Rs. 10,000 fine"
Sambalpur,2018-10,31,9,13,47,22,11,0,0,0,146,131,13,2,2018-10-28,Fine of Rs. 5000
Puri,2018-10,23,7,14,36,12,6,0,0,0,124,92,11,1,2018-10-26,Fine of Rs. 5000
Balasore,2018-10,21,9,11,37,19,12,0,0,0,131,96,22,2,2018-10-20,1 year Probation
Rourkela,2018-10,47,13,18,71,47,21,0,0,0,218,197,17,5,2018-10-15,2 years RI + Rs. 5000 fine
Mayurbhanj,2018-10,14,5,6,27,10,12,0,0,0,68,61,7,1,2018-10-26,Acquitted
Cuttack,2018-10,48,15,33,97,37,46,0,0,0,250,195,30,4,2018-10-03,2 years RI + Rs. 5000 fine
Kalahandi,2018-10,16,6,8,25,10,8,0,0,0,49,42,7,4,2018-10-12,Acquitted
Bhubaneswar,2018-11,53,7,20,90,39,36,0,0,0,298,220,36,9,2018-11-27,Fine of Rs. 5000
Ganjam,2018-11,36,9,17,57,30,27,0,0,0,185,157,21,2,2018-11-17,3 years Rigorous Imprisonment
Koraput,2018-11,12,2,6,26,15,10,0,0,0,78,55,4,1,2018-11-10,Fine of Rs. 5000
Sambalpur,2018-11,29,7,14,46,24,17,0,0,0,163,114,9,1,2018-11-18,"5 years RI + Rs. 10,000 fine"
Puri,2018-11,22,3,10,39,18,16,0,0,0,115,79,14,3,2018-11-25,Acquitted
Balasore,2018-11,30,10,18,44,16,23,0,0,0,145,98,23,3,2018-11-22,6 months RI
Rourkela,2018-11,54,9,32,52,28,24,0,0,0,223,184,23,4,2018-11-14,6 months RI
Mayurbhanj,2018-11,13,3,8,17,10,5,0,0,0,60,47,3,3,2018-11-14,2 years RI + Rs. 5000 fine
Cuttack,2018-11,61,21,29,86,30,34,0,0,0,283,224,47,3,2018-11-13,2 years RI + Rs. 5000 fine
Kalahandi,2018-11,10,3,5,26,15,8,0,0,0,61,48,10,1,2018-11-16,6 months RI
Bhubaneswar,2018-12,68,12,33,86,32,34,0,0,0,327,250,33,9,2018-12-04,2 years RI + Rs. 5000 fine
Ganjam,2018-12,43,12,20,57,27,26,0,0,0,185,140,29,6,2018-12-24,Acquitted
Koraput,2018-12,21,3,7,22,8,13,0,0,0,84,67,8,1,2018-12-05,3 years Rigorous Imprisonment
Sambalpur,2018-12,34,12,15,40,17,8,0,0,0,128,100,12,4,2018-12-22,1 year Probation
Puri,2018-12,19,6,13,34,18,14,0,0,0,128,113,15,2,2018-12-12,6 months RI
Balasore,2018-12,23,9,14,38,15,18,0,0,0,150,108,6,3,2018-12-22,Acquitted
Rourkela,2018-12,46,7,21,66,33,33,0,0,0,240,197,30,2,2018-12-15,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2018-12,17,5,9,32,17,15,0,0,0,77,64,7,1,2018-12-06,1 year Probation
Cuttack,2018-12,53,25,27,77,31,16,0,0,0,272,211,30,3,2018-12-12,6 months RI
Kalahandi,2018-12,9,3,6,22,12,6,0,0,0,64,55,7,3,2018-12-26,6 months RI
Bhubaneswar,2019-01,62,14,31,89,44,39,0,0,0,286,196,49,4,2019-01-23,Acquitted
Ganjam,2019-01,33,9,24,71,28,29,0,0,0,171,156,4,6,2019-01-10,3 years Rigorous Imprisonment
Koraput,2019-01,17,4,6,22,7,12,0,0,0,83,75,8,0,2019-01-11,"5 years RI + Rs. 10,000 fine"
Sambalpur,2019-01,21,5,13,45,22,19,0,0,0,152,105,6,1,2019-01-17,"5 years RI + Rs. 10,000 fine"
Puri,2019-01,26,6,12,36,17,17,0,0,0,120,95,8,1,2019-01-28,3 years Rigorous Imprisonment
Balasore,2019-01,24,8,9,38,22,11,0,0,0,132,107,10,3,2019-01-01,Fine of Rs. 5000
Rourkela,2019-01,48,12,32,70,27,20,0,0,0,208,184,9,5,2019-01-01,6 months RI
Mayurbhanj,2019-01,13,1,7,20,8,4,0,0,0,59,53,5,0,2019-01-25,6 months RI
Cuttack,2019-01,53,14,38,82,36,38,0,0,0,273,201,14,6,2019-01-08,Acquitted
Kalahandi,2019-01,11,2,5,27,13,11,0,0,0,53,45,8,0,2019-01-18,1 year Probation
Bhubaneswar,2019-02,72,12,42,80,29,24,0,0,0,288,249,8,8,2019-02-27,"5 years RI + Rs. 10,000 fine"
