district,month,missing_boys_start,missing_boys_during,traced_boys,missing_girls_start,missing_girls_during,traced_girls,missing_men_start,missing_men_during,traced_men,missing_women_start,missing_women_during,traced_women
Bhubaneswar,2018-04,219,34,27,298,50,45,263,39,44,393,64,60
Ganjam,2018-04,128,13,19,191,30,25,157,24,30,207,31,31
Koraput,2018-04,51,8,2,67,9,12,52,16,9,98,12,7
Sambalpur,2018-04,89,14,16,175,20,25,112,14,19,212,25,24
Puri,2018-04,77,13,7,126,25,22,104,7,10,139,19,19
Balasore,2018-04,113,17,15,120,25,24,128,13,16,190,24,30
Rourkela,2018-04,155,19,23,219,42,36,189,31,25,260,32,35
Mayurbhanj,2018-04,61,3,6,79,10,10,63,10,8,97,16,8
Cuttack,2018-04,196,40,40,284,40,43,207,34,32,354,45,45
Kalahandi,2018-04,46,8,6,71,12,15,51,6,7,72,15,14
Bhubaneswar,2018-05,226,34,32,303,46,33,258,31,35,397,50,51
Ganjam,2018-05,122,21,13,196,24,25,151,26,15,207,32,37
Koraput,2018-05,57,11,5,64,18,15,59,8,5,103,18,14
Sambalpur,2018-05,87,19,14,170,16,17,107,21,18,213,19,23
Puri,2018-05,83,9,8,129,21,18,101,14,8,139,18,17
Balasore,2018-05,115,16,21,121,29,15,125,17,20,184,27,28
Rourkela,2018-05,151,24,19,225,41,31,195,28,27,257,38,48
Mayurbhanj,2018-05,58,7,5,79,11,10,65,9,9,105,13,13
Cuttack,2018-05,196,38,32,281,35,46,209,45,32,354,47,52
Kalahandi,2018-05,48,6,4,68,14,13,50,6,5,73,9,16
Bhubaneswar,2018-06,228,23,34,316,45,43,254,41,40,396,52,61
Ganjam,2018-06,130,21,16,195,23,28,162,32,25,202,35,28
Koraput,2018-06,63,7,10,67,6,9,62,13,10,107,17,15
Sambalpur,2018-06,92,16,14,169,17,23,110,21,11,209,25,28
Puri,2018-06,84,10,11,132,13,20,107,13,14,140,28,12
Balasore,2018-06,110,14,15,135,21,19,122,11,18,183,22,20
Rourkela,2018-06,156,22,23,235,35,36,196,29,26,247,34,40
Mayurbhanj,2018-06,60,3,11,80,12,14,65,7,9,105,8,14
Cuttack,2018-06,202,28,24,270,46,39,222,33,29,349,48,38
Kalahandi,2018-06,50,3,2,69,13,11,51,11,9,66,12,9
Bhubaneswar,2018-07,217,25,35,318,49,37,255,41,38,387,59,41
Ganjam,2018-07,135,15,15,190,40,36,169,27,28,209,33,33
Koraput,2018-07,60,6,7,64,11,14,65,6,7,109,18,16
Sambalpur,2018-07,94,12,13,163,19,25,120,22,25,206,27,25
Puri,2018-07,83,16,18,125,21,14,106,12,15,156,22,17
Balasore,2018-07,109,14,12,137,17,24,115,15,14,185,16,23
Rourkela,2018-07,155,25,24,234,25,24,199,21,32,241,33,36
Mayurbhanj,2018-07,52,7,10,78,8,4,63,10,3,99,13,16
Cuttack,2018-07,206,30,30,277,50,34,226,32,26,359,71,52
Kalahandi,2018-07,51,5,4,71,10,14,53,11,9,69,12,11
Bhubaneswar,2018-08,207,22,19,330,37,53,258,37,43,405,54,56
Ganjam,2018-08,135,15,21,194,23,27,168,15,14,209,28,41
Koraput,2018-08,59,9,12,61,10,9,64,11,11,111,15,7
Sambalpur,2018-08,93,20,12,157,27,14,117,23,17,208,35,28
Puri,2018-08,81,4,8,132,20,23,103,13,9,161,20,20
Balasore,2018-08,111,12,12,130,15,19,116,20,24,178,23,24
Rourkela,2018-08,156,19,18,235,33,39,188,22,28,238,47,43
Mayurbhanj,2018-08,49,8,8,82,7,9,70,14,13,96,13,13
Cuttack,2018-08,206,30,36,293,48,36,232,36,36,378,33,63
Kalahandi,2018-08,52,4,5,67,9,8,55,6,10,70,9,8
Bhubaneswar,2018-09,210,46,43,314,51,47,252,34,41,403,68,47
Ganjam,2018-09,129,20,22,190,27,25,169,26,28,196,27,32
Koraput,2018-09,56,12,7,62,8,6,64,5,11,119,18,20
Sambalpur,2018-09,101,11,14,170,30,37,123,23,19,215,25,37
Puri,2018-09,77,11,16,129,20,13,107,16,18,161,32,23
Balasore,2018-09,111,18,8,126,14,24,112,15,22,177,21,25
Rourkela,2018-09,157,18,18,229,31,29,182,30,21,242,44,33
Mayurbhanj,2018-09,49,9,7,80,9,14,71,11,8,96,13,13
Cuttack,2018-09,200,30,34,305,48,47,232,35,32,348,50,50
Kalahandi,2018-09,51,1,4,68,7,7,51,8,12,71,6,8
Bhubaneswar,2018-10,213,21,23,318,43,37,245,33,41,424,54,59
Ganjam,2018-10,127,19,18,192,22,25,167,16,28,191,29,28
Koraput,2018-10,61,9,4,64,10,11,58,3,6,117,16,27
Sambalpur,2018-10,98,10,16,163,21,20,127,14,12,203,28,35
Puri,2018-10,72,12,8,136,24,29,105,20,26,170,23,26
Balasore,2018-10,121,14,23,116,19,18,105,23,15,173,22,19
Rourkela,2018-10,157,20,23,231,44,38,191,38,30,253,42,35
Mayurbhanj,2018-10,51,9,10,75,12,5,74,13,12,96,11,9
Cuttack,2018-10,196,17,30,306,43,34,235,29,32,348,47,59
Kalahandi,2018-10,48,3,4,68,10,7,47,4,5,69,9,10
Bhubaneswar,2018-11,211,32,29,324,30,47,237,35,41,419,59,74
Ganjam,2018-11,128,13,22,189,35,32,155,29,25,192,26,34
Koraput,2018-11,66,5,4,63,15,9,55,6,4,106,10,10
Sambalpur,2018-11,92,11,10,164,25,29,129,24,17,196,34,30
Puri,2018-11,76,16,6,131,12,16,99,10,9,167,20,27
Balasore,2018-11,112,12,6,117,23,24,113,20,12,176,37,22
Rourkela,2018-11,154,28,21,237,27,34,199,29,28,260,47,39
Mayurbhanj,2018-11,50,4,3,82,11,14,75,11,14,98,10,11
Cuttack,2018-11,183,22,27,315,55,52,232,30,25,336,49,57
Kalahandi,2018-11,47,4,7,71,4,9,46,4,10,68,6,9
Bhubaneswar,2018-12,214,30,24,307,46,35,231,34,33,404,47,65
Ganjam,2018-12,119,17,15,192,26,31,159,26,25,184,31,29
Koraput,2018-12,67,10,12,69,10,12,57,9,7,106,16,12
Sambalpur,2018-12,93,8,14,160,20,16,136,18,23,200,29,23
Puri,2018-12,86,12,11,127,28,19,100,19,15,160,20,17
Balasore,2018-12,118,17,22,116,17,24,121,19,12,191,27,19
Rourkela,2018-12,161,24,20,230,29,32,200,25,40,268,32,34
Mayurbhanj,2018-12,51,10,4,79,17,8,72,10,8,97,13,13
Cuttack,2018-12,178,31,26,318,45,53,237,25,35,328,44,35
Kalahandi,2018-12,44,4,10,66,11,12,40,6,7,65,9,10
Bhubaneswar,2019-01,220,24,27,318,39,48,232,41,28,386,59,64
Ganjam,2019-01,121,15,17,187,17,27,160,23,17,186,33,35
Koraput,2019-01,65,6,8,67,20,10,59,8,7,110,11,13
Sambalpur,2019-01,87,17,15,164,22,26,131,18,16,206,28,28
Puri,2019-01,87,7,7,136,17,19,104,15,16,163,32,24
Balasore,2019-01,113,16,13,109,18,17,128,17,23,199,18,16
Rourkela,2019-01,165,31,14,227,26,33,185,20,30,266,39,38
Mayurbhanj,2019-01,57,7,11,88,7,8,74,8,12,97,19,21
Cuttack,2019-01,183,37,29,310,46,39,227,39,27,337,55,39
Kalahandi,2019-01,38,7,7,65,11,7,39,8,12,64,8,13
Bhubaneswar,2019-02,217,31,47,309,50,50,245,47,30,381,67,52
Ganjam,2019-02,119,15,15,177,28,25,166,25,24,184,20,28
Koraput,2019-02,63,12,10,77,9,11,60,5,8,108,16,20
Sambalpur,2019-02,89,9,9,160,30,18,133,22,24,206,24,36
Puri,2019-02,87,9,16,134,23,13,103,16,7,171,27,27
Balasore,2019-02,116,13,12,110,15,16,122,19,21,201,19,25
Rourkela,2019-02,182,19,25,220,29,29,175,18,21,267,41,40
Mayurbhanj,2019-02,53,5,8,87,12,10,70,7,8,95,11,14
Cuttack,2019-02,191,24,33,317,53,44,239,27,26,353,43,62
Kalahandi,2019-02,38,5,4,69,6,12,35,6,2,59,12,12
Bhubaneswar,2019-03,201,31,29,309,46,43,262,36,31,396,76,59
Ganjam,2019-03,119,17,21,180,27,25,167,21,21,176,32,26
Koraput,2019-03,65,4,4,75,14,13,57,8,12,104,20,17
Sambalpur,2019-03,89,16,12,172,26,28,131,13,17,194,28,25
Puri,2019-03,80,12,11,144,15,13,112,11,14,171,22,33
Balasore,2019-03,117,19,21,109,18,21,120,19,14,195,21,25
Rourkela,2019-03,176,26,20,220,29,27,172,30,27,268,40,40
Mayurbhanj,2019-03,50,8,14,89,10,12,69,13,10,92,11,14
Cuttack,2019-03,182,21,27,326,47,45,240,35,34,334,63,42
Kalahandi,2019-03,39,6,6,63,4,7,39,7,5,59,13,16
Bhubaneswar,2019-04,203,36,32,312,45,40,267,23,35,413,60,68
Ganjam,2019-04,115,23,18,182,22,28,167,26,25,182,30,34
Koraput,2019-04,65,9,9,76,14,11,53,12,10,107,12,16
Sambalpur,2019-04,93,11,19,170,18,21,127,15,7,197,33,40
Puri,2019-04,81,14,13,146,16,25,109,15,18,160,24,31
Balasore,2019-04,115,15,18,106,20,21,125,18,22,191,16,19
Rourkela,2019-04,182,22,32,222,32,27,175,23,23,268,28,33
Mayurbhanj,2019-04,44,8,7,87,8,11,72,12,8,89,9,11
Cuttack,2019-04,176,29,36,328,40,51,241,42,34,355,58,46
Kalahandi,2019-04,39,7,6,60,8,3,41,8,8,56,10,9
Bhubaneswar,2019-05,207,27,20,317,41,36,255,41,44,405,49,52
Ganjam,2019-05,120,17,18,176,30,31,168,20,24,178,36,31
Koraput,2019-05,65,6,7,79,4,8,55,5,7,103,14,16
Sambalpur,2019-05,85,11,13,167,21,24,135,19,20,190,29,13
Puri,2019-05,82,10,10,137,24,18,106,16,20,153,30,26
Balasore,2019-05,112,14,16,105,21,16,121,17,22,188,26,31
Rourkela,2019-05,172,32,21,227,33,27,175,32,20,263,38,31
Mayurbhanj,2019-05,45,5,7,84,18,14,76,7,9,87,11,10
Cuttack,2019-05,169,26,22,317,36,46,249,26,35,367,48,54
Kalahandi,2019-05,40,4,4,65,13,7,41,11,11,57,12,6
Bhubaneswar,2019-06,214,36,35,322,52,49,252,39,43,402,41,66
Ganjam,2019-06,119,12,18,175,29,26,164,20,23,183,41,31
Koraput,2019-06,64,9,7,75,14,19,53,7,7,101,16,15
Sambalpur,2019-06,83,14,11,164,26,28,134,21,22,206,30,41
Puri,2019-06,82,18,13,143,20,27,102,14,12,157,27,25
Balasore,2019-06,110,15,19,110,19,19,116,21,21,183,21,22
Rourkela,2019-06,183,23,24,233,34,35,187,35,26,270,47,45
Mayurbhanj,2019-06,43,5,7,88,10,16,74,9,5,88,15,11
Cuttack,2019-06,173,18,18,307,36,41,240,37,44,361,52,42
Kalahandi,2019-06,40,5,4,71,8,8,41,3,3,63,9,5
Bhubaneswar,2019-07,215,36,28,325,43,50,248,40,36,377,61,46
Ganjam,2019-07,113,13,15,178,28,23,161,25,27,193,39,30
Koraput,2019-07,66,9,10,70,12,12,53,3,4,102,19,12
Sambalpur,2019-07,86,12,12,162,29,33,133,16,24,195,24,24
Puri,2019-07,87,12,18,136,15,13,104,12,15,159,18,14
Balasore,2019-07,106,14,14,110,21,22,116,18,23,182,15,25
Rourkela,2019-07,182,31,20,232,31,34,196,27,30,272,38,44
Mayurbhanj,2019-07,41,10,13,82,12,9,78,8,8,92,12,7
Cuttack,2019-07,173,24,30,302,52,37,233,47,31,371,55,59
Kalahandi,2019-07,41,11,6,71,10,7,41,6,6,67,15,13
Bhubaneswar,2019-08,223,32,35,318,60,49,252,40,39,392,57,55
Ganjam,2019-08,111,18,23,183,24,22,159,15,27,202,27,29
Koraput,2019-08,65,13,8,70,13,7,52,15,9,109,16,15
Sambalpur,2019-08,86,17,18,158,19,22,125,15,22,195,15,27
Puri,2019-08,81,8,11,138,21,20,101,11,20,163,21,26
Balasore,2019-08,106,16,15,109,23,18,111,15,14,172,23,28
Rourkela,2019-08,193,16,24,229,32,29,193,19,17,266,47,38
Mayurbhanj,2019-08,38,2,3,85,9,17,78,6,5,97,9,13
Cuttack,2019-08,167,36,27,317,44,30,249,30,33,367,57,61
Kalahandi,2019-08,46,7,6,74,9,10,41,7,6,69,12,11
Bhubaneswar,2019-09,220,36,28,329,52,51,253,33,36,394,49,56
Ganjam,2019-09,106,19,24,185,26,24,147,16,19,200,34,27
Koraput,2019-09,70,9,9,76,12,10,58,11,13,110,8,14
Sambalpur,2019-09,85,16,9,155,19,21,118,16,8,183,16,21
Puri,2019-09,78,8,11,139,20,23,92,15,15,158,20,29
Balasore,2019-09,107,8,11,114,19,15,112,8,5,167,32,21
Rourkela,2019-09,185,19,30,232,33,34,195,27,30,275,30,37
Mayurbhanj,2019-09,37,15,10,77,10,13,79,7,8,93,17,14
Cuttack,2019-09,176,29,27,331,44,38,246,38,32,363,35,47
Kalahandi,2019-09,47,8,8,73,9,15,42,7,7,70,10,7
Bhubaneswar,2019-10,228,36,33,330,39,45,250,40,38,387,48,55
Ganjam,2019-10,101,15,15,187,29,16,144,24,21,207,29,26
Koraput,2019-10,70,7,11,78,4,11,56,1,3,104,13,19
Sambalpur,2019-10,92,19,11,153,26,28,126,16,22,178,36,21
Puri,2019-10,75,15,12,136,16,23,92,12,10,149,27,27
Balasore,2019-10,104,10,20,118,13,14,115,19,18,178,25,26
Rourkela,2019-10,174,21,27,231,40,34,192,23,11,268,37,46
Mayurbhanj,2019-10,42,7,6,74,10,11,78,6,10,96,19,13
Cuttack,2019-10,178,25,26,337,39,47,252,32,34,351,46,56
Kalahandi,2019-10,47,5,9,67,12,9,42,4,5,73,12,16
Bhubaneswar,2019-11,231,32,31,324,46,50,252,43,37,380,53,57
Ganjam,2019-11,101,19,10,200,24,20,147,20,29,210,37,35
Koraput,2019-11,66,3,9,71,10,11,54,3,5,98,10,11
Sambalpur,2019-11,100,12,20,151,21,18,120,15,15,193,40,41
Puri,2019-11,78,8,6,129,23,21,94,15,13,149,20,19
Balasore,2019-11,94,19,11,117,25,21,116,14,15,177,37,23
Rourkela,2019-11,168,31,21,237,28,30,204,26,16,259,50,43
Mayurbhanj,2019-11,43,2,8,73,9,10,74,9,7,102,14,20
Cuttack,2019-11,177,32,36,329,40,37,250,31,45,341,42,49
Kalahandi,2019-11,43,8,10,70,6,10,41,5,7,69,11,11
Bhubaneswar,2019-12,232,28,34,320,56,45,258,41,47,376,40,49
Ganjam,2019-12,110,15,11,204,28,22,138,17,23,212,29,25
Koraput,2019-12,60,6,5,70,9,9,52,11,11,97,16,19
Sambalpur,2019-12,92,19,17,154,23,23,120,19,20,192,27,27
Puri,2019-12,80,5,5,131,18,20,96,13,15,150,17,22
Balasore,2019-12,102,20,14,121,21,14,115,16,22,191,28,29
Rourkela,2019-12,178,27,27,235,26,35,214,31,30,266,34,45
Mayurbhanj,2019-12,37,6,2,72,11,10,76,12,15,96,10,6
Cuttack,2019-12,173,31,27,332,43,41,236,34,32,334,50,45
Kalahandi,2019-12,41,9,5,66,10,14,39,7,1,69,15,11
Bhubaneswar,2020-01,226,34,36,331,46,56,252,46,40,367,54,57
Ganjam,2020-01,114,14,12,210,26,28,132,17,15,216,32,36
Koraput,2020-01,61,5,6,70,15,13,52,7,1,94,21,12
Sambalpur,2020-01,94,13,10,154,31,29,119,13,10,192,24,27
Puri,2020-01,80,4,12,129,17,13,94,10,10,145,18,22
Balasore,2020-01,108,14,16,128,17,15,109,18,13,190,31,27
Rourkela,2020-01,178,21,16,226,31,37,215,27,27,255,31,36
Mayurbhanj,2020-01,41,14,8,73,13,10,73,7,14,100,8,9
Cuttack,2020-01,177,21,22,334,58,61,238,19,27,339,47,56
Kalahandi,2020-01,45,6,6,62,9,9,45,11,10,73,12,7
Bhubaneswar,2020-02,224,27,34,321,45,49,258,29,39,364,61,45
Ganjam,2020-02,116,18,14,208,32,31,134,16,14,212,31,27
Koraput,2020-02,60,5,10,72,10,10,58,11,12,103,23,18
Sambalpur,2020-02,97,13,19,156,24,32,122,15,13,189,29,21
Puri,2020-02,72,11,12,133,18,21,94,16,18,141,22,21
Balasore,2020-02,106,15,18,130,25,14,114,17,16,194,17,21
Rourkela,2020-02,183,21,19,220,22,17,215,25,38,250,34,42
Mayurbhanj,2020-02,47,3,7,76,7,14,66,11,13,99,13,12
Cuttack,2020-02,176,29,22,331,38,40,230,36,35,330,42,42
Kalahandi,2020-02,45,8,8,62,5,2,46,4,9,78,9,11
Bhubaneswar,2020-03,217,36,33,317,47,50,248,33,34,380,57,45
Ganjam,2020-03,120,18,14,209,28,17,136,17,20,216,37,38
Koraput,2020-03,55,5,10,72,11,7,57,10,4,108,11,10
Sambalpur,2020-03,91,12,15,148,24,25,124,15,19,197,31,31
Puri,2020-03,71,12,7,130,12,16,92,14,11,142,25,32
Balasore,2020-03,103,20,15,141,29,20,115,15,16,190,28,33
Rourkela,2020-03,185,24,23,225,35,33,202,30,28,242,31,42
Mayurbhanj,2020-03,43,6,4,69,13,10,64,15,8,100,19,15
Cuttack,2020-03,183,20,23,329,36,52,231,36,34,330,50,50
Kalahandi,2020-03,45,2,3,65,5,10,41,5,8,76,12,14
Bhubaneswar,2020-04,220,32,29,314,39,32,247,30,28,392,65,74
Ganjam,2020-04,124,13,13,220,22,24,133,21,15,215,20,30
Koraput,2020-04,50,10,8,76,9,5,63,9,8,109,12,23
Sambalpur,2020-04,88,8,12,147,26,28,120,23,19,197,33,28
Puri,2020-04,76,14,17,126,13,14,95,18,11,135,30,15
Balasore,2020-04,108,22,21,150,23,18,114,10,9,185,24,34
Rourkela,2020-04,186,22,35,227,27,20,204,23,30,231,51,35
Mayurbhanj,2020-04,45,6,7,72,14,17,71,6,5,104,14,18
Cuttack,2020-04,180,28,22,313,41,55,233,39,35,330,44,44
Kalahandi,2020-04,44,7,13,60,10,14,38,9,5,74,5,8
Bhubaneswar,2020-05,223,26,31,321,48,51,249,43,33,383,47,43
Ganjam,2020-05,124,16,18,218,29,35,139,24,22,205,27,37
Koraput,2020-05,52,11,8,80,16,16,64,8,14,98,17,12
Sambalpur,2020-05,84,14,8,145,26,24,124,17,17,202,27,33
Puri,2020-05,73,14,11,125,16,16,102,10,13,150,28,28
Balasore,2020-05,109,12,17,155,17,22,115,14,14,175,24,25
Rourkela,2020-05,173,17,28,234,41,39,197,36,29,247,51,44
Mayurbhanj,2020-05,44,6,6,69,7,11,72,5,14,100,15,10
Cuttack,2020-05,186,28,24,299,43,33,237,28,31,330,53,49
Kalahandi,2020-05,38,7,4,56,6,3,42,8,11,71,5,6
Bhubaneswar,2020-06,218,29,37,318,45,34,259,32,45,387,42,54
Ganjam,2020-06,122,20,18,212,31,23,141,18,12,195,33,29
Koraput,2020-06,55,14,10,80,11,8,58,10,16,103,15,14
Sambalpur,2020-06,90,13,14,147,24,20,124,15,17,196,23,30
Puri,2020-06,76,9,8,125,13,12,99,11,9,150,22,32
Balasore,2020-06,104,18,14,150,18,26,115,16,14,174,20,26
Rourkela,2020-06,162,18,16,236,35,33,204,36,37,254,45,45
Mayurbhanj,2020-06,44,8,10,65,6,9,63,6,11,105,13,9
Cuttack,2020-06,190,27,25,309,43,46,234,40,35,334,61,50
Kalahandi,2020-06,41,6,9,59,8,9,39,7,7,70,12,20
Bhubaneswar,2020-07,210,36,19,329,51,57,246,47,38,375,61,61
Ganjam,2020-07,124,24,15,220,19,32,147,19,20,199,39,40
Koraput,2020-07,59,7,15,83,13,8,52,13,8,104,18,24
Sambalpur,2020-07,89,17,19,151,15,17,122,25,14,189,24,24
Puri,2020-07,77,9,9,126,23,19,101,20,15,140,22,25
Balasore,2020-07,108,14,8,142,23,25,117,13,15,168,30,19
Rourkela,2020-07,164,24,19,238,30,41,203,20,38,254,53,31
Mayurbhanj,2020-07,42,2,9,62,12,9,58,6,9,109,9,18
Cuttack,2020-07,192,28,36,306,45,40,239,36,50,345,42,51
Kalahandi,2020-07,38,2,0,58,11,13,39,8,6,62,8,6
Bhubaneswar,2020-08,227,32,33,323,33,50,255,41,34,375,56,66
Ganjam,2020-08,133,19,17,207,14,32,146,23,30,198,27,29
Koraput,2020-08,51,6,7,88,17,9,57,7,8,98,18,16
Sambalpur,2020-08,87,19,15,149,14,15,133,21,22,189,29,24
Puri,2020-08,77,14,13,130,18,23,106,17,16,137,23,21
Balasore,2020-08,114,16,16,140,28,30,115,25,20,179,18,24
Rourkela,2020-08,169,25,28,227,33,27,185,28,21,276,51,38
Mayurbhanj,2020-08,35,13,3,65,9,4,55,12,12,100,7,11
Cuttack,2020-08,184,28,23,311,61,53,225,43,32,336,47,46
Kalahandi,2020-08,40,4,3,56,8,7,41,7,8,64,13,15
Bhubaneswar,2020-09,226,23,26,306,46,45,262,33,41,365,56,49
Ganjam,2020-09,135,13,14,189,40,35,139,22,17,196,23,35
Koraput,2020-09,50,9,6,96,9,11,56,7,7,100,11,17
Sambalpur,2020-09,91,16,8,148,29,24,132,21,21,194,25,26
Puri,2020-09,78,15,5,125,17,22,107,14,16,139,31,25
Balasore,2020-09,114,13,15,138,26,21,120,19,16,173,17,23
Rourkela,2020-09,166,16,22,233,31,40,192,28,32,289,45,51
Mayurbhanj,2020-09,45,10,6,70,9,12,55,11,8,96,14,10
Cuttack,2020-09,189,24,24,319,34,48,236,37,42,337,46,38
Kalahandi,2020-09,41,3,6,57,6,7,40,8,11,62,10,10
Bhubaneswar,2020-10,223,34,34,307,47,38,254,26,39,372,55,52
Ganjam,2020-10,134,18,20,194,34,31,144,19,24,184,32,17
Koraput,2020-10,53,10,7,94,13,17,56,14,10,94,17,13
Sambalpur,2020-10,99,10,12,153,20,18,132,19,22,193,24,26
Puri,2020-10,88,13,15,120,12,16,105,19,9,145,23,28
Balasore,2020-10,112,21,23,143,17,18,123,19,18,167,22,22
Rourkela,2020-10,160,23,20,224,30,30,188,30,20,283,48,40
Mayurbhanj,2020-10,49,6,7,67,7,5,58,5,8,100,9,11
Cuttack,2020-10,189,27,32,305,49,36,231,42,30,345,46,40
Kalahandi,2020-10,38,9,5,56,7,6,37,6,6,62,13,10
Bhubaneswar,2020-11,223,26,35,316,43,35,241,35,32,375,58,51
Ganjam,2020-11,132,23,19,197,26,25,139,27,22,199,32,34
Koraput,2020-11,56,5,7,90,7,10,60,10,13,98,12,8
Sambalpur,2020-11,97,15,14,155,20,11,129,18,21,191,34,27
Puri,2020-11,86,8,15,116,22,24,115,9,15,140,21,24
Balasore,2020-11,110,13,16,142,19,22,124,18,18,167,30,17
Rourkela,2020-11,163,25,27,224,41,25,198,25,26,291,46,39
Mayurbhanj,2020-11,48,6,6,69,9,9,55,11,8,98,18,25
Cuttack,2020-11,184,32,18,318,46,39,243,37,42,351,56,48
Kalahandi,2020-11,42,6,5,57,8,10,37,5,4,65,12,9
Bhubaneswar,2020-12,214,32,28,324,44,59,244,30,32,382,40,47
Ganjam,2020-12,136,14,11,198,23,29,144,18,25,197,32,29
Koraput,2020-12,54,15,5,87,12,14,57,10,6,102,23,14
Sambalpur,2020-12,98,15,13,164,22,24,126,18,18,198,17,19
Puri,2020-12,79,14,8,114,24,14,109,18,14,137,29,34
Balasore,2020-12,107,15,11,139,27,24,124,16,8,180,27,33
Rourkela,2020-12,161,19,28,240,36,36,197,34,33,298,40,43
Mayurbhanj,2020-12,48,8,5,69,13,13,58,9,10,91,17,22
Cuttack,2020-12,198,23,31,325,33,38,238,45,32,359,51,47
Kalahandi,2020-12,43,8,9,55,9,8,38,12,7,68,9,9
Bhubaneswar,2021-01,218,25,26,309,52,43,242,38,35,375,47,45
Ganjam,2021-01,139,21,21,192,32,29,137,16,20,200,35,31
Koraput,2021-01,64,7,10,85,10,20,61,11,10,111,15,11
Sambalpur,2021-01,100,17,12,162,18,15,126,16,22,196,31,32
Puri,2021-01,85,12,15,124,15,25,113,6,13,132,23,29
Balasore,2021-01,111,7,13,142,29,27,132,21,22,174,24,30
Rourkela,2021-01,152,18,19,240,28,26,198,33,30,295,34,36
Mayurbhanj,2021-01,51,8,9,69,8,9,57,8,7,86,18,16
Cuttack,2021-01,190,27,19,320,47,42,251,32,26,363,49,52
Kalahandi,2021-01,42,9,3,56,14,10,43,4,2,68,10,7
Bhubaneswar,2021-02,217,17,31,318,29,40,245,37,28,377,73,55
Ganjam,2021-02,139,17,30,195,20,31,133,13,15,204,33,37
Koraput,2021-02,61,7,5,75,16,19,62,11,16,115,14,18
Sambalpur,2021-02,105,15,13,165,17,22,120,23,21,195,29,24
Puri,2021-02,82,10,8,114,18,14,106,15,17,126,26,11
Balasore,2021-02,105,18,16,144,19,22,131,20,23,168,23,24
Rourkela,2021-02,151,32,23,242,29,42,201,32,28,293,33,43
Mayurbhanj,2021-02,50,7,6,68,9,13,58,5,6,88,12,5
Cuttack,2021-02,198,30,32,325,46,50,257,33,31,360,50,58
Kalahandi,2021-02,48,4,5,60,10,8,45,5,4,71,8,11
Bhubaneswar,2021-03,203,33,24,307,48,36,254,45,32,395,56,50
Ganjam,2021-03,126,15,17,184,23,21,131,19,21,200,37,29
Koraput,2021-03,63,11,13,72,16,5,57,7,11,111,12,16
Sambalpur,2021-03,107,18,11,160,25,24,122,18,12,200,22,25
Puri,2021-03,84,19,9,118,19,20,104,12,24,141,21,17
Balasore,2021-03,107,16,8,141,17,15,128,14,16,167,25,24
Rourkela,2021-03,160,22,18,229,32,27,205,37,30,283,34,39
Mayurbhanj,2021-03,51,6,1,64,9,10,57,15,13,95,11,14
Cuttack,2021-03,196,31,30,321,48,46,259,35,36,352,45,54
Kalahandi,2021-03,47,6,8,62,13,8,46,4,9,68,3,5
Bhubaneswar,2021-04,212,32,31,319,48,54,267,32,37,401,69,66
Ganjam,2021-04,124,18,12,186,32,25,129,23,31,208,37,27
Koraput,2021-04,61,12,4,83,12,13,53,9,14,107,29,13
Sambalpur,2021-04,114,23,18,161,21,29,128,18,21,197,22,27
Puri,2021-04,94,12,14,117,15,15,92,19,17,145,20,18
Balasore,2021-04,115,21,13,143,20,34,126,10,11,168,19,24
Rourkela,2021-04,164,26,28,234,21,31,212,26,27,278,31,30
Mayurbhanj,2021-04,56,8,6,63,5,9,59,7,8,92,14,13
Cuttack,2021-04,197,23,28,323,40,38,258,38,42,343,49,42
Kalahandi,2021-04,45,10,10,67,12,12,41,6,9,66,10,9
Bhubaneswar,2021-05,213,31,28,313,50,55,262,42,39,404,57,53
Ganjam,2021-05,130,16,19,193,16,29,121,32,31,218,29,36
Koraput,2021-05,69,12,6,82,14,14,48,11,8,123,9,15
Sambalpur,2021-05,119,7,13,153,27,19,125,20,17,192,25,29
Puri,2021-05,92,12,15,117,24,22,94,15,10,147,20,20
Balasore,2021-05,123,16,22,129,24,19,125,14,22,163,23,22
Rourkela,2021-05,162,21,19,224,38,34,211,33,28,279,37,36
Mayurbhanj,2021-05,58,12,10,59,9,9,58,13,10,93,11,9
Cuttack,2021-05,192,31,29,325,51,55,254,37,24,350,56,52
Kalahandi,2021-05,45,9,8,67,11,4,38,8,3,67,6,16
Bhubaneswar,2021-06,216,39,27,308,50,39,265,38,41,408,56,60
Ganjam,2021-06,127,25,16,180,34,35,122,30,18,211,28,26
Koraput,2021-06,75,9,8,82,12,12,51,12,9,117,18,12
Sambalpur,2021-06,113,23,11,161,15,17,128,23,19,188,28,30
Puri,2021-06,89,11,14,119,20,19,99,26,25,147,29,38
Balasore,2021-06,117,18,14,134,18,11,117,17,14,164,25,27
Rourkela,2021-06,164,20,38,228,30,40,216,28,28,280,34,39
Mayurbhanj,2021-06,60,4,7,59,15,11,61,12,13,95,12,10
Cuttack,2021-06,194,35,27,321,43,42,267,24,30,354,50,68
Kalahandi,2021-06,46,5,6,74,10,5,43,11,7,57,9,14
Bhubaneswar,2021-07,228,33,29,319,40,49,262,41,45,404,52,63
Ganjam,2021-07,136,16,28,179,28,29,134,12,13,213,42,46
Koraput,2021-07,76,12,8,82,13,9,54,7,3,123,16,16
