district,month,nbw_pending_start,nbw_received,nbw_executed_drive,nbw_disposed_other,nbw_total_disposed,nbw_pending_end,nbw_executed_st_gr,nbw_executed_before2023
Balasore,2019-03,660,155,97,46,143,672,23,2
Rourkela,2019-03,706,229,160,64,224,711,52,6
Mayurbhanj,2019-03,680,73,41,17,58,695,14,9
Cuttack,2019-03,612,242,153,89,242,612,50,3
Kalahandi,2019-03,605,62,39,20,59,608,10,9
Bhubaneswar,2019-04,635,304,191,90,281,658,48,3
Ganjam,2019-04,735,170,129,71,200,705,28,4
Koraput,2019-04,660,85,56,21,77,668,16,7
Sambalpur,2019-04,664,145,99,42,141,668,32,10
Puri,2019-04,683,131,76,46,122,692,18,8
Balasore,2019-04,672,138,85,37,122,688,23,4
Rourkela,2019-04,711,196,154,80,234,673,36,3
Mayurbhanj,2019-04,695,66,55,19,74,687,17,8
Cuttack,2019-04,612,261,173,55,228,645,63,6
Kalahandi,2019-04,608,57,43,16,59,606,8,7
Bhubaneswar,2019-05,658,297,187,105,292,663,56,4
Ganjam,2019-05,705,161,137,66,203,663,28,8
Koraput,2019-05,668,80,37,35,72,676,7,9
Sambalpur,2019-05,668,125,96,54,150,643,28,3
Puri,2019-05,692,122,79,46,125,689,24,6
Balasore,2019-05,688,121,91,47,138,671,36,6
Rourkela,2019-05,673,232,133,78,211,694,43,7
Mayurbhanj,2019-05,687,85,47,27,74,698,15,8
Cuttack,2019-05,645,283,158,92,250,678,51,5
Kalahandi,2019-05,606,62,46,18,64,604,17,10
Bhubaneswar,2019-06,663,275,227,88,315,623,48,10
Ganjam,2019-06,663,171,103,59,162,672,21,6
Koraput,2019-06,676,84,47,25,72,688,9,4
Sambalpur,2019-06,643,153,91,44,135,661,29,2
Puri,2019-06,689,131,78,33,111,709,22,8
Balasore,2019-06,671,146,91,43,134,683,19,3
Rourkela,2019-06,694,205,153,60,213,686,41,6
Mayurbhanj,2019-06,698,85,58,21,79,704,12,8
Cuttack,2019-06,678,245,194,95,289,634,54,7
Kalahandi,2019-06,604,53,39,22,61,596,12,7
Bhubaneswar,2019-07,623,318,191,95,286,655,70,5
Ganjam,2019-07,672,195,108,60,168,699,37,7
Koraput,2019-07,688,81,61,21,82,687,15,4
Sambalpur,2019-07,661,162,89,60,149,674,30,6
Puri,2019-07,709,117,79,34,113,713,29,5
Balasore,2019-07,683,127,88,43,131,679,31,9
Rourkela,2019-07,686,206,156,79,235,657,54,8
Mayurbhanj,2019-07,704,59,52,23,75,688,17,3
Cuttack,2019-07,634,272,186,82,268,638,47,7
Kalahandi,2019-07,596,59,43,16,59,596,16,2
Bhubaneswar,2019-08,655,320,193,98,291,684,48,5
Ganjam,2019-08,699,182,119,64,183,698,27,9
Koraput,2019-08,687,95,55,29,84,698,11,10
Sambalpur,2019-08,674,143,106,47,153,664,36,3
Puri,2019-08,713,107,93,52,145,675,23,6
Balasore,2019-08,679,148,102,59,161,666,27,5
Rourkela,2019-08,657,249,129,73,202,704,40,1
Mayurbhanj,2019-08,688,77,48,23,71,694,11,3
Cuttack,2019-08,638,292,167,70,237,693,41,9
Kalahandi,2019-08,596,60,40,17,57,599,12,2
Bhubaneswar,2019-09,684,294,197,96,293,685,74,10
Ganjam,2019-09,698,184,134,62,196,686,47,5
Koraput,2019-09,698,67,41,36,77,688,9,8
Sambalpur,2019-09,664,158,95,55,150,672,35,7
Puri,2019-09,675,131,73,45,118,688,29,4
Balasore,2019-09,666,150,92,52,144,672,32,7
Rourkela,2019-09,704,211,162,71,233,682,47,5
Mayurbhanj,2019-09,694,81,49,26,75,700,10,9
Cuttack,2019-09,693,270,177,86,263,700,61,10
Kalahandi,2019-09,599,60,20,10,30,629,4,5
Bhubaneswar,2019-10,685,318,194,114,308,695,40,5
Ganjam,2019-10,686,174,129,61,190,670,48,9
Koraput,2019-10,688,88,53,31,84,692,18,8
Sambalpur,2019-10,672,173,99,67,166,679,21,5
Puri,2019-10,688,124,82,46,128,684,21,12
Balasore,2019-10,672,138,82,60,142,668,25,4
Rourkela,2019-10,682,207,164,81,245,644,33,4
Mayurbhanj,2019-10,700,72,51,20,71,701,17,15
Cuttack,2019-10,700,271,214,118,332,639,61,3
Kalahandi,2019-10,629,46,40,27,67,608,13,6
Bhubaneswar,2019-11,695,321,204,125,329,687,57,6
Ganjam,2019-11,670,182,123,57,180,672,27,4
Koraput,2019-11,692,88,59,25,84,696,19,6
Sambalpur,2019-11,679,157,116,47,163,673,37,10
Puri,2019-11,684,112,92,43,135,661,33,7
Balasore,2019-11,668,151,77,39,116,703,19,6
Rourkela,2019-11,644,198,148,68,216,626,36,7
Mayurbhanj,2019-11,701,59,54,28,82,678,14,9
Cuttack,2019-11,639,329,215,100,315,653,57,6
Kalahandi,2019-11,608,60,36,18,54,614,7,7
Bhubaneswar,2019-12,687,313,196,98,294,706,64,7
Ganjam,2019-12,672,177,125,61,186,663,49,5
Koraput,2019-12,696,76,53,26,79,693,11,8
Sambalpur,2019-12,673,158,89,49,138,693,23,6
Puri,2019-12,661,118,73,44,117,662,16,7
Balasore,2019-12,703,118,122,47,169,652,46,7
Rourkela,2019-12,626,197,135,60,195,628,29,7
Mayurbhanj,2019-12,678,67,43,28,71,674,9,2
Cuttack,2019-12,653,272,163,77,240,685,63,6
Kalahandi,2019-12,614,54,40,16,56,612,9,4
Bhubaneswar,2020-01,706,334,208,106,314,726,67,7
Ganjam,2020-01,663,177,128,52,180,660,35,5
Koraput,2020-01,693,73,56,38,94,672,17,4
Sambalpur,2020-01,693,162,107,63,170,685,24,6
Puri,2020-01,662,106,82,39,121,647,17,6
Balasore,2020-01,652,130,98,51,149,633,20,11
Rourkela,2020-01,628,247,135,61,196,679,30,9
Mayurbhanj,2020-01,674,81,47,27,74,681,11,6
Cuttack,2020-01,685,323,210,115,325,683,58,8
Kalahandi,2020-01,612,70,34,15,49,633,7,5
Bhubaneswar,2020-02,726,289,218,100,318,697,77,7
Ganjam,2020-02,660,183,142,48,190,653,53,4
Koraput,2020-02,672,76,45,26,71,677,11,8
Sambalpur,2020-02,685,129,106,53,159,655,21,6
Puri,2020-02,647,111,59,34,93,665,22,5
Balasore,2020-02,633,130,73,58,131,632,19,8
Rourkela,2020-02,679,245,138,81,219,705,46,4
Mayurbhanj,2020-02,681,65,59,22,81,665,20,2
Cuttack,2020-02,683,282,208,93,301,664,66,6
Kalahandi,2020-02,633,53,35,17,52,634,9,7
Bhubaneswar,2020-03,697,284,176,117,293,688,60,8
Ganjam,2020-03,653,189,106,46,152,690,35,6
Koraput,2020-03,677,82,45,27,72,687,16,7
Sambalpur,2020-03,655,160,113,59,172,643,44,5
Puri,2020-03,665,108,79,45,124,649,18,3
Balasore,2020-03,632,128,83,59,142,618,31,5
Rourkela,2020-03,705,210,143,67,210,705,29,10
Mayurbhanj,2020-03,665,68,43,23,66,667,11,11
Cuttack,2020-03,664,295,182,96,278,681,66,13
Kalahandi,2020-03,634,65,41,18,59,640,10,9
Bhubaneswar,2020-04,688,291,204,126,330,649,59,10
Ganjam,2020-04,690,202,121,67,188,704,35,6
Koraput,2020-04,687,79,54,23,77,689,12,12
Sambalpur,2020-04,643,176,114,59,173,646,29,14
Puri,2020-04,649,124,92,47,139,634,31,3
Balasore,2020-04,618,143,79,32,111,650,22,5
Rourkela,2020-04,705,230,162,78,240,695,55,5
Mayurbhanj,2020-04,667,74,42,29,71,670,13,5
Cuttack,2020-04,681,272,189,88,277,676,42,4
Kalahandi,2020-04,640,66,34,18,52,654,12,5
Bhubaneswar,2020-05,649,310,212,112,324,635,61,4
Ganjam,2020-05,704,200,129,57,186,718,50,4
Koraput,2020-05,689,69,60,24,84,674,14,7
Sambalpur,2020-05,646,148,89,47,136,658,29,6
Puri,2020-05,634,129,86,40,126,637,28,6
Balasore,2020-05,650,134,83,55,138,646,23,5
Rourkela,2020-05,695,214,157,67,224,685,54,10
Mayurbhanj,2020-05,670,63,52,18,70,663,19,6
Cuttack,2020-05,676,287,174,93,267,696,55,11
Kalahandi,2020-05,654,63,42,23,65,652,9,9
Bhubaneswar,2020-06,635,294,196,97,293,636,45,8
Ganjam,2020-06,718,191,133,76,209,700,44,11
Koraput,2020-06,674,90,48,22,70,694,11,12
Sambalpur,2020-06,658,164,100,46,146,676,22,5
Puri,2020-06,637,100,69,36,105,632,15,8
Balasore,2020-06,646,129,79,39,118,657,27,8
Rourkela,2020-06,685,204,154,75,229,660,51,4
Mayurbhanj,2020-06,663,51,64,29,93,621,13,2
Cuttack,2020-06,696,274,200,97,297,673,64,5
Kalahandi,2020-06,652,54,51,21,72,634,16,6
Bhubaneswar,2020-07,636,301,210,88,298,639,78,5
Ganjam,2020-07,700,186,120,62,182,704,43,4
Koraput,2020-07,694,92,66,25,91,695,17,6
Sambalpur,2020-07,676,141,96,49,145,672,38,3
Puri,2020-07,632,108,74,33,107,633,23,9
Balasore,2020-07,657,140,91,66,157,640,35,6
Rourkela,2020-07,660,200,136,69,205,655,36,5
Mayurbhanj,2020-07,621,77,59,22,81,617,11,11
Cuttack,2020-07,673,274,197,85,282,665,57,3
Kalahandi,2020-07,634,65,40,12,52,647,10,8
Bhubaneswar,2020-08,639,305,199,96,295,649,67,5
Ganjam,2020-08,704,175,138,66,204,675,44,11
Koraput,2020-08,695,74,50,28,78,691,15,6
Sambalpur,2020-08,672,146,105,53,158,660,39,8
Puri,2020-08,633,114,82,37,119,628,25,5
Balasore,2020-08,640,125,87,60,147,618,34,12
Rourkela,2020-08,655,261,141,74,215,701,30,7
Mayurbhanj,2020-08,617,69,45,16,61,625,13,3
Cuttack,2020-08,665,297,170,98,268,694,56,3
Kalahandi,2020-08,647,55,29,22,51,651,9,5
Bhubaneswar,2020-09,649,311,189,92,281,679,55,4
Ganjam,2020-09,675,180,135,68,203,652,31,8
Koraput,2020-09,691,84,65,27,92,683,21,5
Sambalpur,2020-09,660,172,90,57,147,685,35,8
Puri,2020-09,628,122,74,36,110,640,24,2
Balasore,2020-09,618,175,81,33,114,679,17,4
Rourkela,2020-09,701,245,159,82,241,705,39,14
Mayurbhanj,2020-09,625,83,44,22,66,642,11,5
Cuttack,2020-09,694,290,207,103,310,674,59,6
Kalahandi,2020-09,651,57,54,21,75,633,11,12
Bhubaneswar,2020-10,679,312,201,101,302,689,44,9
Ganjam,2020-10,652,207,114,63,177,682,33,10
Koraput,2020-10,683,76,54,29,83,676,14,8
Sambalpur,2020-10,685,154,118,52,170,669,25,7
Puri,2020-10,640,114,71,47,118,636,28,13
Balasore,2020-10,679,156,94,52,146,689,29,4
Rourkela,2020-10,705,207,127,78,205,707,31,8
Mayurbhanj,2020-10,642,76,50,29,79,639,15,3
Cuttack,2020-10,674,282,185,110,295,661,73,10
Kalahandi,2020-10,633,64,51,25,76,621,10,9
Bhubaneswar,2020-11,689,324,212,86,298,715,51,7
Ganjam,2020-11,682,180,124,60,184,678,37,8
Koraput,2020-11,676,71,52,28,80,667,13,5
Sambalpur,2020-11,669,140,102,42,144,665,33,7
Puri,2020-11,636,121,84,43,127,630,29,7
Balasore,2020-11,689,148,92,44,136,701,18,9
Rourkela,2020-11,707,216,139,91,230,693,39,9
Mayurbhanj,2020-11,639,70,50,20,70,639,15,5
Cuttack,2020-11,661,294,181,102,283,672,61,8
Kalahandi,2020-11,621,64,37,21,58,627,13,4
Bhubaneswar,2020-12,715,328,214,106,320,723,71,12
Ganjam,2020-12,678,176,116,67,183,671,44,10
Koraput,2020-12,667,82,33,31,64,685,7,8
Sambalpur,2020-12,665,131,100,63,163,633,37,5
Puri,2020-12,630,119,70,28,98,651,27,5
Balasore,2020-12,701,157,94,43,137,721,31,6
Rourkela,2020-12,693,219,157,78,235,677,42,2
Mayurbhanj,2020-12,639,58,40,24,64,633,12,5
Cuttack,2020-12,672,271,177,100,277,666,39,9
Kalahandi,2020-12,627,59,37,22,59,627,11,12
Bhubaneswar,2021-01,723,329,236,98,334,718,70,13
Ganjam,2021-01,671,188,121,54,175,684,33,3
Koraput,2021-01,685,66,52,20,72,679,12,11
Sambalpur,2021-01,633,124,80,54,134,623,25,5
Puri,2021-01,651,137,80,45,125,663,17,10
Balasore,2021-01,721,125,94,42,136,710,26,7
Rourkela,2021-01,677,203,149,73,222,658,51,5
Mayurbhanj,2021-01,633,71,44,20,64,640,11,7
Cuttack,2021-01,666,257,187,83,270,653,71,7
Kalahandi,2021-01,627,59,38,15,53,633,10,5
Bhubaneswar,2021-02,718,302,215,94,309,711,81,3
Ganjam,2021-02,684,183,134,65,199,668,36,4
Koraput,2021-02,679,73,49,22,71,681,17,5
Sambalpur,2021-02,623,163,97,49,146,640,37,7
Puri,2021-02,663,122,75,44,119,666,18,5
Balasore,2021-02,710,146,113,49,162,694,24,5
Rourkela,2021-02,658,228,149,80,229,657,44,4
Mayurbhanj,2021-02,640,70,40,28,68,642,9,5
Cuttack,2021-02,653,286,195,86,281,658,42,8
Kalahandi,2021-02,633,75,38,21,59,649,11,11
Bhubaneswar,2021-03,711,282,197,117,314,679,51,7
Ganjam,2021-03,668,159,109,50,159,668,39,10
Koraput,2021-03,681,77,70,29,99,659,16,5
Sambalpur,2021-03,640,161,88,37,125,676,31,6
Puri,2021-03,666,105,82,40,122,649,25,4
Balasore,2021-03,694,132,98,40,138,688,30,7
Rourkela,2021-03,657,226,171,67,238,645,64,5
Mayurbhanj,2021-03,642,60,56,31,87,615,18,11
Cuttack,2021-03,658,303,179,89,268,693,43,4
Kalahandi,2021-03,649,54,40,21,61,642,9,7
Bhubaneswar,2021-04,679,291,179,111,290,680,62,6
Ganjam,2021-04,668,165,129,57,186,647,35,4
Koraput,2021-04,659,75,48,28,76,658,13,9
Sambalpur,2021-04,676,148,99,49,148,676,35,7
Puri,2021-04,649,115,90,33,123,641,21,6
Balasore,2021-04,688,131,82,42,124,695,20,7
Rourkela,2021-04,645,215,144,71,215,645,34,1
Mayurbhanj,2021-04,615,54,56,25,81,588,14,8
Cuttack,2021-04,693,292,216,90,306,679,50,3
Kalahandi,2021-04,642,58,32,19,51,649,6,11
Bhubaneswar,2021-05,680,318,206,104,310,688,43,7
Ganjam,2021-05,647,195,115,64,179,663,29,9
Koraput,2021-05,658,75,49,35,84,649,10,8
Sambalpur,2021-05,676,164,105,48,153,687,24,3
Puri,2021-05,641,102,93,45,138,605,25,6
Balasore,2021-05,695,142,102,48,150,687,27,13
Rourkela,2021-05,645,223,144,66,210,658,49,7
Mayurbhanj,2021-05,588,71,40,26,66,593,15,7
Cuttack,2021-05,679,268,199,98,297,650,69,6
Kalahandi,2021-05,649,60,42,17,59,650,13,9
Bhubaneswar,2021-06,688,292,203,102,305,675,50,4
Ganjam,2021-06,663,192,122,60,182,673,41,8
Koraput,2021-06,649,78,54,30,84,643,20,9
Sambalpur,2021-06,687,141,95,42,137,691,21,7
Puri,2021-06,605,123,77,34,111,617,19,13
Balasore,2021-06,687,136,103,46,149,674,34,8
Rourkela,2021-06,658,214,148,65,213,659,53,8
Mayurbhanj,2021-06,593,64,39,21,60,597,10,12
Cuttack,2021-06,650,269,202,88,290,629,50,6
Kalahandi,2021-06,650,50,41,19,60,640,8,5
Bhubaneswar,2021-07,675,304,199,98,297,682,64,7
Ganjam,2021-07,673,212,108,75,183,702,40,5
Koraput,2021-07,643,78,38,20,58,663,9,8
Sambalpur,2021-07,691,141,99,62,161,671,29,6
Puri,2021-07,617,126,79,40,119,624,20,8
Balasore,2021-07,674,150,91,53,144,680,24,8
Rourkela,2021-07,659,196,135,82,217,638,29,7
Mayurbhanj,2021-07,597,76,44,24,68,605,10,3
Cuttack,2021-07,629,328,180,82,262,695,47,11
Kalahandi,2021-07,640,69,28,18,46,663,6,5
Bhubaneswar,2021-08,682,291,213,107,320,653,64,8
Ganjam,2021-08,702,182,123,59,182,702,27,10
Koraput,2021-08,663,75,50,17,67,671,10,7
Sambalpur,2021-08,671,147,126,54,180,638,34,7
Puri,2021-08,624,139,57,48,105,658,17,5
Balasore,2021-08,680,128,94,49,143,665,37,6
Rourkela,2021-08,638,202,134,76,210,630,26,7
Mayurbhanj,2021-08,605,77,40,23,63,619,12,8
Cuttack,2021-08,695,285,182,96,278,702,71,7
Kalahandi,2021-08,663,52,35,20,55,660,12,6
Bhubaneswar,2021-09,653,318,172,94,266,705,60,7
Ganjam,2021-09,702,178,133,47,180,700,46,6
Koraput,2021-09,671,105,61,18,79,697,17,7
Sambalpur,2021-09,638,130,89,61,150,618,20,7
Puri,2021-09,658,133,83,31,114,677,30,9
Balasore,2021-09,665,123,89,46,135,653,34,9
Rourkela,2021-09,630,236,157,67,224,642,62,6
Mayurbhanj,2021-09,619,70,53,22,75,614,13,7
Cuttack,2021-09,702,282,197,85,282,702,42,9
Kalahandi,2021-09,660,56,35,19,54,662,12,6
Bhubaneswar,2021-10,705,279,198,95,293,691,47,9
Ganjam,2021-10,700,184,125,72,197,687,38,7
Koraput,2021-10,697,73,63,25,88,682,16,3
Sambalpur,2021-10,618,159,93,44,137,640,21,4
Puri,2021-10,677,133,72,34,106,704,26,11
Balasore,2021-10,653,129,91,46,137,645,27,5
Rourkela,2021-10,642,217,148,88,236,623,36,7
Mayurbhanj,2021-10,614,61,38,21,59,616,12,3
Cuttack,2021-10,702,244,175,81,256,690,69,10
Kalahandi,2021-10,662,69,48,26,74,657,16,10
Bhubaneswar,2021-11,691,313,229,87,316,688,60,13
Ganjam,2021-11,687,165,106,62,168,684,24,4
Koraput,2021-11,682,74,66,21,87,669,24,7
Sambalpur,2021-11,640,167,111,45,156,651,32,5
Puri,2021-11,704,125,82,32,114,715,18,10
Balasore,2021-11,645,133,81,40,121,657,23,5
Rourkela,2021-11,623,217,138,77,215,625,52,7
Mayurbhanj,2021-11,616,69,40,30,70,615,10,6
Cuttack,2021-11,690,276,182,97,279,687,38,5
Kalahandi,2021-11,657,51,30,23,53,655,10,2
Bhubaneswar,2021-12,688,262,228,91,319,631,75,6
Ganjam,2021-12,684,175,121,64,185,674,36,9
Koraput,2021-12,669,73,59,24,83,659,12,6
Sambalpur,2021-12,651,166,108,53,161,656,35,12
Puri,2021-12,715,140,95,43,138,717,26,3
Balasore,2021-12,657,143,91,50,141,659,26,3
Rourkela,2021-12,625,213,150,64,214,624,41,3
Mayurbhanj,2021-12,615,69,46,19,65,619,16,4
Cuttack,2021-12,687,232,172,95,267,652,54,4
Kalahandi,2021-12,655,63,42,22,64,654,11,6
Bhubaneswar,2022-01,631,266,168,99,267,630,55,9
Ganjam,2022-01,674,184,130,65,195,663,39,5
Koraput,2022-01,659,66,58,18,76,649,11,7
Sambalpur,2022-01,656,151,85,46,131,676,32,7
Puri,2022-01,717,108,82,44,126,699,24,3
Balasore,2022-01,659,148,115,49,164,643,42,12
Rourkela,2022-01,624,218,153,70,223,619,50,6
Mayurbhanj,2022-01,619,68,48,24,72,615,15,8
Cuttack,2022-01,652,297,184,86,270,679,50,4
Kalahandi,2022-01,654,67,33,15,48,673,12,6
Bhubaneswar,2022-02,630,306,210,94,304,632,64,8
Ganjam,2022-02,663,183,135,56,191,655,44,9
Koraput,2022-02,649,83,48,16,64,668,10,8
Sambalpur,2022-02,676,170,107,40,147,699,39,4
Puri,2022-02,699,131,76,34,110,720,24,7
Balasore,2022-02,643,139,83,38,121,661,30,8
Rourkela,2022-02,619,227,139,70,209,637,38,5
Mayurbhanj,2022-02,615,64,46,29,75,604,11,5
Cuttack,2022-02,679,271,174,107,281,669,53,6
Kalahandi,2022-02,673,49,31,21,52,670,7,11
Bhubaneswar,2022-03,632,289,181,72,253,668,52,4
Ganjam,2022-03,655,178,121,63,184,649,27,5
Koraput,2022-03,668,75,47,35,82,661,17,6
Sambalpur,2022-03,699,127,105,71,176,650,28,7
Puri,2022-03,720,117,95,43,138,699,25,3
Balasore,2022-03,661,156,86,38,124,693,29,7
Rourkela,2022-03,637,219,129,57,186,670,42,5
Mayurbhanj,2022-03,604,86,48,12,60,630,15,3
Cuttack,2022-03,669,240,197,93,290,619,56,9
Kalahandi,2022-03,670,66,38,24,62,674,12,4
Bhubaneswar,2022-04,668,294,196,94,290,672,66,11
Ganjam,2022-04,649,149,106,48,154,644,36,9
Koraput,2022-04,661,87,54,32,86,662,13,8
Sambalpur,2022-04,650,153,104,46,150,653,26,5
Puri,2022-04,699,130,76,48,124,705,25,9
Balasore,2022-04,693,125,95,46,141,677,25,9
Rourkela,2022-04,670,203,152,52,204,669,39,6
Mayurbhanj,2022-04,630,71,61,23,84,617,17,5
Cuttack,2022-04,619,263,155,88,243,639,49,7
Kalahandi,2022-04,674,65,47,16,63,676,15,3
Bhubaneswar,2022-05,672,315,179,95,274,713,38,5
Ganjam,2022-05,644,186,114,51,165,665,41,10
Koraput,2022-05,662,75,49,25,74,663,10,9
Sambalpur,2022-05,653,150,106,45,151,652,27,6
Puri,2022-05,705,121,88,39,127,699,20,10
Balasore,2022-05,677,146,111,45,156,667,28,5
Rourkela,2022-05,669,224,168,62,230,663,40,5
Mayurbhanj,2022-05,617,63,40,28,68,612,14,6
Cuttack,2022-05,639,268,203,86,289,618,64,2
Kalahandi,2022-05,676,61,44,19,63,674,12,0
Bhubaneswar,2022-06,713,271,217,108,325,659,67,7
Ganjam,2022-06,665,195,109,60,169,691,24,5
Koraput,2022-06,663,79,60,30,90,652,22,6
Sambalpur,2022-06,652,157,104,40,144,665,26,5
Puri,2022-06,699,115,73,33,106,708,22,3
Balasore,2022-06,667,155,75,61,136,686,17,7
Rourkela,2022-06,663,242,140,75,215,690,38,7
Mayurbhanj,2022-06,612,72,46,18,64,620,17,8
Cuttack,2022-06,618,294,173,84,257,655,43,6
Kalahandi,2022-06,674,73,32,14,46,701,11,4
Bhubaneswar,2022-07,659,290,185,101,286,663,63,6
Ganjam,2022-07,691,197,108,57,165,723,33,8
Koraput,2022-07,652,58,53,24,77,633,19,13
Sambalpur,2022-07,665,138,98,50,148,655,21,6
Puri,2022-07,708,140,74,52,126,722,25,6
Balasore,2022-07,686,127,89,55,144,669,22,4
Rourkela,2022-07,690,226,160,77,237,679,36,5
Mayurbhanj,2022-07,620,70,39,22,61,629,14,6
Cuttack,2022-07,655,277,190,107,297,635,68,3
Kalahandi,2022-07,701,55,40,23,63,693,14,3
Bhubaneswar,2022-08,663,295,227,88,315,643,49,5
Ganjam,2022-08,723,180,108,57,165,738,25,5
Koraput,2022-08,633,81,46,19,65,649,15,2
Sambalpur,2022-08,655,137,97,37,134,658,36,4
Puri,2022-08,722,107,74,45,119,710,18,4
Balasore,2022-08,669,143,81,47,128,684,26,9
Rourkela,2022-08,679,236,143,62,205,710,47,5
Mayurbhanj,2022-08,629,65,50,33,83,611,14,5
Cuttack,2022-08,635,263,159,77,236,662,54,4
Kalahandi,2022-08,693,49,43,20,63,679,12,5
Bhubaneswar,2022-09,643,293,175,92,267,669,59,10
Ganjam,2022-09,738,203,144,65,209,732,46,12
Koraput,2022-09,649,84,40,30,70,663,9,3
Sambalpur,2022-09,658,139,75,54,129,668,27,5
Puri,2022-09,710,127,88,50,138,699,30,7
Balasore,2022-09,684,139,96,45,141,682,23,6
Rourkela,2022-09,710,202,171,103,274,638,48,6
Mayurbhanj,2022-09,611,77,41,19,60,628,10,12
Cuttack,2022-09,662,259,160,111,271,650,35,4
Kalahandi,2022-09,679,57,43,15,58,678,12,10
Bhubaneswar,2022-10,669,287,205,117,322,634,55,6
Ganjam,2022-10,732,171,128,76,204,699,40,8
Koraput,2022-10,663,78,59,28,87,654,15,11
Sambalpur,2022-10,668,166,109,48,157,677,36,6
Puri,2022-10,699,118,86,45,131,686,32,6
Balasore,2022-10,682,136,109,45,154,664,25,5
Rourkela,2022-10,638,213,129,57,186,665,48,6
Mayurbhanj,2022-10,628,72,49,14,63,637,15,6
Cuttack,2022-10,650,278,178,72,250,678,70,2
Kalahandi,2022-10,678,61,49,17,66,673,13,5
Bhubaneswar,2022-11,634,296,171,89,260,670,58,3
Ganjam,2022-11,699,171,122,67,189,681,34,15
Koraput,2022-11,654,82,55,29,84,652,15,4
Sambalpur,2022-11,677,138,113,51,164,651,43,10
Puri,2022-11,686,130,83,44,127,689,22,6
Balasore,2022-11,664,144,98,46,144,664,37,6
Rourkela,2022-11,665,225,146,83,229,661,36,7
Mayurbhanj,2022-11,637,60,32,23,55,642,9,8
Cuttack,2022-11,678,292,204,92,296,674,53,10
Kalahandi,2022-11,673,50,45,16,61,662,15,7
Bhubaneswar,2022-12,670,290,211,96,307,653,70,9
Ganjam,2022-12,681,183,103,54,157,707,21,5
Koraput,2022-12,652,71,60,25,85,638,19,10
Sambalpur,2022-12,651,145,91,63,154,642,20,5
Puri,2022-12,689,110,76,42,118,681,22,6
Balasore,2022-12,664,156,96,60,156,664,22,7
Rourkela,2022-12,661,226,152,67,219,668,37,6
Mayurbhanj,2022-12,642,82,50,24,74,650,11,8
Cuttack,2022-12,674,285,194,106,300,659,41,6
Kalahandi,2022-12,662,57,36,20,56,663,14,7
Bhubaneswar,2023-01,653,277,207,108,315,615,49,8
Ganjam,2023-01,707,192,111,52,163,736,26,7
Koraput,2023-01,638,73,43,26,69,642,10,4
Sambalpur,2023-01,642,147,85,46,131,658,17,5
Puri,2023-01,681,124,90,41,131,674,22,10
Balasore,2023-01,664,144,86,45,131,677,20,9
Rourkela,2023-01,668,259,152,79,231,696,60,6
Mayurbhanj,2023-01,650,71,50,16,66,655,11,11
Cuttack,2023-01,659,289,166,100,266,682,48,5
Kalahandi,2023-01,663,63,39,19,58,668,11,2
Bhubaneswar,2023-02,615,280,177,92,269,626,42,8
Ganjam,2023-02,736,182,137,73,210,708,32,7
Koraput,2023-02,642,80,64,31,95,627,19,6
Sambalpur,2023-02,658,141,96,52,148,651,26,3
Puri,2023-02,674,109,76,30,106,677,26,11
Balasore,2023-02,677,130,95,47,142,665,37,10
Rourkela,2023-02,696,207,146,62,208,695,45,9
Mayurbhanj,2023-02,655,59,45,21,66,648,13,5
Cuttack,2023-02,682,292,189,89,278,696,68,3
Kalahandi,2023-02,668,51,47,13,60,659,13,10
Bhubaneswar,2023-03,626,322,182,92,274,674,38,9
Ganjam,2023-03,708,164,111,74,185,687,29,8
Koraput,2023-03,627,68,50,25,75,620,17,7
Sambalpur,2023-03,651,156,80,54,134,673,17,4
Puri,2023-03,677,117,80,41,121,673,26,3
Balasore,2023-03,665,135,98,40,138,662,34,4
Rourkela,2023-03,695,228,135,87,222,701,50,5
Mayurbhanj,2023-03,648,74,50,28,78,644,10,9
Cuttack,2023-03,696,269,180,124,304,661,45,6
Kalahandi,2023-03,659,68,29,17,46,681,11,6
Bhubaneswar,2023-04,674,314,184,99,283,705,49,8
Ganjam,2023-04,687,199,120,61,181,705,40,4
Koraput,2023-04,620,77,60,22,82,615,14,3
Sambalpur,2023-04,673,156,99,38,137,692,22,8
Puri,2023-04,673,116,91,37,128,661,35,5
Balasore,2023-04,662,123,93,43,136,649,33,6
Rourkela,2023-04,701,226,157,90,247,680,44,7
Mayurbhanj,2023-04,644,69,40,17,57,656,12,5
Cuttack,2023-04,661,272,171,94,265,668,46,9
Kalahandi,2023-04,681,69,54,28,82,668,20,7
Bhubaneswar,2023-05,705,301,227,104,331,675,65,8
Ganjam,2023-05,705,190,117,77,194,701,45,9
Koraput,2023-05,615,83,47,35,82,616,12,6
Sambalpur,2023-05,692,159,89,43,132,719,30,7
Puri,2023-05,661,99,83,41,124,636,20,6
Balasore,2023-05,649,128,95,35,130,647,19,5
Rourkela,2023-05,680,214,164,75,239,655,49,4
Mayurbhanj,2023-05,656,69,50,17,67,658,16,6
Cuttack,2023-05,668,307,182,101,283,692,36,6
Kalahandi,2023-05,668,59,47,31,78,649,12,7
Bhubaneswar,2023-06,675,321,185,105,290,706,37,11
Ganjam,2023-06,701,183,116,55,171,713,30,7
