district,month,cases_registered,persons_arrested,gun_rifle,pistol,revolver,mouzer,ak47,slr,others,ammunition,cartridge
Balasore,2018-06,5,6,0,1,0,0,0,0,3,19,10
Rourkela,2018-06,15,15,2,8,2,0,0,0,9,111,40
Mayurbhanj,2018-06,5,5,0,0,0,0,0,0,2,9,4
Cuttack,2018-06,14,17,1,8,1,0,0,0,6,94,32
Kalahandi,2018-06,2,2,0,1,0,0,0,0,2,10,8
Bhubaneswar,2018-07,17,21,1,6,1,0,0,0,5,61,36
Ganjam,2018-07,9,11,0,1,1,0,0,0,3,27,9
Koraput,2018-07,3,10,0,1,0,0,0,0,1,13,11
Sambalpur,2018-07,6,8,0,2,1,0,0,0,3,26,16
Puri,2018-07,8,10,1,2,0,0,0,0,4,29,9
Balasore,2018-07,5,8,0,4,1,0,0,0,3,37,22
Rourkela,2018-07,13,13,3,5,3,0,0,0,7,104,28
Mayurbhanj,2018-07,2,2,0,1,0,0,0,0,1,13,2
Cuttack,2018-07,10,10,1,3,2,0,0,0,3,42,28
Kalahandi,2018-07,5,8,1,3,1,0,0,0,6,56,23
Bhubaneswar,2018-08,6,6,1,3,0,0,0,0,2,29,10
Ganjam,2018-08,11,19,1,6,3,0,0,0,1,45,15
Koraput,2018-08,2,3,0,1,0,0,0,0,2,18,7
Sambalpur,2018-08,8,8,0,2,1,0,0,0,4,36,23
Puri,2018-08,3,3,0,1,0,0,0,0,2,13,6
Balasore,2018-08,8,9,0,3,1,0,0,0,3,27,16
Rourkela,2018-08,10,10,1,3,1,0,0,0,3,39,11
Mayurbhanj,2018-08,6,10,0,1,0,0,0,0,3,15,8
Cuttack,2018-08,18,18,3,11,4,0,0,0,4,109,38
Kalahandi,2018-08,5,5,0,2,1,0,0,0,2,23,12
Bhubaneswar,2018-09,7,11,0,2,0,0,0,0,4,36,12
Ganjam,2018-09,15,15,1,4,2,0,0,0,4,43,23
Koraput,2018-09,1,1,0,0,0,0,0,0,0,1,0
Sambalpur,2018-09,4,4,0,0,0,0,0,0,1,8,2
Puri,2018-09,6,6,0,1,0,0,0,0,2,7,6
Balasore,2018-09,4,7,0,1,0,0,0,0,3,16,11
Rourkela,2018-09,10,13,1,4,2,0,0,0,4,62,20
Mayurbhanj,2018-09,3,5,0,2,0,0,0,0,4,32,13
Cuttack,2018-09,17,18,3,14,2,0,0,0,5,139,63
Kalahandi,2018-09,2,2,0,0,0,0,0,0,0,4,1
Bhubaneswar,2018-10,14,14,2,8,2,0,0,0,7,96,40
Ganjam,2018-10,6,9,0,2,0,0,0,0,2,26,7
Koraput,2018-10,3,3,0,0,0,0,0,0,2,9,5
Sambalpur,2018-10,13,17,2,4,1,0,0,0,5,51,28
Puri,2018-10,8,9,0,2,0,0,0,0,3,28,16
Balasore,2018-10,2,6,0,0,0,0,0,0,1,7,3
Rourkela,2018-10,13,15,1,4,1,0,0,0,4,59,28
Mayurbhanj,2018-10,6,7,0,2,0,0,0,0,3,15,11
Cuttack,2018-10,13,15,1,6,3,0,0,0,3,66,24
Kalahandi,2018-10,3,3,0,0,0,0,0,0,1,3,2
Bhubaneswar,2018-11,14,21,1,3,2,0,0,0,4,40,19
Ganjam,2018-11,8,8,0,1,0,0,0,0,4,30,8
Koraput,2018-11,1,1,0,0,0,0,0,0,2,12,6
Sambalpur,2018-11,2,2,0,0,0,0,0,0,1,7,6
Puri,2018-11,6,6,0,2,1,0,0,0,3,30,19
Balasore,2018-11,5,6,0,2,0,0,0,0,3,25,3
Rourkela,2018-11,11,19,1,3,1,0,0,0,3,48,23
Mayurbhanj,2018-11,2,2,0,0,0,0,0,0,2,10,4
Cuttack,2018-11,15,19,3,5,2,0,0,0,8,81,38
Kalahandi,2018-11,1,1,0,0,0,0,0,0,0,0,0
Bhubaneswar,2018-12,16,18,4,11,6,0,0,0,3,118,45
Ganjam,2018-12,12,16,1,9,2,0,0,0,6,98,32
Koraput,2018-12,4,7,1,2,0,0,0,0,3,34,17
Sambalpur,2018-12,8,11,0,3,1,0,0,0,3,37,13
Puri,2018-12,9,9,1,3,1,0,0,0,4,53,13
Balasore,2018-12,5,7,0,4,1,0,0,0,3,40,19
Rourkela,2018-12,12,14,2,5,3,0,0,0,4,50,35
Mayurbhanj,2018-12,3,6,0,2,0,0,0,0,2,20,11
Cuttack,2018-12,14,14,3,9,4,0,0,0,2,98,26
Kalahandi,2018-12,3,6,0,1,0,0,0,0,2,16,7
Bhubaneswar,2019-01,15,15,2,8,3,0,0,0,2,73,31
Ganjam,2019-01,13,15,2,7,4,0,0,0,2,66,29
Koraput,2019-01,3,3,0,0,0,0,0,0,3,15,5
Sambalpur,2019-01,5,5,0,2,1,0,0,0,4,23,11
Puri,2019-01,6,12,1,2,1,0,0,0,4,46,13
Balasore,2019-01,5,5,0,2,1,0,0,0,3,25,21
Rourkela,2019-01,12,12,2,5,3,0,0,0,2,54,31
Mayurbhanj,2019-01,3,3,0,0,0,0,0,0,1,10,0
Cuttack,2019-01,15,23,2,8,3,0,0,0,10,114,59
Kalahandi,2019-01,2,4,0,0,0,0,0,0,1,2,3
Bhubaneswar,2019-02,11,14,1,3,2,0,0,0,5,56,23
Ganjam,2019-02,18,28,3,11,3,0,0,0,6,112,48
Koraput,2019-02,2,2,0,0,0,0,0,0,0,1,0
Sambalpur,2019-02,4,4,0,2,0,0,0,0,2,22,8
Puri,2019-02,5,5,0,1,0,0,0,0,3,13,6
Balasore,2019-02,11,13,1,8,1,0,0,0,6,61,31
Rourkela,2019-02,10,12,1,5,1,0,0,0,4,55,21
Mayurbhanj,2019-02,2,2,0,0,0,0,0,0,0,2,1
Cuttack,2019-02,14,14,2,5,4,0,0,0,4,76,25
Kalahandi,2019-02,3,4,0,2,1,0,0,0,3,37,15
Bhubaneswar,2019-03,15,30,2,7,3,0,0,0,2,75,27
Ganjam,2019-03,6,6,0,2,1,0,0,0,4,20,16
Koraput,2019-03,9,12,2,4,1,0,0,0,5,57,24
Sambalpur,2019-03,10,10,1,3,2,0,0,0,5,48,19
Puri,2019-03,6,6,0,2,1,0,0,0,2,18,5
Balasore,2019-03,8,9,1,2,1,0,0,0,3,32,9
Rourkela,2019-03,8,11,1,5,2,0,0,0,4,60,17
Mayurbhanj,2019-03,2,5,0,1,0,0,0,0,2,19,4
Cuttack,2019-03,11,14,1,3,1,0,0,0,3,37,14
Kalahandi,2019-03,1,1,0,0,0,0,0,0,2,12,0
Bhubaneswar,2019-04,14,21,1,7,3,0,0,0,2,62,32
Ganjam,2019-04,10,10,0,3,2,0,0,0,3,47,20
Koraput,2019-04,2,5,0,1,0,0,0,0,2,12,13
Sambalpur,2019-04,5,5,0,3,0,0,0,0,3,31,12
Puri,2019-04,6,9,1,2,1,0,0,0,2,40,12
Balasore,2019-04,5,5,1,3,1,0,0,0,3,21,19
Rourkela,2019-04,9,15,0,4,2,0,0,0,3,49,17
Mayurbhanj,2019-04,1,1,0,0,0,0,0,0,1,3,3
Cuttack,2019-04,8,17,1,4,1,0,0,0,3,42,22
Kalahandi,2019-04,3,4,0,1,0,0,0,0,2,11,4
Bhubaneswar,2019-05,14,14,1,6,3,0,0,0,2,80,25
Ganjam,2019-05,5,5,0,2,1,0,0,0,2,32,12
Koraput,2019-05,5,9,1,3,0,0,0,0,3,43,11
Sambalpur,2019-05,3,3,0,2,0,0,0,0,3,19,7
Puri,2019-05,13,17,2,5,2,0,0,0,4,59,25
Balasore,2019-05,6,8,0,1,0,0,0,0,4,24,4
Rourkela,2019-05,11,13,2,5,1,0,0,0,5,55,27
Mayurbhanj,2019-05,3,3,0,0,0,0,0,0,2,14,9
Cuttack,2019-05,7,10,1,4,0,0,0,0,2,33,24
Kalahandi,2019-05,3,8,0,0,0,0,0,0,2,8,3
Bhubaneswar,2019-06,17,17,1,10,3,0,0,0,4,87,39
Ganjam,2019-06,10,11,2,5,3,0,0,0,3,45,32
Koraput,2019-06,2,2,0,1,0,0,0,0,2,19,7
Sambalpur,2019-06,15,18,1,6,2,0,0,0,4,63,27
Puri,2019-06,7,7,1,4,1,0,0,0,1,27,18
Balasore,2019-06,6,6,0,2,0,0,0,0,4,30,13
Rourkela,2019-06,10,10,1,4,1,0,0,0,4,49,17
Mayurbhanj,2019-06,1,1,0,1,0,0,0,0,2,20,6
Cuttack,2019-06,17,21,2,5,2,0,0,0,6,81,29
Kalahandi,2019-06,3,6,0,1,1,0,0,0,3,28,12
Bhubaneswar,2019-07,23,35,3,10,3,0,0,0,7,125,42
Ganjam,2019-07,9,13,2,7,2,0,0,0,7,89,40
Koraput,2019-07,8,13,0,3,1,0,0,0,4,38,20
Sambalpur,2019-07,6,6,1,4,2,0,0,0,3,53,18
Puri,2019-07,7,7,1,3,1,0,0,0,3,45,16
Balasore,2019-07,10,11,0,2,1,0,0,0,5,42,14
Rourkela,2019-07,12,15,0,4,1,0,0,0,3,43,11
Mayurbhanj,2019-07,6,6,0,2,0,0,0,0,3,24,7
Cuttack,2019-07,12,14,1,3,2,0,0,0,5,48,21
Kalahandi,2019-07,5,5,0,1,0,0,0,0,2,14,5
Bhubaneswar,2019-08,16,16,3,7,2,0,0,0,5,85,52
Ganjam,2019-08,5,7,0,2,0,0,0,0,3,20,6
Koraput,2019-08,2,2,0,0,0,0,0,0,1,4,2
Sambalpur,2019-08,13,13,1,9,2,0,0,0,4,77,24
Puri,2019-08,7,11,1,4,1,0,0,0,2,32,16
Balasore,2019-08,3,5,0,1,0,0,0,0,2,12,7
Rourkela,2019-08,10,12,1,3,1,0,0,0,5,46,20
Mayurbhanj,2019-08,7,7,0,1,0,0,0,0,3,19,6
Cuttack,2019-08,6,6,0,1,0,0,0,0,2,27,8
Kalahandi,2019-08,3,6,0,1,1,0,0,0,3,18,8
Bhubaneswar,2019-09,23,28,5,9,5,0,0,0,11,157,64
Ganjam,2019-09,8,8,0,2,1,0,0,0,2,22,9
Koraput,2019-09,5,8,0,1,1,0,0,0,3,24,7
Sambalpur,2019-09,8,10,0,2,1,0,0,0,3,25,9
Puri,2019-09,6,11,0,2,0,0,0,0,5,40,12
Balasore,2019-09,7,8,1,2,1,0,0,0,3,32,12
Rourkela,2019-09,17,21,1,4,2,0,0,0,5,66,24
Mayurbhanj,2019-09,0,2,0,1,0,0,0,0,1,12,4
Cuttack,2019-09,11,11,2,5,3,0,0,0,4,81,24
Kalahandi,2019-09,1,1,0,0,0,0,0,0,1,4,1
Bhubaneswar,2019-10,18,26,2,6,2,0,0,0,7,91,34
Ganjam,2019-10,7,7,1,2,0,0,0,0,3,37,7
Koraput,2019-10,3,3,0,0,0,0,0,0,1,9,1
Sambalpur,2019-10,10,11,1,7,2,0,0,0,4,62,29
Puri,2019-10,6,7,1,5,2,0,0,0,2,52,21
Balasore,2019-10,4,4,0,0,0,0,0,0,1,4,1
Rourkela,2019-10,15,21,3,11,6,0,0,0,3,123,51
Mayurbhanj,2019-10,5,5,1,3,1,0,0,0,2,36,9
Cuttack,2019-10,17,17,2,6,2,0,0,0,5,84,26
Kalahandi,2019-10,6,6,1,3,1,0,0,0,3,50,22
Bhubaneswar,2019-11,18,27,2,10,3,0,0,0,3,88,42
Ganjam,2019-11,13,13,2,7,4,0,0,0,6,104,37
Koraput,2019-11,2,3,0,0,0,0,0,0,1,3,0
Sambalpur,2019-11,8,13,1,5,3,0,0,0,3,65,24
Puri,2019-11,6,6,0,1,1,0,0,0,2,15,6
Balasore,2019-11,7,7,0,2,1,0,0,0,4,30,13
Rourkela,2019-11,7,11,1,5,1,0,0,0,3,56,23
Mayurbhanj,2019-11,4,4,0,2,1,0,0,0,2,27,9
Cuttack,2019-11,12,18,1,7,4,0,0,0,4,84,34
Kalahandi,2019-11,5,5,0,1,0,0,0,0,3,16,8
Bhubaneswar,2019-12,14,18,2,6,2,0,0,0,6,75,31
Ganjam,2019-12,11,14,1,4,2,0,0,0,6,64,29
Koraput,2019-12,2,3,0,0,0,0,0,0,3,15,3
Sambalpur,2019-12,7,10,0,1,1,0,0,0,4,28,15
Puri,2019-12,10,10,2,4,3,0,0,0,4,53,25
Balasore,2019-12,5,8,0,1,0,0,0,0,2,21,5
Rourkela,2019-12,17,18,2,9,3,0,0,0,3,96,45
Mayurbhanj,2019-12,4,4,0,0,0,0,0,0,1,5,3
Cuttack,2019-12,13,13,2,5,1,0,0,0,3,55,27
Kalahandi,2019-12,3,3,0,1,1,0,0,0,2,21,8
Bhubaneswar,2020-01,18,22,4,8,5,0,0,0,6,104,40
Ganjam,2020-01,12,15,1,10,2,0,0,0,4,81,36
Koraput,2020-01,5,6,1,2,1,0,0,0,3,29,9
Sambalpur,2020-01,8,8,0,1,0,0,0,0,3,26,7
Puri,2020-01,5,5,0,2,1,0,0,0,3,29,20
Balasore,2020-01,6,11,1,2,1,0,0,0,3,46,16
Rourkela,2020-01,7,9,1,4,1,0,0,0,2,41,19
Mayurbhanj,2020-01,1,1,0,0,0,0,0,0,1,0,2
Cuttack,2020-01,13,13,1,3,3,0,0,0,5,72,19
Kalahandi,2020-01,5,6,1,3,0,0,0,0,2,33,10
Bhubaneswar,2020-02,13,20,1,5,2,0,0,0,6,58,32
Ganjam,2020-02,7,14,0,2,1,0,0,0,3,25,12
Koraput,2020-02,3,3,1,2,1,0,0,0,2,28,11
Sambalpur,2020-02,3,3,0,2,0,0,0,0,2,26,12
Puri,2020-02,2,2,0,1,0,0,0,0,2,15,7
Balasore,2020-02,5,6,1,2,1,0,0,0,3,33,12
Rourkela,2020-02,12,14,2,4,2,0,0,0,8,75,42
Mayurbhanj,2020-02,4,4,1,3,1,0,0,0,2,30,20
Cuttack,2020-02,16,20,3,14,7,0,0,0,3,143,50
Kalahandi,2020-02,3,6,0,0,0,0,0,0,0,0,1
Bhubaneswar,2020-03,9,9,1,5,2,0,0,0,2,35,27
Ganjam,2020-03,6,6,0,1,0,0,0,0,2,18,3
Koraput,2020-03,6,6,0,0,0,0,0,0,2,10,1
Sambalpur,2020-03,11,12,1,2,1,0,0,0,3,30,15
Puri,2020-03,3,5,0,0,0,0,0,0,3,14,5
Balasore,2020-03,5,5,0,2,1,0,0,0,2,24,18
Rourkela,2020-03,11,13,2,7,3,0,0,0,0,69,26
Mayurbhanj,2020-03,6,6,0,1,0,0,0,0,2,15,7
Cuttack,2020-03,15,22,1,4,2,0,0,0,4,59,20
Kalahandi,2020-03,4,5,0,1,1,0,0,0,2,18,7
Bhubaneswar,2020-04,17,26,2,4,1,0,0,0,8,88,28
Ganjam,2020-04,11,11,2,5,2,0,0,0,5,63,30
Koraput,2020-04,6,8,0,1,0,0,0,0,3,23,4
Sambalpur,2020-04,9,9,0,1,1,0,0,0,2,18,5
Puri,2020-04,7,12,1,4,1,0,0,0,3,44,25
Balasore,2020-04,4,4,0,3,1,0,0,0,2,35,11
Rourkela,2020-04,9,9,1,2,1,0,0,0,4,48,14
Mayurbhanj,2020-04,7,8,1,3,0,0,0,0,3,38,17
Cuttack,2020-04,12,13,2,4,1,0,0,0,6,62,25
Kalahandi,2020-04,3,3,0,0,0,0,0,0,2,5,7
Bhubaneswar,2020-05,13,19,2,7,2,0,0,0,3,65,28
Ganjam,2020-05,11,15,1,3,2,0,0,0,2,35,9
Koraput,2020-05,4,4,0,2,1,0,0,0,4,47,13
Sambalpur,2020-05,8,8,0,2,0,0,0,0,3,26,12
Puri,2020-05,5,5,0,2,1,0,0,0,3,24,15
Balasore,2020-05,5,5,0,1,0,0,0,0,3,22,5
Rourkela,2020-05,15,20,1,6,3,0,0,0,3,78,33
Mayurbhanj,2020-05,3,3,0,1,0,0,0,0,2,13,7
Cuttack,2020-05,15,22,2,5,3,0,0,0,5,88,28
Kalahandi,2020-05,4,4,0,3,1,0,0,0,3,29,15
Bhubaneswar,2020-06,19,24,2,12,3,0,0,0,4,99,38
Ganjam,2020-06,10,15,2,8,2,0,0,0,3,69,31
Koraput,2020-06,2,2,0,1,0,0,0,0,2,18,7
Sambalpur,2020-06,1,1,0,0,0,0,0,0,0,2,4
Puri,2020-06,6,10,1,3,1,0,0,0,3,32,17
Balasore,2020-06,12,20,2,6,2,0,0,0,9,109,34
Rourkela,2020-06,11,19,1,4,2,0,0,0,2,43,12
Mayurbhanj,2020-06,3,4,0,1,1,0,0,0,2,13,7
Cuttack,2020-06,7,7,1,3,0,0,0,0,3,31,18
Kalahandi,2020-06,3,7,0,2,1,0,0,0,2,34,9
Bhubaneswar,2020-07,17,18,4,16,8,0,0,0,5,167,62
Ganjam,2020-07,10,10,1,8,3,0,0,0,2,74,31
Koraput,2020-07,3,6,0,3,2,0,0,0,3,38,23
Sambalpur,2020-07,11,11,1,3,1,0,0,0,4,50,15
Puri,2020-07,8,10,1,3,1,0,0,0,4,45,22
Balasore,2020-07,10,10,2,4,1,0,0,0,7,85,26
Rourkela,2020-07,9,13,0,2,0,0,0,0,3,35,8
Mayurbhanj,2020-07,5,6,0,2,0,0,0,0,2,16,3
Cuttack,2020-07,13,14,1,4,1,0,0,0,5,63,19
Kalahandi,2020-07,2,4,0,0,0,0,0,0,1,4,2
Bhubaneswar,2020-08,12,13,1,6,2,0,0,0,2,55,13
Ganjam,2020-08,6,10,1,4,2,0,0,0,1,36,15
Koraput,2020-08,1,1,0,0,0,0,0,0,0,1,0
Sambalpur,2020-08,12,12,1,3,1,0,0,0,5,69,23
Puri,2020-08,7,12,1,3,2,0,0,0,5,57,15
Balasore,2020-08,8,8,0,2,1,0,0,0,4,37,17
Rourkela,2020-08,8,8,1,4,2,0,0,0,1,46,12
Mayurbhanj,2020-08,4,8,0,1,0,0,0,0,2,18,8
Cuttack,2020-08,18,21,3,7,5,0,0,0,5,104,45
Kalahandi,2020-08,2,2,0,1,0,0,0,0,1,15,5
Bhubaneswar,2020-09,10,25,2,6,3,0,0,0,4,65,32
Ganjam,2020-09,5,6,1,2,1,0,0,0,5,42,21
Koraput,2020-09,4,8,0,1,0,0,0,0,3,21,9
Sambalpur,2020-09,6,6,1,5,1,0,0,0,5,61,23
Puri,2020-09,10,20,0,3,0,0,0,0,3,33,8
Balasore,2020-09,3,4,0,1,0,0,0,0,4,22,12
Rourkela,2020-09,10,14,2,9,3,0,0,0,3,84,27
Mayurbhanj,2020-09,6,6,1,5,1,0,0,0,2,42,19
Cuttack,2020-09,19,29,1,8,3,0,0,0,6,88,36
Kalahandi,2020-09,3,7,0,1,0,0,0,0,2,12,1
Bhubaneswar,2020-10,18,20,3,9,3,0,0,0,11,151,50
Ganjam,2020-10,11,18,1,6,2,0,0,0,3,62,30
Koraput,2020-10,4,4,0,2,1,0,0,0,1,22,8
Sambalpur,2020-10,8,8,1,4,1,0,0,0,3,43,18
Puri,2020-10,4,4,1,2,1,0,0,0,4,37,19
Balasore,2020-10,9,12,1,5,1,0,0,0,3,49,21
Rourkela,2020-10,10,10,1,4,2,0,0,0,4,58,21
Mayurbhanj,2020-10,7,7,0,2,0,0,0,0,3,27,8
Cuttack,2020-10,11,12,2,5,1,0,0,0,9,86,40
Kalahandi,2020-10,1,1,0,0,0,0,0,0,2,6,3
Bhubaneswar,2020-11,14,15,1,6,3,0,0,0,2,55,22
Ganjam,2020-11,4,4,0,1,1,0,0,0,2,17,10
Koraput,2020-11,4,4,0,1,0,0,0,0,2,12,6
Sambalpur,2020-11,12,12,2,7,2,0,0,0,4,83,38
Puri,2020-11,5,10,0,2,1,0,0,0,3,34,14
Balasore,2020-11,8,10,1,3,1,0,0,0,4,52,27
Rourkela,2020-11,13,17,2,7,3,0,0,0,6,108,36
Mayurbhanj,2020-11,2,3,0,0,0,0,0,0,2,7,10
Cuttack,2020-11,9,15,2,3,2,0,0,0,5,68,21
Kalahandi,2020-11,1,3,0,0,0,0,0,0,2,11,4
Bhubaneswar,2020-12,16,22,2,5,2,0,0,0,7,78,33
Ganjam,2020-12,11,21,1,7,2,0,0,0,5,80,29
Koraput,2020-12,6,8,1,2,1,0,0,0,4,33,8
Sambalpur,2020-12,9,9,1,5,1,0,0,0,4,58,15
Puri,2020-12,8,10,1,4,0,0,0,0,3,27,19
Balasore,2020-12,9,12,1,3,1,0,0,0,4,45,16
Rourkela,2020-12,9,16,1,3,1,0,0,0,2,31,8
Mayurbhanj,2020-12,6,6,0,2,0,0,0,0,4,29,7
Cuttack,2020-12,7,11,1,2,0,0,0,0,5,50,14
Kalahandi,2020-12,5,5,1,3,1,0,0,0,3,37,14
Bhubaneswar,2021-01,14,18,1,4,1,0,0,0,5,50,25
Ganjam,2021-01,14,14,2,7,3,0,0,0,5,79,30
Koraput,2021-01,2,3,0,2,0,0,0,0,2,27,3
Sambalpur,2021-01,3,6,0,2,0,0,0,0,2,20,6
Puri,2021-01,6,6,1,4,2,0,0,0,4,49,21
Balasore,2021-01,8,9,1,4,2,0,0,0,3,47,27
Rourkela,2021-01,11,18,0,4,1,0,0,0,3,38,17
Mayurbhanj,2021-01,1,1,0,0,0,0,0,0,0,2,3
Cuttack,2021-01,9,9,1,5,2,0,0,0,1,43,29
Kalahandi,2021-01,0,1,0,0,0,0,0,0,0,2,0
Bhubaneswar,2021-02,18,24,2,7,6,0,0,0,8,100,50
Ganjam,2021-02,12,21,1,7,2,0,0,0,6,83,33
Koraput,2021-02,4,4,0,1,0,0,0,0,2,13,4
Sambalpur,2021-02,7,9,0,3,0,0,0,0,4,36,12
Puri,2021-02,6,9,0,2,1,0,0,0,3,39,11
Balasore,2021-02,6,6,1,2,1,0,0,0,2,33,5
Rourkela,2021-02,11,18,3,8,2,0,0,0,3,65,34
Mayurbhanj,2021-02,1,1,0,0,0,0,0,0,2,7,4
Cuttack,2021-02,13,17,1,2,1,0,0,0,4,46,18
Kalahandi,2021-02,4,4,0,0,0,0,0,0,3,17,4
Bhubaneswar,2021-03,14,19,2,6,2,0,0,0,9,98,39
Ganjam,2021-03,10,10,0,3,0,0,0,0,3,27,13
Koraput,2021-03,3,3,0,2,1,0,0,0,1,29,3
Sambalpur,2021-03,11,11,1,4,1,0,0,0,5,66,21
Puri,2021-03,9,9,1,3,1,0,0,0,5,50,19
Balasore,2021-03,6,10,1,4,1,0,0,0,3,59,12
Rourkela,2021-03,12,15,1,4,1,0,0,0,4,49,21
Mayurbhanj,2021-03,3,4,0,0,0,0,0,0,0,4,3
Cuttack,2021-03,11,11,1,6,2,0,0,0,3,66,35
Kalahandi,2021-03,5,6,0,0,0,0,0,0,1,6,3
Bhubaneswar,2021-04,12,15,1,5,3,0,0,0,4,67,25
Ganjam,2021-04,15,17,0,3,1,0,0,0,5,45,18
Koraput,2021-04,5,8,0,1,0,0,0,0,3,19,8
Sambalpur,2021-04,9,9,0,1,0,0,0,0,2,16,6
Puri,2021-04,8,12,1,7,1,0,0,0,5,56,29
Balasore,2021-04,5,5,0,1,1,0,0,0,2,20,10
Rourkela,2021-04,9,10,1,6,3,0,0,0,2,63,18
Mayurbhanj,2021-04,2,4,0,0,0,0,0,0,3,14,10
Cuttack,2021-04,15,15,4,8,3,0,0,0,8,118,43
Kalahandi,2021-04,0,1,0,0,0,0,0,0,1,4,2
Bhubaneswar,2021-05,24,24,2,12,5,0,0,0,4,117,54
Ganjam,2021-05,7,7,0,4,0,0,0,0,5,50,18
Koraput,2021-05,3,3,0,1,0,0,0,0,2,13,3
Sambalpur,2021-05,8,8,0,4,1,0,0,0,2,35,19
Puri,2021-05,5,6,1,4,1,0,0,0,1,38,23
Balasore,2021-05,10,12,1,5,1,0,0,0,4,57,29
Rourkela,2021-05,10,14,0,1,0,0,0,0,3,21,8
Mayurbhanj,2021-05,9,17,1,5,2,0,0,0,2,54,29
Cuttack,2021-05,12,15,2,6,2,0,0,0,1,51,15
Kalahandi,2021-05,2,4,0,1,0,0,0,0,1,10,4
Bhubaneswar,2021-06,11,17,2,6,4,0,0,0,6,89,45
Ganjam,2021-06,15,17,2,6,3,0,0,0,0,46,24
Koraput,2021-06,1,2,0,0,0,0,0,0,2,8,4
Sambalpur,2021-06,7,8,1,6,2,0,0,0,3,49,27
Puri,2021-06,7,9,1,4,2,0,0,0,3,42,27
Balasore,2021-06,11,11,1,7,1,0,0,0,3,56,19
Rourkela,2021-06,7,12,0,1,0,0,0,0,3,22,7
Mayurbhanj,2021-06,3,3,0,1,0,0,0,0,2,15,7
Cuttack,2021-06,13,14,1,5,1,0,0,0,4,43,14
Kalahandi,2021-06,2,3,0,0,0,0,0,0,0,1,3
Bhubaneswar,2021-07,17,24,3,5,3,0,0,0,6,97,28
Ganjam,2021-07,6,6,1,4,0,0,0,0,4,40,17
Koraput,2021-07,5,7,0,1,0,0,0,0,3,26,16
Sambalpur,2021-07,6,10,0,1,0,0,0,0,3,20,8
Puri,2021-07,6,12,1,4,1,0,0,0,6,56,25
Balasore,2021-07,8,9,0,3,1,0,0,0,2,30,9
Rourkela,2021-07,6,12,1,3,2,0,0,0,4,34,20
Mayurbhanj,2021-07,5,5,0,1,0,0,0,0,2,7,3
Cuttack,2021-07,17,17,2,5,3,0,0,0,6,74,29
Kalahandi,2021-07,3,3,0,1,0,0,0,0,3,14,8
Bhubaneswar,2021-08,15,16,2,6,4,0,0,0,7,107,31
Ganjam,2021-08,9,9,1,6,2,0,0,0,2,64,18
Koraput,2021-08,6,6,1,3,0,0,0,0,4,45,9
Sambalpur,2021-08,7,7,1,2,1,0,0,0,4,43,16
Puri,2021-08,9,18,1,5,1,0,0,0,3,54,15
Balasore,2021-08,9,10,1,6,2,0,0,0,4,55,34
Rourkela,2021-08,11,14,1,4,1,0,0,0,3,37,14
Mayurbhanj,2021-08,2,2,0,1,0,0,0,0,2,16,7
Cuttack,2021-08,13,13,1,4,3,0,0,0,6,54,26
Kalahandi,2021-08,5,7,0,1,0,0,0,0,4,19,14
Bhubaneswar,2021-09,7,7,1,3,0,0,0,0,4,48,19
Ganjam,2021-09,7,12,1,3,2,0,0,0,3,51,28
Koraput,2021-09,9,10,1,4,2,0,0,0,3,56,27
Sambalpur,2021-09,9,12,1,3,1,0,0,0,2,31,12
Puri,2021-09,12,12,1,4,1,0,0,0,3,41,22
Balasore,2021-09,9,13,1,6,2,0,0,0,5,66,38
Rourkela,2021-09,11,13,1,4,0,0,0,0,2,32,18
Mayurbhanj,2021-09,2,3,0,0,0,0,0,0,1,4,3
Cuttack,2021-09,24,28,2,11,3,0,0,0,5,118,51
Kalahandi,2021-09,0,1,0,1,0,0,0,0,1,13,6
Bhubaneswar,2021-10,22,28,3,12,3,0,0,0,8,138,51
Ganjam,2021-10,10,11,0,1,1,0,0,0,3,27,9
Koraput,2021-10,4,4,0,0,0,0,0,0,1,6,3
Sambalpur,2021-10,9,9,1,3,1,0,0,0,2,32,9
Puri,2021-10,3,3,0,1,0,0,0,0,3,25,9
Balasore,2021-10,12,12,2,8,3,0,0,0,5,75,28
Rourkela,2021-10,12,15,1,5,2,0,0,0,6,71,35
Mayurbhanj,2021-10,3,3,0,1,0,0,0,0,4,24,14
Cuttack,2021-10,8,8,1,5,2,0,0,0,3,59,21
Kalahandi,2021-10,2,3,0,1,0,0,0,0,2,15,8
Bhubaneswar,2021-11,18,18,3,9,4,0,0,0,6,127,39
Ganjam,2021-11,6,7,0,2,0,0,0,0,4,30,14
Koraput,2021-11,4,4,0,1,0,0,0,0,3,25,4
Sambalpur,2021-11,5,5,0,2,1,0,0,0,2,32,13
Puri,2021-11,7,7,0,2,1,0,0,0,3,32,21
Balasore,2021-11,2,2,0,1,0,0,0,0,1,16,6
Rourkela,2021-11,11,12,1,5,2,0,0,0,2,52,16
Mayurbhanj,2021-11,6,6,0,2,1,0,0,0,3,27,12
Cuttack,2021-11,17,19,2,8,4,0,0,0,7,102,38
Kalahandi,2021-11,8,11,0,2,1,0,0,0,2,27,16
Bhubaneswar,2021-12,12,16,0,1,1,0,0,0,4,32,11
Ganjam,2021-12,10,14,1,4,1,0,0,0,7,68,26
