district,month,cases_registered,persons_arrested,details_of_seizure
Cuttack,2019-03,83,84,101 bottles of IMFL
Kalahandi,2019-03,22,27,90 bottles of IMFL
Bhubaneswar,2019-04,103,111,479 kg of fermented wash destroyed
Ganjam,2019-04,51,61,103 bottles of IMFL
Koraput,2019-04,25,34,83 liters of ID liquor
Sambalpur,2019-04,49,59,103 bottles of IMFL
Puri,2019-04,39,39,523 kg of fermented wash destroyed
Balasore,2019-04,46,49,90 bottles of IMFL
Rourkela,2019-04,74,75,120 bottles of IMFL
Mayurbhanj,2019-04,34,34,97 pouches of country liquor
Cuttack,2019-04,78,78,120 bottles of IMFL
Kalahandi,2019-04,12,20,513 kg of fermented wash destroyed
Bhubaneswar,2019-05,91,103,102 liters of ID liquor
Ganjam,2019-05,59,73,94 pouches of country liquor
Koraput,2019-05,33,45,98 liters of ID liquor
Sambalpur,2019-05,38,45,86 liters of ID liquor
Puri,2019-05,35,48,97 bottles of IMFL
Balasore,2019-05,39,51,94 bottles of IMFL
Rourkela,2019-05,70,79,109 pouches of country liquor
Mayurbhanj,2019-05,24,25,103 bottles of IMFL
Cuttack,2019-05,96,105,110 liters of ID liquor
Kalahandi,2019-05,11,18,103 bottles of IMFL
Bhubaneswar,2019-06,80,83,120 liters of ID liquor
Ganjam,2019-06,47,47,101 liters of ID liquor
Koraput,2019-06,30,30,110 pouches of country liquor
Sambalpur,2019-06,45,47,83 bottles of IMFL
Puri,2019-06,44,44,88 bottles of IMFL
Balasore,2019-06,36,36,109 bottles of IMFL
Rourkela,2019-06,51,51,102 liters of ID liquor
Mayurbhanj,2019-06,18,20,123 bottles of IMFL
Cuttack,2019-06,81,102,98 pouches of country liquor
Kalahandi,2019-06,21,21,102 bottles of IMFL
Bhubaneswar,2019-07,104,105,109 bottles of IMFL
Ganjam,2019-07,59,59,103 liters of ID liquor
Koraput,2019-07,31,40,109 liters of ID liquor
Sambalpur,2019-07,47,47,531 kg of fermented wash destroyed
Puri,2019-07,30,32,102 bottles of IMFL
Balasore,2019-07,36,43,115 pouches of country liquor
Rourkela,2019-07,62,75,491 kg of fermented wash destroyed
Mayurbhanj,2019-07,23,25,102 bottles of IMFL
Cuttack,2019-07,66,66,82 liters of ID liquor
Kalahandi,2019-07,22,25,103 bottles of IMFL
Bhubaneswar,2019-08,103,115,98 pouches of country liquor
Ganjam,2019-08,40,42,514 kg of fermented wash destroyed
Koraput,2019-08,29,42,503 kg of fermented wash destroyed
Sambalpur,2019-08,38,38,93 liters of ID liquor
Puri,2019-08,30,30,115 bottles of IMFL
Balasore,2019-08,43,54,96 pouches of country liquor
Rourkela,2019-08,59,73,107 bottles of IMFL
Mayurbhanj,2019-08,21,24,94 liters of ID liquor
Cuttack,2019-08,98,111,75 liters of ID liquor
Kalahandi,2019-08,21,26,511 kg of fermented wash destroyed
Bhubaneswar,2019-09,102,121,96 bottles of IMFL
Ganjam,2019-09,44,50,490 kg of fermented wash destroyed
Koraput,2019-09,29,33,110 pouches of country liquor
Sambalpur,2019-09,44,46,549 kg of fermented wash destroyed
Puri,2019-09,34,40,94 liters of ID liquor
Balasore,2019-09,49,72,479 kg of fermented wash destroyed
Rourkela,2019-09,71,85,110 bottles of IMFL
Mayurbhanj,2019-09,27,36,103 liters of ID liquor
Cuttack,2019-09,102,102,497 kg of fermented wash destroyed
Kalahandi,2019-09,16,20,108 bottles of IMFL
Bhubaneswar,2019-10,100,112,486 kg of fermented wash destroyed
Ganjam,2019-10,55,55,479 kg of fermented wash destroyed
Koraput,2019-10,26,26,97 liters of ID liquor
Sambalpur,2019-10,50,65,89 liters of ID liquor
Puri,2019-10,31,34,79 liters of ID liquor
Balasore,2019-10,42,49,124 liters of ID liquor
Rourkela,2019-10,69,75,105 liters of ID liquor
Mayurbhanj,2019-10,11,11,97 liters of ID liquor
Cuttack,2019-10,87,123,502 kg of fermented wash destroyed
Kalahandi,2019-10,18,18,114 bottles of IMFL
Bhubaneswar,2019-11,83,98,102 pouches of country liquor
Ganjam,2019-11,45,45,95 bottles of IMFL
Koraput,2019-11,19,19,102 bottles of IMFL
Sambalpur,2019-11,45,45,86 pouches of country liquor
Puri,2019-11,33,51,79 pouches of country liquor
Balasore,2019-11,42,43,120 bottles of IMFL
Rourkela,2019-11,62,62,103 bottles of IMFL
Mayurbhanj,2019-11,18,23,90 pouches of country liquor
Cuttack,2019-11,80,80,102 bottles of IMFL
Kalahandi,2019-11,14,14,504 kg of fermented wash destroyed
Bhubaneswar,2019-12,91,107,113 liters of ID liquor
Ganjam,2019-12,45,45,98 pouches of country liquor
Koraput,2019-12,19,19,109 liters of ID liquor
Sambalpur,2019-12,38,44,110 pouches of country liquor
Puri,2019-12,36,47,105 liters of ID liquor
Balasore,2019-12,57,63,84 liters of ID liquor
Rourkela,2019-12,63,68,104 bottles of IMFL
Mayurbhanj,2019-12,27,27,106 liters of ID liquor
Cuttack,2019-12,82,84,108 pouches of country liquor
Kalahandi,2019-12,17,19,512 kg of fermented wash destroyed
Bhubaneswar,2020-01,90,90,103 pouches of country liquor
Ganjam,2020-01,52,52,94 pouches of country liquor
Koraput,2020-01,19,20,92 liters of ID liquor
Sambalpur,2020-01,43,45,525 kg of fermented wash destroyed
Puri,2020-01,39,41,110 pouches of country liquor
Balasore,2020-01,43,43,110 bottles of IMFL
Rourkela,2020-01,73,78,514 kg of fermented wash destroyed
Mayurbhanj,2020-01,20,20,112 bottles of IMFL
Cuttack,2020-01,77,81,510 kg of fermented wash destroyed
Kalahandi,2020-01,18,18,500 kg of fermented wash destroyed
Bhubaneswar,2020-02,96,108,96 liters of ID liquor
Ganjam,2020-02,54,56,88 bottles of IMFL
Koraput,2020-02,27,38,92 pouches of country liquor
Sambalpur,2020-02,45,47,102 bottles of IMFL
Puri,2020-02,35,37,96 liters of ID liquor
Balasore,2020-02,56,56,98 pouches of country liquor
Rourkela,2020-02,71,75,118 liters of ID liquor
Mayurbhanj,2020-02,22,22,112 pouches of country liquor
Cuttack,2020-02,67,67,102 bottles of IMFL
Kalahandi,2020-02,22,26,104 liters of ID liquor
Bhubaneswar,2020-03,82,83,91 bottles of IMFL
Ganjam,2020-03,62,66,105 pouches of country liquor
Koraput,2020-03,30,30,111 pouches of country liquor
Sambalpur,2020-03,55,69,471 kg of fermented wash destroyed
Puri,2020-03,36,44,98 liters of ID liquor
Balasore,2020-03,39,50,103 pouches of country liquor
Rourkela,2020-03,65,68,105 bottles of IMFL
Mayurbhanj,2020-03,27,37,102 bottles of IMFL
Cuttack,2020-03,87,101,111 liters of ID liquor
Kalahandi,2020-03,18,19,105 liters of ID liquor
Bhubaneswar,2020-04,75,99,529 kg of fermented wash destroyed
Ganjam,2020-04,47,51,89 pouches of country liquor
Koraput,2020-04,32,41,101 liters of ID liquor
Sambalpur,2020-04,43,56,99 pouches of country liquor
Puri,2020-04,42,42,99 pouches of country liquor
Balasore,2020-04,52,55,115 bottles of IMFL
Rourkela,2020-04,79,88,79 pouches of country liquor
Mayurbhanj,2020-04,23,23,98 bottles of IMFL
Cuttack,2020-04,91,101,109 liters of ID liquor
Kalahandi,2020-04,15,15,108 liters of ID liquor
Bhubaneswar,2020-05,75,89,104 pouches of country liquor
Ganjam,2020-05,52,65,84 liters of ID liquor
Koraput,2020-05,25,42,113 liters of ID liquor
Sambalpur,2020-05,46,46,103 pouches of country liquor
Puri,2020-05,39,51,105 liters of ID liquor
Balasore,2020-05,42,52,103 liters of ID liquor
Rourkela,2020-05,60,69,122 pouches of country liquor
Mayurbhanj,2020-05,23,32,96 bottles of IMFL
Cuttack,2020-05,75,98,113 pouches of country liquor
Kalahandi,2020-05,12,12,96 liters of ID liquor
Bhubaneswar,2020-06,67,67,509 kg of fermented wash destroyed
Ganjam,2020-06,47,61,520 kg of fermented wash destroyed
Koraput,2020-06,19,19,499 kg of fermented wash destroyed
Sambalpur,2020-06,36,37,107 pouches of country liquor
Puri,2020-06,38,38,107 liters of ID liquor
Balasore,2020-06,42,51,122 bottles of IMFL
Rourkela,2020-06,93,118,96 liters of ID liquor
Mayurbhanj,2020-06,17,17,91 pouches of country liquor
Cuttack,2020-06,81,86,104 bottles of IMFL
Kalahandi,2020-06,8,13,483 kg of fermented wash destroyed
Bhubaneswar,2020-07,88,99,473 kg of fermented wash destroyed
Ganjam,2020-07,51,51,103 liters of ID liquor
Koraput,2020-07,26,33,97 bottles of IMFL
Sambalpur,2020-07,44,57,115 bottles of IMFL
Puri,2020-07,39,43,103 liters of ID liquor
Balasore,2020-07,37,54,497 kg of fermented wash destroyed
Rourkela,2020-07,68,68,90 liters of ID liquor
Mayurbhanj,2020-07,20,20,103 pouches of country liquor
Cuttack,2020-07,95,95,114 pouches of country liquor
Kalahandi,2020-07,14,14,505 kg of fermented wash destroyed
Bhubaneswar,2020-08,95,104,105 pouches of country liquor
Ganjam,2020-08,45,49,95 pouches of country liquor
Koraput,2020-08,26,32,93 liters of ID liquor
Sambalpur,2020-08,47,47,113 bottles of IMFL
Puri,2020-08,36,36,101 pouches of country liquor
Balasore,2020-08,37,39,95 bottles of IMFL
Rourkela,2020-08,69,69,99 pouches of country liquor
Mayurbhanj,2020-08,21,23,119 liters of ID liquor
Cuttack,2020-08,74,74,105 liters of ID liquor
Kalahandi,2020-08,18,19,455 kg of fermented wash destroyed
Bhubaneswar,2020-09,73,78,503 kg of fermented wash destroyed
Ganjam,2020-09,58,58,107 liters of ID liquor
Koraput,2020-09,35,36,110 liters of ID liquor
Sambalpur,2020-09,37,37,104 liters of ID liquor
Puri,2020-09,34,34,90 bottles of IMFL
Balasore,2020-09,35,39,515 kg of fermented wash destroyed
Rourkela,2020-09,70,73,94 bottles of IMFL
Mayurbhanj,2020-09,18,21,105 bottles of IMFL
Cuttack,2020-09,84,98,101 bottles of IMFL
Kalahandi,2020-09,17,19,105 liters of ID liquor
Bhubaneswar,2020-10,113,135,104 pouches of country liquor
Ganjam,2020-10,44,44,83 liters of ID liquor
Koraput,2020-10,29,34,106 pouches of country liquor
Sambalpur,2020-10,42,44,111 pouches of country liquor
Puri,2020-10,35,44,109 liters of ID liquor
Balasore,2020-10,40,70,519 kg of fermented wash destroyed
Rourkela,2020-10,68,74,96 pouches of country liquor
Mayurbhanj,2020-10,13,17,531 kg of fermented wash destroyed
Cuttack,2020-10,80,86,96 liters of ID liquor
Kalahandi,2020-10,16,21,98 bottles of IMFL
Bhubaneswar,2020-11,101,126,96 bottles of IMFL
Ganjam,2020-11,61,66,87 liters of ID liquor
Koraput,2020-11,23,23,107 bottles of IMFL
Sambalpur,2020-11,42,45,109 bottles of IMFL
Puri,2020-11,44,44,99 pouches of country liquor
Balasore,2020-11,48,48,102 liters of ID liquor
Rourkela,2020-11,62,62,512 kg of fermented wash destroyed
Mayurbhanj,2020-11,23,33,89 liters of ID liquor
Cuttack,2020-11,85,97,478 kg of fermented wash destroyed
Kalahandi,2020-11,8,8,107 pouches of country liquor
Bhubaneswar,2020-12,88,88,537 kg of fermented wash destroyed
Ganjam,2020-12,50,50,95 bottles of IMFL
Koraput,2020-12,28,28,90 bottles of IMFL
Sambalpur,2020-12,44,46,80 bottles of IMFL
Puri,2020-12,42,42,97 pouches of country liquor
Balasore,2020-12,29,32,108 bottles of IMFL
Rourkela,2020-12,70,70,100 pouches of country liquor
Mayurbhanj,2020-12,18,20,102 liters of ID liquor
Cuttack,2020-12,98,109,115 bottles of IMFL
Kalahandi,2020-12,24,26,102 pouches of country liquor
Bhubaneswar,2021-01,81,98,106 liters of ID liquor
Ganjam,2021-01,55,61,94 bottles of IMFL
Koraput,2021-01,18,27,514 kg of fermented wash destroyed
Sambalpur,2021-01,33,33,488 kg of fermented wash destroyed
Puri,2021-01,30,43,504 kg of fermented wash destroyed
Balasore,2021-01,29,32,78 liters of ID liquor
Rourkela,2021-01,52,57,96 bottles of IMFL
Mayurbhanj,2021-01,29,30,482 kg of fermented wash destroyed
Cuttack,2021-01,73,78,459 kg of fermented wash destroyed
Kalahandi,2021-01,24,32,106 bottles of IMFL
Bhubaneswar,2021-02,92,123,107 liters of ID liquor
Ganjam,2021-02,68,68,500 kg of fermented wash destroyed
Koraput,2021-02,35,41,88 liters of ID liquor
Sambalpur,2021-02,49,63,123 pouches of country liquor
Puri,2021-02,37,46,83 pouches of country liquor
Balasore,2021-02,40,46,89 bottles of IMFL
Rourkela,2021-02,81,81,97 pouches of country liquor
Mayurbhanj,2021-02,13,17,93 liters of ID liquor
Cuttack,2021-02,89,89,107 liters of ID liquor
Kalahandi,2021-02,6,6,99 pouches of country liquor
Bhubaneswar,2021-03,74,79,104 bottles of IMFL
Ganjam,2021-03,58,58,523 kg of fermented wash destroyed
Koraput,2021-03,25,25,488 kg of fermented wash destroyed
Sambalpur,2021-03,57,57,127 pouches of country liquor
Puri,2021-03,39,39,527 kg of fermented wash destroyed
Balasore,2021-03,29,32,113 bottles of IMFL
Rourkela,2021-03,80,101,95 pouches of country liquor
Mayurbhanj,2021-03,21,21,84 bottles of IMFL
Cuttack,2021-03,68,80,84 liters of ID liquor
Kalahandi,2021-03,15,15,98 pouches of country liquor
Bhubaneswar,2021-04,96,96,92 bottles of IMFL
Ganjam,2021-04,44,57,480 kg of fermented wash destroyed
Koraput,2021-04,28,38,100 pouches of country liquor
Sambalpur,2021-04,48,48,528 kg of fermented wash destroyed
Puri,2021-04,42,47,102 pouches of country liquor
Balasore,2021-04,34,37,84 pouches of country liquor
Rourkela,2021-04,78,85,466 kg of fermented wash destroyed
Mayurbhanj,2021-04,15,15,107 bottles of IMFL
Cuttack,2021-04,90,90,108 pouches of country liquor
Kalahandi,2021-04,18,18,523 kg of fermented wash destroyed
Bhubaneswar,2021-05,94,123,108 liters of ID liquor
Ganjam,2021-05,52,54,529 kg of fermented wash destroyed
Koraput,2021-05,20,23,109 liters of ID liquor
Sambalpur,2021-05,42,52,108 bottles of IMFL
Puri,2021-05,37,40,498 kg of fermented wash destroyed
Balasore,2021-05,37,46,121 pouches of country liquor
Rourkela,2021-05,62,75,85 liters of ID liquor
Mayurbhanj,2021-05,17,25,107 liters of ID liquor
Cuttack,2021-05,90,90,90 pouches of country liquor
Kalahandi,2021-05,10,10,94 liters of ID liquor
Bhubaneswar,2021-06,91,93,510 kg of fermented wash destroyed
Ganjam,2021-06,65,65,494 kg of fermented wash destroyed
Koraput,2021-06,26,34,95 pouches of country liquor
Sambalpur,2021-06,44,44,515 kg of fermented wash destroyed
Puri,2021-06,39,41,101 pouches of country liquor
Balasore,2021-06,39,46,92 bottles of IMFL
Rourkela,2021-06,76,95,122 liters of ID liquor
Mayurbhanj,2021-06,12,12,495 kg of fermented wash destroyed
Cuttack,2021-06,77,95,106 liters of ID liquor
Kalahandi,2021-06,18,22,93 liters of ID liquor
Bhubaneswar,2021-07,96,114,97 liters of ID liquor
Ganjam,2021-07,53,53,106 bottles of IMFL
Koraput,2021-07,26,29,105 bottles of IMFL
Sambalpur,2021-07,47,54,96 pouches of country liquor
Puri,2021-07,34,57,95 bottles of IMFL
Balasore,2021-07,45,54,96 pouches of country liquor
Rourkela,2021-07,60,73,111 pouches of country liquor
Mayurbhanj,2021-07,15,19,115 bottles of IMFL
Cuttack,2021-07,82,96,509 kg of fermented wash destroyed
Kalahandi,2021-07,31,44,103 pouches of country liquor
Bhubaneswar,2021-08,92,114,109 bottles of IMFL
Ganjam,2021-08,55,59,103 bottles of IMFL
Koraput,2021-08,23,23,112 bottles of IMFL
Sambalpur,2021-08,38,38,103 bottles of IMFL
Puri,2021-08,39,39,92 liters of ID liquor
Balasore,2021-08,40,41,100 pouches of country liquor
Rourkela,2021-08,80,84,97 liters of ID liquor
Mayurbhanj,2021-08,19,19,511 kg of fermented wash destroyed
Cuttack,2021-08,92,117,89 liters of ID liquor
Kalahandi,2021-08,21,26,98 bottles of IMFL
Bhubaneswar,2021-09,90,90,90 bottles of IMFL
Ganjam,2021-09,50,56,100 bottles of IMFL
Koraput,2021-09,29,33,105 bottles of IMFL
Sambalpur,2021-09,44,50,96 pouches of country liquor
Puri,2021-09,35,41,111 pouches of country liquor
Balasore,2021-09,45,45,101 liters of ID liquor
Rourkela,2021-09,73,82,91 bottles of IMFL
Mayurbhanj,2021-09,26,32,109 liters of ID liquor
Cuttack,2021-09,80,102,97 bottles of IMFL
Kalahandi,2021-09,10,10,494 kg of fermented wash destroyed
Bhubaneswar,2021-10,95,121,89 liters of ID liquor
Ganjam,2021-10,42,49,96 pouches of country liquor
Koraput,2021-10,33,36,90 liters of ID liquor
Sambalpur,2021-10,54,67,99 pouches of country liquor
Puri,2021-10,24,30,497 kg of fermented wash destroyed
Balasore,2021-10,52,58,489 kg of fermented wash destroyed
Rourkela,2021-10,61,74,463 kg of fermented wash destroyed
Mayurbhanj,2021-10,22,22,534 kg of fermented wash destroyed
Cuttack,2021-10,94,105,90 liters of ID liquor
Kalahandi,2021-10,28,28,96 liters of ID liquor
Bhubaneswar,2021-11,101,127,490 kg of fermented wash destroyed
Ganjam,2021-11,52,63,102 liters of ID liquor
Koraput,2021-11,28,29,465 kg of fermented wash destroyed
Sambalpur,2021-11,54,81,107 bottles of IMFL
Puri,2021-11,39,41,105 liters of ID liquor
Balasore,2021-11,48,48,487 kg of fermented wash destroyed
Rourkela,2021-11,53,53,104 pouches of country liquor
Mayurbhanj,2021-11,20,20,94 bottles of IMFL
Cuttack,2021-11,77,79,107 bottles of IMFL
Kalahandi,2021-11,17,18,94 bottles of IMFL
Bhubaneswar,2021-12,99,107,101 liters of ID liquor
Ganjam,2021-12,49,54,89 pouches of country liquor
Koraput,2021-12,29,48,93 liters of ID liquor
Sambalpur,2021-12,47,47,90 pouches of country liquor
Puri,2021-12,33,33,97 pouches of country liquor
Balasore,2021-12,41,42,104 bottles of IMFL
Rourkela,2021-12,53,53,81 pouches of country liquor
Mayurbhanj,2021-12,17,18,93 bottles of IMFL
Cuttack,2021-12,98,130,100 liters of ID liquor
Kalahandi,2021-12,15,19,474 kg of fermented wash destroyed
Bhubaneswar,2022-01,77,84,100 pouches of country liquor
Ganjam,2022-01,48,54,521 kg of fermented wash destroyed
Koraput,2022-01,24,24,90 liters of ID liquor
Sambalpur,2022-01,53,60,86 liters of ID liquor
Puri,2022-01,33,33,496 kg of fermented wash destroyed
Balasore,2022-01,32,38,119 pouches of country liquor
Rourkela,2022-01,55,60,518 kg of fermented wash destroyed
Mayurbhanj,2022-01,18,19,99 liters of ID liquor
Cuttack,2022-01,88,92,84 liters of ID liquor
Kalahandi,2022-01,7,9,104 bottles of IMFL
Bhubaneswar,2022-02,105,118,98 pouches of country liquor
Ganjam,2022-02,68,83,124 pouches of country liquor
Koraput,2022-02,20,23,112 liters of ID liquor
Sambalpur,2022-02,55,58,102 bottles of IMFL
Puri,2022-02,38,53,93 bottles of IMFL
Balasore,2022-02,41,41,524 kg of fermented wash destroyed
Rourkela,2022-02,71,71,505 kg of fermented wash destroyed
Mayurbhanj,2022-02,27,30,90 liters of ID liquor
Cuttack,2022-02,101,113,487 kg of fermented wash destroyed
Kalahandi,2022-02,16,18,88 liters of ID liquor
Bhubaneswar,2022-03,94,125,475 kg of fermented wash destroyed
Ganjam,2022-03,52,52,106 liters of ID liquor
Koraput,2022-03,23,25,73 bottles of IMFL
Sambalpur,2022-03,42,52,91 bottles of IMFL
Puri,2022-03,28,28,96 liters of ID liquor
Balasore,2022-03,48,53,101 bottles of IMFL
Rourkela,2022-03,60,71,99 bottles of IMFL
Mayurbhanj,2022-03,27,27,92 pouches of country liquor
Cuttack,2022-03,81,85,513 kg of fermented wash destroyed
Kalahandi,2022-03,19,29,103 pouches of country liquor
Bhubaneswar,2022-04,77,77,97 bottles of IMFL
Ganjam,2022-04,47,47,100 pouches of country liquor
Koraput,2022-04,27,29,88 pouches of country liquor
Sambalpur,2022-04,30,35,104 liters of ID liquor
Puri,2022-04,34,34,101 pouches of country liquor
Balasore,2022-04,41,49,89 pouches of country liquor
Rourkela,2022-04,72,72,524 kg of fermented wash destroyed
Mayurbhanj,2022-04,18,18,525 kg of fermented wash destroyed
Cuttack,2022-04,83,100,89 liters of ID liquor
Kalahandi,2022-04,23,25,91 bottles of IMFL
Bhubaneswar,2022-05,88,88,119 bottles of IMFL
Ganjam,2022-05,51,59,502 kg of fermented wash destroyed
Koraput,2022-05,17,17,112 pouches of country liquor
Sambalpur,2022-05,51,57,457 kg of fermented wash destroyed
Puri,2022-05,41,47,92 bottles of IMFL
Balasore,2022-05,37,38,536 kg of fermented wash destroyed
Rourkela,2022-05,62,62,114 pouches of country liquor
Mayurbhanj,2022-05,24,27,101 liters of ID liquor
Cuttack,2022-05,77,88,508 kg of fermented wash destroyed
Kalahandi,2022-05,27,27,90 pouches of country liquor
Bhubaneswar,2022-06,85,97,94 liters of ID liquor
Ganjam,2022-06,56,62,512 kg of fermented wash destroyed
Koraput,2022-06,13,14,107 liters of ID liquor
Sambalpur,2022-06,44,49,75 liters of ID liquor
Puri,2022-06,36,39,96 pouches of country liquor
Balasore,2022-06,49,49,531 kg of fermented wash destroyed
Rourkela,2022-06,58,61,85 liters of ID liquor
Mayurbhanj,2022-06,26,26,537 kg of fermented wash destroyed
Cuttack,2022-06,81,82,101 bottles of IMFL
Kalahandi,2022-06,10,10,86 liters of ID liquor
Bhubaneswar,2022-07,93,103,119 bottles of IMFL
Ganjam,2022-07,59,74,500 kg of fermented wash destroyed
Koraput,2022-07,28,28,114 bottles of IMFL
Sambalpur,2022-07,56,63,131 liters of ID liquor
Puri,2022-07,29,29,485 kg of fermented wash destroyed
Balasore,2022-07,36,39,95 bottles of IMFL
Rourkela,2022-07,73,87,95 liters of ID liquor
Mayurbhanj,2022-07,25,32,489 kg of fermented wash destroyed
Cuttack,2022-07,87,99,513 kg of fermented wash destroyed
Kalahandi,2022-07,19,22,97 pouches of country liquor
Bhubaneswar,2022-08,87,103,496 kg of fermented wash destroyed
Ganjam,2022-08,57,74,572 kg of fermented wash destroyed
Koraput,2022-08,31,40,517 kg of fermented wash destroyed
Sambalpur,2022-08,55,56,103 pouches of country liquor
Puri,2022-08,33,36,94 bottles of IMFL
Balasore,2022-08,37,37,80 bottles of IMFL
Rourkela,2022-08,65,73,102 bottles of IMFL
Mayurbhanj,2022-08,31,31,101 pouches of country liquor
Cuttack,2022-08,91,104,523 kg of fermented wash destroyed
Kalahandi,2022-08,19,25,106 pouches of country liquor
Bhubaneswar,2022-09,92,104,508 kg of fermented wash destroyed
Ganjam,2022-09,52,52,97 pouches of country liquor
Koraput,2022-09,24,27,94 pouches of country liquor
Sambalpur,2022-09,61,61,90 bottles of IMFL
Puri,2022-09,37,37,106 bottles of IMFL
Balasore,2022-09,44,44,82 pouches of country liquor
Rourkela,2022-09,64,68,90 liters of ID liquor
Mayurbhanj,2022-09,19,20,99 liters of ID liquor
Cuttack,2022-09,77,89,93 pouches of country liquor
Kalahandi,2022-09,26,26,96 liters of ID liquor
Bhubaneswar,2022-10,110,110,100 bottles of IMFL
Ganjam,2022-10,52,56,532 kg of fermented wash destroyed
Koraput,2022-10,21,21,104 bottles of IMFL
Sambalpur,2022-10,41,47,98 bottles of IMFL
Puri,2022-10,32,47,100 bottles of IMFL
Balasore,2022-10,40,40,83 pouches of country liquor
Rourkela,2022-10,69,72,494 kg of fermented wash destroyed
Mayurbhanj,2022-10,27,27,504 kg of fermented wash destroyed
Cuttack,2022-10,87,106,110 liters of ID liquor
Kalahandi,2022-10,15,18,117 liters of ID liquor
Bhubaneswar,2022-11,93,98,95 pouches of country liquor
Ganjam,2022-11,47,58,110 liters of ID liquor
Koraput,2022-11,22,22,90 bottles of IMFL
Sambalpur,2022-11,50,59,94 liters of ID liquor
Puri,2022-11,43,43,108 pouches of country liquor
Balasore,2022-11,40,53,509 kg of fermented wash destroyed
Rourkela,2022-11,65,74,87 bottles of IMFL
Mayurbhanj,2022-11,22,26,89 bottles of IMFL
Cuttack,2022-11,93,100,109 pouches of country liquor
Kalahandi,2022-11,11,12,106 bottles of IMFL
Bhubaneswar,2022-12,90,90,489 kg of fermented wash destroyed
Ganjam,2022-12,51,57,517 kg of fermented wash destroyed
Koraput,2022-12,24,24,511 kg of fermented wash destroyed
Sambalpur,2022-12,47,47,474 kg of fermented wash destroyed
Puri,2022-12,30,30,481 kg of fermented wash destroyed
Balasore,2022-12,40,43,102 bottles of IMFL
Rourkela,2022-12,70,85,538 kg of fermented wash destroyed
Mayurbhanj,2022-12,25,27,118 liters of ID liquor
Cuttack,2022-12,89,110,103 liters of ID liquor
Kalahandi,2022-12,21,24,97 pouches of country liquor
Bhubaneswar,2023-01,83,83,107 bottles of IMFL
Ganjam,2023-01,70,84,102 bottles of IMFL
Koraput,2023-01,28,32,98 pouches of country liquor
Sambalpur,2023-01,50,52,89 pouches of country liquor
Puri,2023-01,36,42,117 pouches of country liquor
Balasore,2023-01,42,45,527 kg of fermented wash destroyed
Rourkela,2023-01,71,71,91 liters of ID liquor
Mayurbhanj,2023-01,33,33,102 liters of ID liquor
Cuttack,2023-01,96,111,111 liters of ID liquor
Kalahandi,2023-01,13,13,487 kg of fermented wash destroyed
Bhubaneswar,2023-02,103,113,87 liters of ID liquor
Ganjam,2023-02,45,59,521 kg of fermented wash destroyed
Koraput,2023-02,28,28,112 pouches of country liquor
Sambalpur,2023-02,45,50,101 pouches of country liquor
Puri,2023-02,47,47,108 pouches of country liquor
Balasore,2023-02,24,24,104 pouches of country liquor
Rourkela,2023-02,79,79,94 pouches of country liquor
Mayurbhanj,2023-02,21,21,111 pouches of country liquor
Cuttack,2023-02,79,88,105 bottles of IMFL
Kalahandi,2023-02,21,22,522 kg of fermented wash destroyed
Bhubaneswar,2023-03,74,76,101 bottles of IMFL
Ganjam,2023-03,44,44,102 liters of ID liquor
Koraput,2023-03,20,22,130 pouches of country liquor
Sambalpur,2023-03,42,57,105 bottles of IMFL
Puri,2023-03,30,35,98 bottles of IMFL
Balasore,2023-03,48,54,102 bottles of IMFL
Rourkela,2023-03,59,85,94 liters of ID liquor
Mayurbhanj,2023-03,19,21,534 kg of fermented wash destroyed
Cuttack,2023-03,75,80,88 bottles of IMFL
Kalahandi,2023-03,17,17,113 pouches of country liquor
Bhubaneswar,2023-04,83,84,91 pouches of country liquor
Ganjam,2023-04,55,62,496 kg of fermented wash destroyed
Koraput,2023-04,32,39,90 pouches of country liquor
Sambalpur,2023-04,50,51,97 bottles of IMFL
Puri,2023-04,40,48,102 liters of ID liquor
Balasore,2023-04,37,41,86 pouches of country liquor
Rourkela,2023-04,62,62,107 bottles of IMFL
Mayurbhanj,2023-04,21,25,89 pouches of country liquor
Cuttack,2023-04,98,113,98 liters of ID liquor
Kalahandi,2023-04,14,14,105 bottles of IMFL
Bhubaneswar,2023-05,79,96,520 kg of fermented wash destroyed
Ganjam,2023-05,45,59,543 kg of fermented wash destroyed
Koraput,2023-05,22,22,96 liters of ID liquor
Sambalpur,2023-05,39,44,105 pouches of country liquor
Puri,2023-05,39,49,88 pouches of country liquor
Balasore,2023-05,53,61,94 bottles of IMFL
Rourkela,2023-05,55,58,97 bottles of IMFL
Mayurbhanj,2023-05,29,39,79 liters of ID liquor
Cuttack,2023-05,74,95,112 bottles of IMFL
Kalahandi,2023-05,17,17,82 pouches of country liquor
Bhubaneswar,2023-06,88,106,97 liters of ID liquor
Ganjam,2023-06,50,63,492 kg of fermented wash destroyed
Koraput,2023-06,22,34,96 pouches of country liquor
Sambalpur,2023-06,42,48,95 bottles of IMFL
Puri,2023-06,45,49,99 pouches of country liquor
Balasore,2023-06,45,45,101 liters of ID liquor
Rourkela,2023-06,68,68,494 kg of fermented wash destroyed
Mayurbhanj,2023-06,22,32,516 kg of fermented wash destroyed
Cuttack,2023-06,78,87,78 pouches of country liquor
