district,month,notice_129_bnss,bound_129_bnss,notice_126_bnss,bound_126_bnss,booked_under_nsa,nbw_executed,chanda_cases_registered,chanda_persons_arrested,blockings_border_sealed,organized_crime_action
Kalahandi,2018-08,32,30,17,14,2,41,1,3,4,2
Bhubaneswar,2018-09,143,108,123,86,1,261,11,4,30,0
Ganjam,2018-09,91,76,66,62,1,150,2,3,17,3
Koraput,2018-09,45,27,40,23,1,68,5,6,9,3
Sambalpur,2018-09,70,52,62,52,3,121,4,2,14,1
Puri,2018-09,72,65,49,44,1,96,4,4,18,0
Balasore,2018-09,61,51,59,51,3,117,6,4,19,0
Rourkela,2018-09,87,72,88,85,1,196,3,10,19,3
Mayurbhanj,2018-09,30,24,29,24,1,44,1,3,12,1
Cuttack,2018-09,142,104,112,80,1,209,6,11,32,2
Kalahandi,2018-09,31,31,23,15,1,56,4,4,8,2
Bhubaneswar,2018-10,150,134,129,104,3,240,9,8,26,2
Ganjam,2018-10,96,81,66,58,1,139,3,10,15,3
Koraput,2018-10,38,32,22,14,2,53,4,4,11,1
Sambalpur,2018-10,74,52,65,55,1,119,4,2,16,4
Puri,2018-10,52,40,52,41,1,101,3,6,19,1
Balasore,2018-10,55,34,68,54,0,94,2,2,13,1
Rourkela,2018-10,101,61,85,77,1,175,12,5,17,3
Mayurbhanj,2018-10,51,40,24,21,1,62,0,3,8,3
Cuttack,2018-10,170,145,114,109,2,238,11,13,36,4
Kalahandi,2018-10,25,16,23,16,0,45,2,5,7,0
Bhubaneswar,2018-11,125,88,125,91,1,247,7,11,29,2
Ganjam,2018-11,67,52,82,68,1,160,5,6,15,2
Koraput,2018-11,50,30,28,20,1,77,4,6,10,0
Sambalpur,2018-11,72,64,71,67,2,137,1,8,15,2
Puri,2018-11,64,55,40,40,0,88,4,7,5,2
Balasore,2018-11,58,43,63,43,0,101,3,5,13,2
Rourkela,2018-11,92,73,92,66,0,192,5,16,16,1
Mayurbhanj,2018-11,47,41,31,30,0,48,3,5,5,2
Cuttack,2018-11,117,81,97,79,0,217,12,6,31,3
Kalahandi,2018-11,41,38,31,27,1,53,0,3,7,0
Bhubaneswar,2018-12,140,112,109,94,3,243,9,6,26,1
Ganjam,2018-12,89,74,72,55,2,130,7,1,20,3
Koraput,2018-12,36,29,29,18,3,62,5,4,6,0
Sambalpur,2018-12,89,86,50,35,1,132,4,8,13,1
Puri,2018-12,58,33,38,21,2,82,1,3,8,2
Balasore,2018-12,71,57,60,46,0,110,8,8,22,3
Rourkela,2018-12,92,76,91,68,2,183,8,8,17,1
Mayurbhanj,2018-12,34,33,36,35,2,53,3,3,10,1
Cuttack,2018-12,151,112,110,89,1,200,10,14,17,2
Kalahandi,2018-12,27,18,17,13,1,46,1,1,7,0
Bhubaneswar,2019-01,129,87,109,89,2,268,11,5,26,7
Ganjam,2019-01,86,82,69,53,1,162,4,6,7,2
Koraput,2019-01,44,34,38,33,1,64,2,2,8,0
Sambalpur,2019-01,81,62,52,43,1,105,6,6,12,3
Puri,2019-01,63,53,47,36,0,105,2,1,8,0
Balasore,2019-01,87,64,59,37,1,108,4,2,16,2
Rourkela,2019-01,114,86,97,86,2,159,8,9,21,3
Mayurbhanj,2019-01,41,34,25,20,1,62,1,5,6,0
Cuttack,2019-01,136,100,103,77,1,215,8,10,27,4
Kalahandi,2019-01,39,30,28,20,2,56,0,1,7,1
Bhubaneswar,2019-02,132,93,133,104,2,233,9,11,38,2
Ganjam,2019-02,108,83,74,54,0,133,6,4,19,0
Koraput,2019-02,42,36,41,36,1,82,2,3,9,0
Sambalpur,2019-02,87,60,58,54,1,133,1,5,18,2
Puri,2019-02,71,71,40,40,1,100,5,3,11,1
Balasore,2019-02,70,65,53,42,1,112,1,5,13,2
Rourkela,2019-02,120,91,78,64,2,176,4,6,21,6
Mayurbhanj,2019-02,42,37,32,23,0,56,2,1,5,3
Cuttack,2019-02,136,102,106,80,1,247,7,14,24,1
Kalahandi,2019-02,25,14,16,16,2,47,1,2,7,3
Bhubaneswar,2019-03,152,120,135,125,2,267,10,9,26,5
Ganjam,2019-03,92,84,69,51,2,152,9,5,15,3
Koraput,2019-03,51,41,40,34,3,66,1,3,7,1
Sambalpur,2019-03,75,75,68,57,0,112,3,7,16,0
Puri,2019-03,60,40,51,51,2,92,3,5,2,2
Balasore,2019-03,88,73,57,47,1,115,2,2,13,1
Rourkela,2019-03,91,79,84,55,3,156,4,8,21,0
Mayurbhanj,2019-03,34,34,20,14,4,54,5,4,5,1
Cuttack,2019-03,130,116,104,86,1,216,10,5,25,0
Kalahandi,2019-03,33,23,18,13,1,41,2,0,3,2
Bhubaneswar,2019-04,136,125,142,111,3,258,12,8,23,2
Ganjam,2019-04,88,69,79,52,0,145,7,4,24,0
Koraput,2019-04,34,28,34,26,1,70,1,1,9,2
Sambalpur,2019-04,86,79,59,47,1,102,4,3,11,0
Puri,2019-04,62,53,57,52,1,116,5,6,10,2
Balasore,2019-04,57,49,44,29,0,132,4,3,8,2
Rourkela,2019-04,114,78,81,64,2,184,7,3,26,3
Mayurbhanj,2019-04,27,22,28,15,1,55,3,3,8,3
Cuttack,2019-04,145,115,102,76,1,222,8,10,23,1
Kalahandi,2019-04,31,25,24,17,2,44,0,0,4,1
Bhubaneswar,2019-05,154,122,131,96,4,231,7,19,25,5
Ganjam,2019-05,89,64,65,45,0,126,7,3,16,1
Koraput,2019-05,42,42,36,36,0,69,2,3,5,1
Sambalpur,2019-05,94,86,64,41,0,126,8,7,18,2
Puri,2019-05,55,46,52,44,0,101,5,11,13,2
Balasore,2019-05,63,52,47,37,2,111,3,6,17,1
Rourkela,2019-05,101,88,95,90,1,172,4,6,19,1
Mayurbhanj,2019-05,37,29,36,36,0,52,2,6,5,1
Cuttack,2019-05,153,126,114,86,0,229,7,8,35,3
Kalahandi,2019-05,28,28,26,15,0,51,1,1,4,1
Bhubaneswar,2019-06,153,120,113,103,4,257,9,10,28,2
Ganjam,2019-06,80,53,75,54,0,138,9,7,21,2
Koraput,2019-06,35,25,21,18,1,69,0,2,9,2
Sambalpur,2019-06,79,62,58,51,1,117,3,4,16,2
Puri,2019-06,62,49,45,35,1,101,3,0,11,1
Balasore,2019-06,65,50,55,42,0,101,3,5,14,0
Rourkela,2019-06,105,82,88,77,1,175,9,14,22,1
Mayurbhanj,2019-06,36,30,37,26,1,51,3,3,10,3
Cuttack,2019-06,128,87,111,87,0,203,7,9,33,2
Kalahandi,2019-06,35,31,27,24,1,44,1,0,11,2
Bhubaneswar,2019-07,135,95,126,110,2,228,8,18,27,5
Ganjam,2019-07,89,83,74,72,2,133,5,6,17,1
Koraput,2019-07,36,32,27,24,2,70,1,3,8,1
Sambalpur,2019-07,72,56,84,71,0,127,4,5,9,0
Puri,2019-07,72,70,37,27,1,97,5,1,11,0
Balasore,2019-07,93,73,56,55,2,107,11,7,18,1
Rourkela,2019-07,108,99,73,46,0,188,10,7,17,1
Mayurbhanj,2019-07,34,28,25,23,1,60,2,2,11,1
Cuttack,2019-07,152,105,109,89,0,255,9,12,24,5
Kalahandi,2019-07,18,8,17,16,2,28,1,3,7,0
Bhubaneswar,2019-08,136,106,119,94,5,268,11,11,31,3
Ganjam,2019-08,98,80,76,58,1,145,2,7,23,0
Koraput,2019-08,32,29,28,22,1,74,3,3,8,1
Sambalpur,2019-08,66,46,59,47,0,118,3,7,19,2
Puri,2019-08,46,39,51,30,0,100,3,7,21,1
Balasore,2019-08,66,49,44,26,1,122,7,5,7,0
Rourkela,2019-08,92,84,81,65,2,171,3,8,28,0
Mayurbhanj,2019-08,49,30,27,22,0,49,4,1,1,0
Cuttack,2019-08,141,125,125,103,3,221,6,13,29,3
Kalahandi,2019-08,31,26,23,21,0,47,1,4,4,1
Bhubaneswar,2019-09,154,109,123,90,1,231,9,7,23,3
Ganjam,2019-09,104,93,68,62,0,123,5,6,21,2
Koraput,2019-09,38,29,19,15,0,72,2,2,5,3
Sambalpur,2019-09,75,53,56,46,1,119,6,7,9,1
Puri,2019-09,59,40,46,32,2,108,2,10,16,1
Balasore,2019-09,73,56,56,46,1,115,5,2,16,3
Rourkela,2019-09,112,76,72,67,2,182,6,8,18,2
Mayurbhanj,2019-09,30,25,25,24,0,51,4,4,7,2
Cuttack,2019-09,152,116,101,76,2,220,6,14,22,2
Kalahandi,2019-09,35,27,25,19,1,33,3,1,4,2
Bhubaneswar,2019-10,139,96,133,112,1,204,11,7,38,0
Ganjam,2019-10,93,87,77,53,0,149,7,5,22,2
Koraput,2019-10,39,23,31,31,1,63,4,2,4,0
Sambalpur,2019-10,70,58,75,73,2,107,1,8,20,3
Puri,2019-10,63,44,56,50,0,103,4,6,26,1
Balasore,2019-10,59,41,42,31,2,118,2,7,16,2
Rourkela,2019-10,99,73,82,69,4,178,8,6,23,1
Mayurbhanj,2019-10,35,30,29,29,0,59,1,2,9,0
Cuttack,2019-10,147,117,105,77,1,225,8,11,34,4
Kalahandi,2019-10,32,29,21,21,1,46,2,2,3,0
Bhubaneswar,2019-11,138,124,118,101,1,256,12,9,21,4
Ganjam,2019-11,83,67,74,67,1,132,5,4,18,2
Koraput,2019-11,30,30,29,25,0,62,2,6,13,2
Sambalpur,2019-11,83,66,58,45,0,114,2,7,15,0
Puri,2019-11,54,37,51,42,1,96,2,9,12,3
Balasore,2019-11,67,59,54,39,1,112,4,1,12,0
Rourkela,2019-11,115,90,97,85,0,173,10,11,26,2
Mayurbhanj,2019-11,37,23,28,26,2,62,1,1,5,1
Cuttack,2019-11,139,124,108,83,2,206,9,9,23,3
Kalahandi,2019-11,24,18,25,17,1,38,5,2,6,0
Bhubaneswar,2019-12,149,114,115,94,3,241,15,13,31,0
Ganjam,2019-12,100,96,77,51,0,121,6,9,22,2
Koraput,2019-12,34,34,24,24,0,64,0,4,7,0
Sambalpur,2019-12,76,60,54,39,2,112,6,4,10,0
Puri,2019-12,54,45,48,40,0,108,5,7,13,2
Balasore,2019-12,64,52,62,53,1,97,4,6,13,0
Rourkela,2019-12,102,81,91,84,1,192,8,7,19,2
Mayurbhanj,2019-12,37,32,34,26,1,51,1,4,7,0
Cuttack,2019-12,135,104,90,62,1,220,6,14,29,0
Kalahandi,2019-12,28,18,21,21,1,54,3,2,4,0
Bhubaneswar,2020-01,109,105,124,88,2,246,7,7,34,3
Ganjam,2020-01,101,79,57,57,1,125,3,4,16,2
Koraput,2020-01,40,36,23,23,2,60,4,2,11,0
Sambalpur,2020-01,62,48,71,56,3,120,7,2,7,1
Puri,2020-01,52,33,56,48,3,89,1,3,9,1
Balasore,2020-01,74,64,54,42,1,124,4,6,19,2
Rourkela,2020-01,109,90,103,85,2,169,5,9,19,1
Mayurbhanj,2020-01,41,30,30,22,3,56,2,4,9,1
Cuttack,2020-01,129,104,110,84,0,230,7,10,22,4
Kalahandi,2020-01,32,31,25,21,1,54,0,4,7,1
Bhubaneswar,2020-02,160,117,130,95,3,225,7,5,31,3
Ganjam,2020-02,91,64,69,34,2,139,8,7,21,2
Koraput,2020-02,35,33,28,24,1,58,2,3,9,0
Sambalpur,2020-02,74,59,73,65,2,125,9,5,19,3
Puri,2020-02,62,62,60,58,0,103,1,1,16,1
Balasore,2020-02,73,64,52,49,2,109,7,6,12,1
Rourkela,2020-02,114,96,91,69,1,180,6,6,18,3
Mayurbhanj,2020-02,26,25,25,15,1,59,3,3,7,0
Cuttack,2020-02,133,112,104,71,1,257,6,8,19,2
Kalahandi,2020-02,32,29,13,7,4,44,1,3,6,4
Bhubaneswar,2020-03,126,95,133,93,1,236,9,15,26,4
Ganjam,2020-03,79,69,74,60,0,125,6,6,26,1
Koraput,2020-03,35,24,36,28,0,64,3,4,13,0
Sambalpur,2020-03,72,59,57,45,1,113,4,7,18,2
Puri,2020-03,70,58,57,53,1,90,3,4,12,3
Balasore,2020-03,93,64,71,57,2,94,1,5,14,1
Rourkela,2020-03,121,96,83,71,4,187,6,5,26,3
Mayurbhanj,2020-03,28,22,39,27,1,67,2,1,7,0
Cuttack,2020-03,142,113,104,81,0,232,6,14,26,4
Kalahandi,2020-03,31,24,25,16,2,42,1,1,8,1
Bhubaneswar,2020-04,163,126,98,79,0,243,7,8,27,4
Ganjam,2020-04,76,60,75,75,0,136,3,4,18,0
Koraput,2020-04,31,28,31,24,0,62,2,2,7,0
Sambalpur,2020-04,69,64,57,45,1,120,3,5,19,1
Puri,2020-04,55,55,41,25,0,95,4,2,7,0
Balasore,2020-04,60,34,44,36,1,97,5,2,14,1
Rourkela,2020-04,91,69,96,77,0,168,9,3,18,2
Mayurbhanj,2020-04,30,30,26,21,0,50,4,2,8,1
Cuttack,2020-04,140,111,97,68,1,219,5,8,36,4
Kalahandi,2020-04,37,25,15,12,1,53,2,2,9,1
Bhubaneswar,2020-05,137,105,125,89,2,227,11,19,27,8
Ganjam,2020-05,68,51,77,53,0,144,4,7,16,3
Koraput,2020-05,43,32,31,22,3,64,2,2,8,2
Sambalpur,2020-05,78,61,62,52,0,131,7,5,8,4
Puri,2020-05,63,60,47,37,0,93,9,5,8,1
Balasore,2020-05,81,66,54,45,0,118,2,4,16,1
Rourkela,2020-05,103,81,85,62,0,178,6,8,34,4
Mayurbhanj,2020-05,41,35,22,17,0,58,1,2,4,1
Cuttack,2020-05,133,109,111,93,0,235,7,12,26,5
Kalahandi,2020-05,36,20,22,14,1,53,1,1,6,2
Bhubaneswar,2020-06,137,121,110,66,3,230,8,6,31,3
Ganjam,2020-06,123,92,76,54,1,145,3,11,24,1
Koraput,2020-06,43,33,28,15,2,61,1,3,12,0
Sambalpur,2020-06,79,62,61,52,1,116,1,5,11,3
Puri,2020-06,60,46,42,35,0,94,3,6,15,0
Balasore,2020-06,70,47,57,35,1,109,6,7,12,1
Rourkela,2020-06,114,95,80,80,2,177,7,10,24,5
Mayurbhanj,2020-06,30,17,31,20,1,63,2,2,8,1
Cuttack,2020-06,152,121,115,92,1,218,10,8,35,0
Kalahandi,2020-06,29,23,23,16,1,47,3,1,4,2
Bhubaneswar,2020-07,144,116,105,81,1,232,11,8,24,6
Ganjam,2020-07,103,84,67,54,1,123,9,5,11,2
Koraput,2020-07,42,37,33,23,1,57,6,4,13,1
Sambalpur,2020-07,84,67,51,46,1,120,5,7,13,3
Puri,2020-07,80,53,44,31,0,100,4,2,10,2
Balasore,2020-07,66,50,51,47,2,126,3,6,16,1
Rourkela,2020-07,100,83,73,48,0,154,7,4,35,5
Mayurbhanj,2020-07,32,25,35,25,1,63,6,3,9,1
Cuttack,2020-07,144,124,113,99,1,211,5,11,27,3
Kalahandi,2020-07,23,13,28,28,0,55,2,1,4,0
Bhubaneswar,2020-08,159,137,114,95,1,231,5,13,25,4
Ganjam,2020-08,85,82,67,58,0,138,5,7,11,2
Koraput,2020-08,31,23,32,24,1,65,0,6,8,0
Sambalpur,2020-08,80,68,59,55,0,110,2,8,19,1
Puri,2020-08,58,38,49,39,2,117,0,3,7,0
Balasore,2020-08,76,71,55,35,1,128,6,3,16,1
Rourkela,2020-08,111,94,74,59,0,171,6,5,27,1
Mayurbhanj,2020-08,31,28,27,24,1,58,2,2,3,3
Cuttack,2020-08,124,96,119,78,2,226,8,7,34,2
Kalahandi,2020-08,33,22,22,22,1,35,1,2,7,2
Bhubaneswar,2020-09,144,102,105,80,1,240,12,9,29,1
Ganjam,2020-09,92,80,75,50,0,138,6,4,22,2
Koraput,2020-09,42,30,31,23,0,60,3,1,8,2
Sambalpur,2020-09,91,77,61,41,0,99,3,3,15,2
Puri,2020-09,69,59,47,34,3,86,5,4,8,2
Balasore,2020-09,68,58,57,41,0,108,9,3,11,0
Rourkela,2020-09,110,80,81,67,1,152,6,9,14,1
Mayurbhanj,2020-09,31,31,31,19,2,59,1,3,4,1
Cuttack,2020-09,115,98,131,94,3,226,13,10,28,7
Kalahandi,2020-09,41,34,22,14,0,38,3,3,5,2
Bhubaneswar,2020-10,138,107,111,80,1,235,9,11,31,1
Ganjam,2020-10,101,78,70,58,1,152,3,7,18,2
Koraput,2020-10,32,32,36,20,1,74,4,5,6,1
Sambalpur,2020-10,81,49,49,37,0,107,3,7,21,3
Puri,2020-10,66,41,52,46,3,97,8,8,14,0
Balasore,2020-10,54,40,53,34,1,115,2,5,7,3
Rourkela,2020-10,114,101,86,65,0,155,7,5,20,3
Mayurbhanj,2020-10,26,25,32,29,0,62,3,2,7,2
Cuttack,2020-10,153,124,115,95,2,208,10,13,26,1
Kalahandi,2020-10,43,39,18,12,0,42,4,4,10,1
Bhubaneswar,2020-11,137,114,119,86,2,243,7,8,35,4
Ganjam,2020-11,84,59,69,67,1,155,2,8,9,4
Koraput,2020-11,42,42,28,16,3,71,2,1,9,0
Sambalpur,2020-11,73,55,63,47,1,112,5,5,15,1
Puri,2020-11,56,49,37,31,1,100,2,1,14,1
Balasore,2020-11,93,85,53,40,0,106,5,4,11,3
Rourkela,2020-11,123,88,92,87,1,190,9,5,19,1
Mayurbhanj,2020-11,31,30,26,22,1,53,4,3,9,0
Cuttack,2020-11,142,120,100,82,1,241,7,10,29,3
Kalahandi,2020-11,25,20,24,19,0,53,0,0,5,1
Bhubaneswar,2020-12,149,124,115,88,0,262,5,9,32,3
Ganjam,2020-12,97,64,91,70,0,156,2,9,10,1
Koraput,2020-12,47,41,27,27,0,65,4,2,4,2
Sambalpur,2020-12,78,68,59,52,0,103,5,3,18,2
Puri,2020-12,41,38,53,43,1,94,5,2,8,0
Balasore,2020-12,67,64,58,49,0,120,4,4,19,1
Rourkela,2020-12,113,97,100,86,0,200,1,6,16,1
Mayurbhanj,2020-12,36,29,27,18,0,47,0,4,7,0
Cuttack,2020-12,137,114,105,86,3,224,7,12,20,2
Kalahandi,2020-12,34,34,26,19,2,53,0,2,6,0
Bhubaneswar,2021-01,146,113,130,99,2,263,9,8,29,6
Ganjam,2021-01,101,74,73,55,0,133,5,7,14,1
Koraput,2021-01,40,33,34,23,1,55,3,1,5,2
Sambalpur,2021-01,63,37,61,52,3,142,7,4,17,0
Puri,2021-01,57,56,50,33,0,82,2,5,10,1
Balasore,2021-01,87,64,72,53,2,102,1,4,14,3
Rourkela,2021-01,102,80,91,81,3,174,5,7,19,4
Mayurbhanj,2021-01,40,25,31,30,2,42,1,2,5,2
Cuttack,2021-01,133,112,102,75,1,217,11,13,19,1
Kalahandi,2021-01,37,28,18,15,1,46,1,3,7,0
Bhubaneswar,2021-02,148,133,125,114,1,241,7,9,34,2
Ganjam,2021-02,87,70,75,57,1,146,4,5,20,3
Koraput,2021-02,42,33,41,28,1,77,2,4,12,0
Sambalpur,2021-02,69,44,63,43,1,125,1,8,14,2
Puri,2021-02,72,51,45,32,0,103,2,3,13,1
Balasore,2021-02,72,57,55,35,2,131,2,5,11,3
Rourkela,2021-02,98,69,84,65,1,162,8,5,23,0
Mayurbhanj,2021-02,24,19,39,31,1,48,1,2,10,0
Cuttack,2021-02,140,109,107,82,0,228,7,11,28,6
Kalahandi,2021-02,24,22,24,24,0,53,3,1,8,2
Bhubaneswar,2021-03,150,117,125,90,5,246,5,8,28,5
Ganjam,2021-03,99,83,75,55,0,158,3,4,21,2
Koraput,2021-03,39,34,36,28,0,64,3,3,10,0
Sambalpur,2021-03,79,76,64,41,1,130,7,6,23,2
Puri,2021-03,63,52,38,36,3,88,3,3,11,1
Balasore,2021-03,60,43,54,41,3,113,4,4,16,1
Rourkela,2021-03,121,116,97,70,1,182,5,13,21,4
Mayurbhanj,2021-03,35,31,27,23,0,54,1,2,4,2
Cuttack,2021-03,126,113,109,83,2,214,15,7,33,1
Kalahandi,2021-03,25,24,12,11,1,59,1,3,5,1
Bhubaneswar,2021-04,179,134,104,103,0,243,11,9,32,2
Ganjam,2021-04,80,80,71,52,0,138,3,7,26,0
Koraput,2021-04,44,32,34,32,0,65,0,2,10,0
Sambalpur,2021-04,79,64,67,66,1,100,6,2,11,2
Puri,2021-04,71,65,55,55,0,90,4,3,12,0
Balasore,2021-04,61,58,55,42,2,112,4,5,12,1
Rourkela,2021-04,111,93,98,68,0,181,6,9,24,1
Mayurbhanj,2021-04,49,40,23,23,0,56,1,2,8,1
Cuttack,2021-04,134,99,115,101,3,224,10,10,26,2
Kalahandi,2021-04,29,20,34,32,0,41,1,2,5,1
Bhubaneswar,2021-05,160,136,131,101,1,238,7,13,26,4
Ganjam,2021-05,87,85,81,59,3,141,4,8,19,0
Koraput,2021-05,44,29,33,32,0,62,1,1,8,1
Sambalpur,2021-05,70,58,67,67,1,124,3,3,27,2
Puri,2021-05,61,48,44,44,0,84,2,5,15,0
Balasore,2021-05,76,71,47,40,4,103,3,4,10,1
Rourkela,2021-05,106,86,85,69,2,189,4,7,23,3
Mayurbhanj,2021-05,40,35,19,13,1,53,1,3,8,1
Cuttack,2021-05,138,107,102,85,0,214,11,11,32,3
Kalahandi,2021-05,32,27,23,14,0,41,3,4,3,2
Bhubaneswar,2021-06,157,129,107,87,2,253,13,8,40,2
Ganjam,2021-06,95,76,79,69,1,140,9,4,16,3
Koraput,2021-06,54,44,33,25,1,59,0,7,7,3
Sambalpur,2021-06,76,63,58,43,1,125,6,8,14,2
Puri,2021-06,61,47,43,36,1,90,2,5,6,2
Balasore,2021-06,70,48,56,42,2,105,3,7,20,1
Rourkela,2021-06,112,77,93,74,0,147,5,1,20,2
Mayurbhanj,2021-06,36,33,28,28,4,58,1,2,6,1
Cuttack,2021-06,106,94,113,87,1,240,4,11,17,1
Kalahandi,2021-06,35,33,30,20,2,48,0,0,8,0
Bhubaneswar,2021-07,146,118,137,110,0,250,17,7,29,3
Ganjam,2021-07,98,74,84,71,1,149,6,5,21,0
Koraput,2021-07,48,29,28,27,1,55,6,5,9,1
Sambalpur,2021-07,62,46,49,30,0,128,2,6,6,0
Puri,2021-07,68,56,43,24,0,97,2,5,12,2
Balasore,2021-07,73,60,50,50,0,144,5,5,17,0
Rourkela,2021-07,114,93,87,85,0,167,10,11,25,1
Mayurbhanj,2021-07,38,31,27,24,0,49,2,1,2,0
Cuttack,2021-07,116,89,112,87,0,244,5,7,33,2
Kalahandi,2021-07,23,23,33,25,1,45,3,1,0,1
Bhubaneswar,2021-08,156,116,135,108,3,270,12,10,25,1
Ganjam,2021-08,80,64,67,65,0,143,5,8,11,2
Koraput,2021-08,54,39,32,23,0,77,3,4,9,0
Sambalpur,2021-08,86,65,52,43,1,109,4,3,16,2
Puri,2021-08,56,39,56,37,2,96,0,5,13,3
Balasore,2021-08,62,49,54,42,0,114,5,4,13,1
Rourkela,2021-08,103,69,99,81,1,181,6,9,20,2
Mayurbhanj,2021-08,36,24,28,21,0,58,1,4,2,0
Cuttack,2021-08,146,123,116,109,3,202,10,17,29,1
Kalahandi,2021-08,43,40,25,20,0,43,5,3,7,0
Bhubaneswar,2021-09,164,131,141,127,1,202,15,9,28,4
Ganjam,2021-09,84,67,75,64,2,137,8,10,22,3
Koraput,2021-09,33,29,30,25,0,62,2,3,9,0
Sambalpur,2021-09,81,71,55,45,1,122,8,8,12,1
Puri,2021-09,61,41,48,32,1,101,6,4,13,2
Balasore,2021-09,80,60,49,25,1,138,1,7,10,0
Rourkela,2021-09,107,89,104,76,0,173,5,5,19,4
Mayurbhanj,2021-09,33,28,30,15,1,65,0,2,6,3
Cuttack,2021-09,123,108,117,86,0,236,5,10,26,1
Kalahandi,2021-09,24,15,26,21,0,50,4,2,9,1
Bhubaneswar,2021-10,157,146,115,89,3,260,12,11,35,3
Ganjam,2021-10,91,81,90,87,1,140,6,7,23,1
Koraput,2021-10,48,26,40,30,1,79,4,4,3,2
Sambalpur,2021-10,72,53,57,39,3,123,5,6,15,4
Puri,2021-10,71,57,51,35,1,105,3,7,14,2
Balasore,2021-10,71,46,68,59,1,119,3,3,7,2
Rourkela,2021-10,109,88,97,87,2,181,7,7,21,1
Mayurbhanj,2021-10,32,32,23,17,1,58,2,5,4,3
Cuttack,2021-10,120,95,110,89,5,245,9,13,28,0
Kalahandi,2021-10,34,22,23,15,0,51,3,3,3,0
Bhubaneswar,2021-11,150,133,128,116,2,242,11,11,28,5
Ganjam,2021-11,76,56,71,51,1,154,3,10,19,2
Koraput,2021-11,51,39,30,20,0,68,0,5,7,0
Sambalpur,2021-11,72,69,48,30,2,104,7,11,11,1
Puri,2021-11,76,58,55,52,0,88,3,5,18,0
Balasore,2021-11,77,63,64,50,0,104,8,4,16,1
Rourkela,2021-11,103,83,95,65,0,172,4,6,17,2
Mayurbhanj,2021-11,28,25,29,12,0,54,0,7,3,0
Cuttack,2021-11,155,131,146,106,2,210,8,19,25,3
Kalahandi,2021-11,42,35,20,19,2,52,2,0,13,0
Bhubaneswar,2021-12,142,103,102,86,1,241,12,13,29,5
Ganjam,2021-12,77,61,67,46,1,113,5,5,17,4
Koraput,2021-12,38,24,40,35,1,52,3,3,7,2
Sambalpur,2021-12,64,59,66,47,1,120,5,6,20,2
Puri,2021-12,63,63,49,32,4,107,5,2,10,1
Balasore,2021-12,81,69,50,33,2,90,7,4,11,1
Rourkela,2021-12,103,77,92,72,3,185,3,11,23,1
Mayurbhanj,2021-12,43,20,18,13,2,56,1,2,5,1
Cuttack,2021-12,160,124,122,87,5,216,7,8,35,2
Kalahandi,2021-12,35,32,25,19,0,54,4,6,4,4
Bhubaneswar,2022-01,141,111,124,78,4,212,7,10,28,4
Ganjam,2022-01,102,88,60,49,2,125,6,4,20,4
Koraput,2022-01,26,18,28,28,1,72,0,2,9,3
Sambalpur,2022-01,72,60,73,55,1,145,3,5,13,1
Puri,2022-01,71,64,46,40,1,97,3,4,9,0
Balasore,2022-01,76,68,53,53,2,115,5,2,11,1
Rourkela,2022-01,106,90,86,78,2,185,8,8,25,3
Mayurbhanj,2022-01,36,27,32,28,2,53,3,2,12,0
Cuttack,2022-01,137,99,92,72,2,239,8,10,30,5
Kalahandi,2022-01,28,17,32,27,0,50,4,2,5,3
Bhubaneswar,2022-02,145,132,126,104,0,234,10,12,23,4
Ganjam,2022-02,96,65,79,68,2,162,4,4,14,1
Koraput,2022-02,43,42,37,37,1,53,3,8,10,1
Sambalpur,2022-02,88,63,68,53,2,105,3,3,14,3
Puri,2022-02,59,59,47,43,1,94,4,6,13,1
Balasore,2022-02,71,41,43,33,0,98,7,4,9,1
Rourkela,2022-02,113,87,89,79,1,165,6,8,26,1
Mayurbhanj,2022-02,41,28,33,33,1,52,1,1,6,2
Cuttack,2022-02,131,114,116,116,1,212,7,15,31,4
Kalahandi,2022-02,28,13,22,17,1,44,2,4,6,3
Bhubaneswar,2022-03,163,151,111,84,3,212,9,18,28,0
Ganjam,2022-03,89,56,79,59,0,153,5,8,10,0
Koraput,2022-03,46,38,23,19,2,70,2,1,8,1
Sambalpur,2022-03,68,53,57,40,0,109,6,7,14,0
Puri,2022-03,50,40,48,35,0,111,4,4,13,1
Balasore,2022-03,72,44,56,47,1,124,2,2,16,0
Rourkela,2022-03,125,117,105,77,2,156,10,5,18,3
Mayurbhanj,2022-03,34,27,24,17,1,49,3,2,8,1
Cuttack,2022-03,136,101,110,97,2,221,10,10,24,1
Kalahandi,2022-03,28,21,25,24,0,46,2,4,11,2
Bhubaneswar,2022-04,158,126,108,81,1,243,7,20,28,3
Ganjam,2022-04,88,77,73,47,0,122,9,8,22,1
Koraput,2022-04,51,36,31,21,0,77,4,2,10,2
Sambalpur,2022-04,87,62,54,41,2,115,3,4,15,1
Puri,2022-04,60,41,57,45,2,100,4,6,13,1
Balasore,2022-04,70,51,50,48,1,114,3,8,10,1
Rourkela,2022-04,112,91,77,53,0,172,10,8,21,3
Mayurbhanj,2022-04,25,25,32,32,1,55,2,2,11,0
Cuttack,2022-04,148,135,102,102,0,233,7,14,28,2
Kalahandi,2022-04,26,15,23,16,1,52,1,3,9,0
Bhubaneswar,2022-05,139,120,135,112,3,254,6,17,38,1
