district,month,cases_registered,persons_arrested,details_of_seizure,arrest_per_case,target_efficiency
Koraput,2017-09-01,20,20,113 pouches of country liquor,1.0,1.0
Sambalpur,2017-09-01,42,47,107 pouches of country liquor,1.119047619047619,1.0476190476190477
Puri,2017-09-01,46,56,528 kg of fermented wash destroyed,1.2173913043478262,1.2592592592592593
Balasore,2017-09-01,27,36,124 bottles of IMFL,1.3333333333333333,1.0
Rourkela,2017-09-01,54,58,484 kg of fermented wash destroyed,1.0740740740740742,1.0735294117647058
Mayurbhanj,2017-09-01,19,22,526 kg of fermented wash destroyed,1.1578947368421053,1.0
Cuttack,2017-09-01,92,111,109 liters of ID liquor,1.2065217391304348,1.160919540229885
Kalahandi,2017-09-01,19,23,101 liters of ID liquor,1.2105263157894737,1.1176470588235294
Bhubaneswar,2017-10-01,86,103,477 kg of fermented wash destroyed,1.197674418604651,1.0425531914893618
Ganjam,2017-10-01,69,82,93 pouches of country liquor,1.1884057971014492,1.1568627450980393
Koraput,2017-10-01,23,23,106 bottles of IMFL,1.0,1.0526315789473684
Sambalpur,2017-10-01,42,44,92 pouches of country liquor,1.0476190476190477,1.3055555555555556
Puri,2017-10-01,27,34,102 liters of ID liquor,1.2592592592592593,1.0
Balasore,2017-10-01,28,28,92 pouches of country liquor,1.0,1.0
Rourkela,2017-10-01,68,73,489 kg of fermented wash destroyed,1.0735294117647058,1.0
Mayurbhanj,2017-10-01,30,30,78 bottles of IMFL,1.0,1.45
Cuttack,2017-10-01,87,101,534 kg of fermented wash destroyed,1.160919540229885,1.144578313253012
Kalahandi,2017-10-01,17,19,500 kg of fermented wash destroyed,1.1176470588235294,1.0769230769230769
Bhubaneswar,2017-11-01,94,98,97 liters of ID liquor,1.0425531914893618,1.0
Ganjam,2017-11-01,51,59,97 bottles of IMFL,1.1568627450980393,1.0754716981132075
Koraput,2017-11-01,19,20,103 bottles of IMFL,1.0526315789473684,1.0
Sambalpur,2017-11-01,36,47,81 pouches of country liquor,1.3055555555555556,1.1666666666666667
Puri,2017-11-01,28,28,455 kg of fermented wash destroyed,1.0,1.0
Balasore,2017-11-01,43,43,106 pouches of country liquor,1.0,1.0
Rourkela,2017-11-01,65,65,91 pouches of country liquor,1.0,1.2567567567567568
Mayurbhanj,2017-11-01,20,29,101 bottles of IMFL,1.45,1.0
Cuttack,2017-11-01,83,95,96 pouches of country liquor,1.144578313253012,1.0
Kalahandi,2017-11-01,13,14,466 kg of fermented wash destroyed,1.0769230769230769,1.0
Bhubaneswar,2017-12-01,88,88,494 kg of fermented wash destroyed,1.0,1.0
Ganjam,2017-12-01,53,57,496 kg of fermented wash destroyed,1.0754716981132075,1.0
Koraput,2017-12-01,27,27,99 pouches of country liquor,1.0,1.0
Sambalpur,2017-12-01,48,56,92 bottles of IMFL,1.1666666666666667,1.0
Puri,2017-12-01,29,29,496 kg of fermented wash destroyed,1.0,1.0625
Balasore,2017-12-01,44,44,113 bottles of IMFL,1.0,1.186046511627907
Rourkela,2017-12-01,74,93,96 pouches of country liquor,1.2567567567567568,1.0588235294117647
Mayurbhanj,2017-12-01,24,24,112 pouches of country liquor,1.0,1.0
Cuttack,2017-12-01,78,78,99 liters of ID liquor,1.0,1.092783505154639
Kalahandi,2017-12-01,19,19,109 liters of ID liquor,1.0,1.1333333333333333
Bhubaneswar,2018-01-01,73,73,92 pouches of country liquor,1.0,1.118279569892473
Ganjam,2018-01-01,42,42,548 kg of fermented wash destroyed,1.0,1.0
Koraput,2018-01-01,30,30,114 liters of ID liquor,1.0,1.173913043478261
Sambalpur,2018-01-01,52,52,521 kg of fermented wash destroyed,1.0,1.1
Puri,2018-01-01,32,34,101 bottles of IMFL,1.0625,1.0
Balasore,2018-01-01,43,51,104 pouches of country liquor,1.186046511627907,1.0
Rourkela,2018-01-01,68,72,106 pouches of country liquor,1.0588235294117647,1.265625
Mayurbhanj,2018-01-01,25,25,105 liters of ID liquor,1.0,1.3076923076923077
Cuttack,2018-01-01,97,106,486 kg of fermented wash destroyed,1.092783505154639,1.1935483870967742
Kalahandi,2018-01-01,15,17,97 liters of ID liquor,1.1333333333333333,1.1764705882352942
Bhubaneswar,2018-02-01,93,104,96 bottles of IMFL,1.118279569892473,1.180722891566265
Ganjam,2018-02-01,49,49,95 bottles of IMFL,1.0,1.2769230769230768
Koraput,2018-02-01,23,27,91 pouches of country liquor,1.173913043478261,1.0
Sambalpur,2018-02-01,60,66,91 pouches of country liquor,1.1,1.0392156862745099
Puri,2018-02-01,35,35,555 kg of fermented wash destroyed,1.0,1.2258064516129032
Balasore,2018-02-01,46,46,107 bottles of IMFL,1.0,1.1363636363636365
Rourkela,2018-02-01,64,81,96 bottles of IMFL,1.265625,1.0298507462686568
Mayurbhanj,2018-02-01,26,34,485 kg of fermented wash destroyed,1.3076923076923077,1.0
Cuttack,2018-02-01,93,111,102 liters of ID liquor,1.1935483870967742,1.0975609756097562
Kalahandi,2018-02-01,17,20,486 kg of fermented wash destroyed,1.1764705882352942,1.3888888888888888
Bhubaneswar,2018-03-01,83,98,99 bottles of IMFL,1.180722891566265,1.302325581395349
Ganjam,2018-03-01,65,83,91 bottles of IMFL,1.2769230769230768,1.3018867924528301
Koraput,2018-03-01,25,25,105 bottles of IMFL,1.0,1.24
Sambalpur,2018-03-01,51,53,106 bottles of IMFL,1.0392156862745099,1.1730769230769231
Puri,2018-03-01,31,38,105 bottles of IMFL,1.2258064516129032,1.1891891891891893
Balasore,2018-03-01,44,50,116 liters of ID liquor,1.1363636363636365,1.0
Rourkela,2018-03-01,67,69,76 bottles of IMFL,1.0298507462686568,1.2456140350877194
Mayurbhanj,2018-03-01,14,14,101 pouches of country liquor,1.0,1.0
Cuttack,2018-03-01,82,90,523 kg of fermented wash destroyed,1.0975609756097562,1.2469135802469136
Kalahandi,2018-03-01,18,25,86 liters of ID liquor,1.3888888888888888,1.6428571428571428
Bhubaneswar,2018-04-01,86,112,102 liters of ID liquor,1.302325581395349,1.065217391304348
Ganjam,2018-04-01,53,69,521 kg of fermented wash destroyed,1.3018867924528301,1.2666666666666666
Koraput,2018-04-01,25,31,97 pouches of country liquor,1.24,1.0
Sambalpur,2018-04-01,52,61,93 pouches of country liquor,1.1730769230769231,1.2653061224489797
Puri,2018-04-01,37,44,514 kg of fermented wash destroyed,1.1891891891891893,1.0
Balasore,2018-04-01,43,43,87 liters of ID liquor,1.0,1.0
Rourkela,2018-04-01,57,71,508 kg of fermented wash destroyed,1.2456140350877194,1.0
Mayurbhanj,2018-04-01,18,18,111 bottles of IMFL,1.0,1.0384615384615385
Cuttack,2018-04-01,81,101,89 bottles of IMFL,1.2469135802469136,1.1170212765957446
Kalahandi,2018-04-01,28,46,505 kg of fermented wash destroyed,1.6428571428571428,1.0666666666666667
Bhubaneswar,2018-05-01,92,98,95 bottles of IMFL,1.065217391304348,1.2371134020618557
Ganjam,2018-05-01,45,57,522 kg of fermented wash destroyed,1.2666666666666666,1.1702127659574468
Koraput,2018-05-01,19,19,116 liters of ID liquor,1.0,1.25
Sambalpur,2018-05-01,49,62,80 liters of ID liquor,1.2653061224489797,1.103448275862069
Puri,2018-05-01,36,36,85 pouches of country liquor,1.0,1.0512820512820513
Balasore,2018-05-01,58,58,522 kg of fermented wash destroyed,1.0,1.1956521739130435
Rourkela,2018-05-01,69,69,100 bottles of IMFL,1.0,1.0555555555555556
Mayurbhanj,2018-05-01,26,27,121 pouches of country liquor,1.0384615384615385,1.1
Cuttack,2018-05-01,94,105,91 liters of ID liquor,1.1170212765957446,1.0909090909090908
Kalahandi,2018-05-01,15,16,119 bottles of IMFL,1.0666666666666667,1.0
Bhubaneswar,2018-06-01,97,120,123 pouches of country liquor,1.2371134020618557,1.0
Ganjam,2018-06-01,47,55,88 pouches of country liquor,1.1702127659574468,1.6603773584905661
Koraput,2018-06-01,20,25,98 liters of ID liquor,1.25,1.1071428571428572
Sambalpur,2018-06-01,58,64,113 pouches of country liquor,1.103448275862069,1.127659574468085
Puri,2018-06-01,39,41,94 liters of ID liquor,1.0512820512820513,1.0227272727272727
Balasore,2018-06-01,46,55,95 bottles of IMFL,1.1956521739130435,1.0277777777777777
Rourkela,2018-06-01,54,57,93 pouches of country liquor,1.0555555555555556,1.1904761904761905
Mayurbhanj,2018-06-01,20,22,498 kg of fermented wash destroyed,1.1,1.0
Cuttack,2018-06-01,99,108,114 liters of ID liquor,1.0909090909090908,1.0804597701149425
Kalahandi,2018-06-01,25,25,72 bottles of IMFL,1.0,1.0
Bhubaneswar,2018-07-01,83,83,79 pouches of country liquor,1.0,1.0
Ganjam,2018-07-01,53,88,503 kg of fermented wash destroyed,1.6603773584905661,1.0
Koraput,2018-07-01,28,31,485 kg of fermented wash destroyed,1.1071428571428572,1.1578947368421053
Sambalpur,2018-07-01,47,53,102 pouches of country liquor,1.127659574468085,1.1020408163265305
Puri,2018-07-01,44,45,510 kg of fermented wash destroyed,1.0227272727272727,1.0512820512820513
Balasore,2018-07-01,36,37,102 bottles of IMFL,1.0277777777777777,1.4146341463414633
Rourkela,2018-07-01,63,75,95 pouches of country liquor,1.1904761904761905,1.1568627450980393
Mayurbhanj,2018-07-01,18,18,107 liters of ID liquor,1.0,1.1
Cuttack,2018-07-01,87,94,117 liters of ID liquor,1.0804597701149425,1.082191780821918
Kalahandi,2018-07-01,28,28,102 pouches of country liquor,1.0,1.2380952380952381
Bhubaneswar,2018-08-01,85,85,110 liters of ID liquor,1.0,1.0897435897435896
Ganjam,2018-08-01,48,48,495 kg of fermented wash destroyed,1.0,1.0377358490566038
Koraput,2018-08-01,19,22,107 pouches of country liquor,1.1578947368421053,1.0
Sambalpur,2018-08-01,49,54,508 kg of fermented wash destroyed,1.1020408163265305,1.135135135135135
Puri,2018-08-01,39,41,99 liters of ID liquor,1.0512820512820513,1.032258064516129
Balasore,2018-08-01,41,58,91 bottles of IMFL,1.4146341463414633,1.3548387096774193
Rourkela,2018-08-01,51,59,97 liters of ID liquor,1.1568627450980393,1.1071428571428572
Mayurbhanj,2018-08-01,20,22,108 pouches of country liquor,1.1,1.0
Cuttack,2018-08-01,73,79,83 pouches of country liquor,1.082191780821918,1.0875
Kalahandi,2018-08-01,21,26,87 bottles of IMFL,1.2380952380952381,1.0
Bhubaneswar,2018-09-01,78,85,85 liters of ID liquor,1.0897435897435896,1.1290322580645162
Ganjam,2018-09-01,53,55,103 liters of ID liquor,1.0377358490566038,1.5
Koraput,2018-09-01,21,21,93 liters of ID liquor,1.0,1.25
Sambalpur,2018-09-01,37,42,108 pouches of country liquor,1.135135135135135,1.2325581395348837
Puri,2018-09-01,31,32,102 bottles of IMFL,1.032258064516129,1.2666666666666666
Balasore,2018-09-01,31,42,86 liters of ID liquor,1.3548387096774193,1.0625
Rourkela,2018-09-01,56,62,92 liters of ID liquor,1.1071428571428572,1.0
Mayurbhanj,2018-09-01,32,32,98 liters of ID liquor,1.0,1.2857142857142858
Cuttack,2018-09-01,80,87,91 pouches of country liquor,1.0875,1.075268817204301
Kalahandi,2018-09-01,17,17,509 kg of fermented wash destroyed,1.0,1.0666666666666667
Bhubaneswar,2018-10-01,93,105,80 pouches of country liquor,1.1290322580645162,1.1547619047619047
Ganjam,2018-10-01,56,84,97 bottles of IMFL,1.5,1.2115384615384615
Koraput,2018-10-01,16,20,97 pouches of country liquor,1.25,1.0
Sambalpur,2018-10-01,43,53,97 liters of ID liquor,1.2325581395348837,1.0
Puri,2018-10-01,30,38,515 kg of fermented wash destroyed,1.2666666666666666,1.0227272727272727
Balasore,2018-10-01,48,51,121 bottles of IMFL,1.0625,1.25
Rourkela,2018-10-01,64,64,101 liters of ID liquor,1.0,1.11864406779661
Mayurbhanj,2018-10-01,14,18,110 bottles of IMFL,1.2857142857142858,1.0416666666666667
Cuttack,2018-10-01,93,100,90 bottles of IMFL,1.075268817204301,1.2207792207792207
Kalahandi,2018-10-01,15,16,478 kg of fermented wash destroyed,1.0666666666666667,1.0
Bhubaneswar,2018-11-01,84,97,97 liters of ID liquor,1.1547619047619047,1.0340909090909092
Ganjam,2018-11-01,52,63,489 kg of fermented wash destroyed,1.2115384615384615,1.2428571428571429
Koraput,2018-11-01,22,22,115 liters of ID liquor,1.0,1.6111111111111112
Sambalpur,2018-11-01,39,39,532 kg of fermented wash destroyed,1.0,1.0153846153846153
Puri,2018-11-01,44,45,97 bottles of IMFL,1.0227272727272727,1.1666666666666667
Balasore,2018-11-01,32,40,478 kg of fermented wash destroyed,1.25,1.0
Rourkela,2018-11-01,59,66,89 pouches of country liquor,1.11864406779661,1.037037037037037
Mayurbhanj,2018-11-01,24,25,469 kg of fermented wash destroyed,1.0416666666666667,1.4545454545454546
Cuttack,2018-11-01,77,94,527 kg of fermented wash destroyed,1.2207792207792207,1.0740740740740742
Kalahandi,2018-11-01,20,20,110 liters of ID liquor,1.0,1.0588235294117647
Bhubaneswar,2018-12-01,88,91,102 liters of ID liquor,1.0340909090909092,1.146341463414634
Ganjam,2018-12-01,70,87,505 kg of fermented wash destroyed,1.2428571428571429,1.2835820895522387
Koraput,2018-12-01,18,29,474 kg of fermented wash destroyed,1.6111111111111112,1.391304347826087
Sambalpur,2018-12-01,65,66,458 kg of fermented wash destroyed,1.0153846153846153,1.0
Puri,2018-12-01,30,35,111 pouches of country liquor,1.1666666666666667,1.394736842105263
Balasore,2018-12-01,45,45,108 pouches of country liquor,1.0,1.2682926829268293
Rourkela,2018-12-01,54,56,107 bottles of IMFL,1.037037037037037,1.140625
Mayurbhanj,2018-12-01,22,32,95 liters of ID liquor,1.4545454545454546,1.5238095238095237
Cuttack,2018-12-01,81,87,105 pouches of country liquor,1.0740740740740742,1.0
Kalahandi,2018-12-01,17,18,522 kg of fermented wash destroyed,1.0588235294117647,1.411764705882353
Bhubaneswar,2019-01-01,82,94,94 pouches of country liquor,1.146341463414634,1.125
Ganjam,2019-01-01,67,86,92 pouches of country liquor,1.2835820895522387,1.0
Koraput,2019-01-01,23,32,105 pouches of country liquor,1.391304347826087,1.263157894736842
Sambalpur,2019-01-01,42,42,113 pouches of country liquor,1.0,1.358974358974359
Puri,2019-01-01,38,53,532 kg of fermented wash destroyed,1.394736842105263,1.1944444444444444
Balasore,2019-01-01,41,52,511 kg of fermented wash destroyed,1.2682926829268293,1.1794871794871795
Rourkela,2019-01-01,64,73,108 bottles of IMFL,1.140625,1.0
Mayurbhanj,2019-01-01,21,32,93 liters of ID liquor,1.5238095238095237,1.0
Cuttack,2019-01-01,89,89,504 kg of fermented wash destroyed,1.0,1.0
Kalahandi,2019-01-01,17,24,102 liters of ID liquor,1.411764705882353,1.1578947368421053
Bhubaneswar,2019-02-01,96,108,507 kg of fermented wash destroyed,1.125,1.032258064516129
Ganjam,2019-02-01,58,58,91 bottles of IMFL,1.0,1.1923076923076923
Koraput,2019-02-01,19,24,108 bottles of IMFL,1.263157894736842,1.0
Sambalpur,2019-02-01,39,53,110 liters of ID liquor,1.358974358974359,1.0869565217391304
Puri,2019-02-01,36,43,483 kg of fermented wash destroyed,1.1944444444444444,1.4814814814814814
Balasore,2019-02-01,39,46,82 bottles of IMFL,1.1794871794871795,1.12
Rourkela,2019-02-01,51,51,108 pouches of country liquor,1.0,1.2372881355932204
Mayurbhanj,2019-02-01,25,25,97 pouches of country liquor,1.0,1.0434782608695652
Cuttack,2019-02-01,86,86,122 liters of ID liquor,1.0,1.0120481927710843
Kalahandi,2019-02-01,19,22,116 liters of ID liquor,1.1578947368421053,1.2272727272727273
Bhubaneswar,2019-03-01,93,96,92 bottles of IMFL,1.032258064516129,1.0776699029126213
Ganjam,2019-03-01,52,62,98 pouches of country liquor,1.1923076923076923,1.196078431372549
Koraput,2019-03-01,20,20,92 bottles of IMFL,1.0,1.36
Sambalpur,2019-03-01,46,50,113 pouches of country liquor,1.0869565217391304,1.2040816326530612
Puri,2019-03-01,27,40,465 kg of fermented wash destroyed,1.4814814814814814,1.0
Balasore,2019-03-01,50,56,83 bottles of IMFL,1.12,1.065217391304348
Rourkela,2019-03-01,59,73,98 pouches of country liquor,1.2372881355932204,1.0135135135135136
Mayurbhanj,2019-03-01,23,24,97 bottles of IMFL,1.0434782608695652,1.0
Cuttack,2019-03-01,83,84,101 bottles of IMFL,1.0120481927710843,1.0
Kalahandi,2019-03-01,22,27,90 bottles of IMFL,1.2272727272727273,1.6666666666666667
Bhubaneswar,2019-04-01,103,111,479 kg of fermented wash destroyed,1.0776699029126213,1.1318681318681318
Ganjam,2019-04-01,51,61,103 bottles of IMFL,1.196078431372549,1.2372881355932204
Koraput,2019-04-01,25,34,83 liters of ID liquor,1.36,1.3636363636363635
Sambalpur,2019-04-01,49,59,103 bottles of IMFL,1.2040816326530612,1.1842105263157894
Puri,2019-04-01,39,39,523 kg of fermented wash destroyed,1.0,1.3714285714285714
Balasore,2019-04-01,46,49,90 bottles of IMFL,1.065217391304348,1.3076923076923077
Rourkela,2019-04-01,74,75,120 bottles of IMFL,1.0135135135135136,1.1285714285714286
Mayurbhanj,2019-04-01,34,34,97 pouches of country liquor,1.0,1.0416666666666667
Cuttack,2019-04-01,78,78,120 bottles of IMFL,1.0,1.09375
Kalahandi,2019-04-01,12,20,513 kg of fermented wash destroyed,1.6666666666666667,1.6363636363636365
Bhubaneswar,2019-05-01,91,103,102 liters of ID liquor,1.1318681318681318,1.0375
Ganjam,2019-05-01,59,73,94 pouches of country liquor,1.2372881355932204,1.0
Koraput,2019-05-01,33,45,98 liters of ID liquor,1.3636363636363635,1.0
Sambalpur,2019-05-01,38,45,86 liters of ID liquor,1.1842105263157894,1.0444444444444445
Puri,2019-05-01,35,48,97 bottles of IMFL,1.3714285714285714,1.0
Balasore,2019-05-01,39,51,94 bottles of IMFL,1.3076923076923077,1.0
Rourkela,2019-05-01,70,79,109 pouches of country liquor,1.1285714285714286,1.0
Mayurbhanj,2019-05-01,24,25,103 bottles of IMFL,1.0416666666666667,1.1111111111111112
Cuttack,2019-05-01,96,105,110 liters of ID liquor,1.09375,1.2592592592592593
Kalahandi,2019-05-01,11,18,103 bottles of IMFL,1.6363636363636365,1.0
Bhubaneswar,2019-06-01,80,83,120 liters of ID liquor,1.0375,1.0096153846153846
Ganjam,2019-06-01,47,47,101 liters of ID liquor,1.0,1.0
Koraput,2019-06-01,30,30,110 pouches of country liquor,1.0,1.2903225806451613
Sambalpur,2019-06-01,45,47,83 bottles of IMFL,1.0444444444444445,1.0
Puri,2019-06-01,44,44,88 bottles of IMFL,1.0,1.0666666666666667
Balasore,2019-06-01,36,36,109 bottles of IMFL,1.0,1.1944444444444444
Rourkela,2019-06-01,51,51,102 liters of ID liquor,1.0,1.2096774193548387
Mayurbhanj,2019-06-01,18,20,123 bottles of IMFL,1.1111111111111112,1.0869565217391304
Cuttack,2019-06-01,81,102,98 pouches of country liquor,1.2592592592592593,1.0
Kalahandi,2019-06-01,21,21,102 bottles of IMFL,1.0,1.1363636363636365
Bhubaneswar,2019-07-01,104,105,109 bottles of IMFL,1.0096153846153846,1.116504854368932
Ganjam,2019-07-01,59,59,103 liters of ID liquor,1.0,1.05
Koraput,2019-07-01,31,40,109 liters of ID liquor,1.2903225806451613,1.4482758620689655
Sambalpur,2019-07-01,47,47,531 kg of fermented wash destroyed,1.0,1.0
Puri,2019-07-01,30,32,102 bottles of IMFL,1.0666666666666667,1.0
Balasore,2019-07-01,36,43,115 pouches of country liquor,1.1944444444444444,1.255813953488372
Rourkela,2019-07-01,62,75,491 kg of fermented wash destroyed,1.2096774193548387,1.2372881355932204
Mayurbhanj,2019-07-01,23,25,102 bottles of IMFL,1.0869565217391304,1.1428571428571428
Cuttack,2019-07-01,66,66,82 liters of ID liquor,1.0,1.1326530612244898
Kalahandi,2019-07-01,22,25,103 bottles of IMFL,1.1363636363636365,1.2380952380952381
Bhubaneswar,2019-08-01,103,115,98 pouches of country liquor,1.116504854368932,1.1862745098039216
Ganjam,2019-08-01,40,42,514 kg of fermented wash destroyed,1.05,1.1363636363636365
Koraput,2019-08-01,29,42,503 kg of fermented wash destroyed,1.4482758620689655,1.1379310344827587
Sambalpur,2019-08-01,38,38,93 liters of ID liquor,1.0,1.0454545454545454
Puri,2019-08-01,30,30,115 bottles of IMFL,1.0,1.1764705882352942
Balasore,2019-08-01,43,54,96 pouches of country liquor,1.255813953488372,1.469387755102041
Rourkela,2019-08-01,59,73,107 bottles of IMFL,1.2372881355932204,1.1971830985915493
Mayurbhanj,2019-08-01,21,24,94 liters of ID liquor,1.1428571428571428,1.3333333333333333
Cuttack,2019-08-01,98,111,75 liters of ID liquor,1.1326530612244898,1.0
Kalahandi,2019-08-01,21,26,511 kg of fermented wash destroyed,1.2380952380952381,1.25
Bhubaneswar,2019-09-01,102,121,96 bottles of IMFL,1.1862745098039216,1.12
Ganjam,2019-09-01,44,50,490 kg of fermented wash destroyed,1.1363636363636365,1.0
Koraput,2019-09-01,29,33,110 pouches of country liquor,1.1379310344827587,1.0
Sambalpur,2019-09-01,44,46,549 kg of fermented wash destroyed,1.0454545454545454,1.3
Puri,2019-09-01,34,40,94 liters of ID liquor,1.1764705882352942,1.096774193548387
Balasore,2019-09-01,49,72,479 kg of fermented wash destroyed,1.469387755102041,1.1666666666666667
Rourkela,2019-09-01,71,85,110 bottles of IMFL,1.1971830985915493,1.0869565217391304
Mayurbhanj,2019-09-01,27,36,103 liters of ID liquor,1.3333333333333333,1.0
Cuttack,2019-09-01,102,102,497 kg of fermented wash destroyed,1.0,1.4137931034482758
Kalahandi,2019-09-01,16,20,108 bottles of IMFL,1.25,1.0
Bhubaneswar,2019-10-01,100,112,486 kg of fermented wash destroyed,1.12,1.180722891566265
Ganjam,2019-10-01,55,55,479 kg of fermented wash destroyed,1.0,1.0
Koraput,2019-10-01,26,26,97 liters of ID liquor,1.0,1.0
Sambalpur,2019-10-01,50,65,89 liters of ID liquor,1.3,1.0
Puri,2019-10-01,31,34,79 liters of ID liquor,1.096774193548387,1.5454545454545454
Balasore,2019-10-01,42,49,124 liters of ID liquor,1.1666666666666667,1.0238095238095237
Rourkela,2019-10-01,69,75,105 liters of ID liquor,1.0869565217391304,1.0
Mayurbhanj,2019-10-01,11,11,97 liters of ID liquor,1.0,1.2777777777777777
Cuttack,2019-10-01,87,123,502 kg of fermented wash destroyed,1.4137931034482758,1.0
Kalahandi,2019-10-01,18,18,114 bottles of IMFL,1.0,1.0
Bhubaneswar,2019-11-01,83,98,102 pouches of country liquor,1.180722891566265,1.1758241758241759
Ganjam,2019-11-01,45,45,95 bottles of IMFL,1.0,1.0
Koraput,2019-11-01,19,19,102 bottles of IMFL,1.0,1.0
Sambalpur,2019-11-01,45,45,86 pouches of country liquor,1.0,1.1578947368421053
Puri,2019-11-01,33,51,79 pouches of country liquor,1.5454545454545454,1.3055555555555556
Balasore,2019-11-01,42,43,120 bottles of IMFL,1.0238095238095237,1.105263157894737
Rourkela,2019-11-01,62,62,103 bottles of IMFL,1.0,1.0793650793650793
Mayurbhanj,2019-11-01,18,23,90 pouches of country liquor,1.2777777777777777,1.0
Cuttack,2019-11-01,80,80,102 bottles of IMFL,1.0,1.024390243902439
Kalahandi,2019-11-01,14,14,504 kg of fermented wash destroyed,1.0,1.1176470588235294
Bhubaneswar,2019-12-01,91,107,113 liters of ID liquor,1.1758241758241759,1.0
Ganjam,2019-12-01,45,45,98 pouches of country liquor,1.0,1.0
Koraput,2019-12-01,19,19,109 liters of ID liquor,1.0,1.0526315789473684
Sambalpur,2019-12-01,38,44,110 pouches of country liquor,1.1578947368421053,1.0465116279069768
Puri,2019-12-01,36,47,105 liters of ID liquor,1.3055555555555556,1.0512820512820513
Balasore,2019-12-01,57,63,84 liters of ID liquor,1.105263157894737,1.0
Rourkela,2019-12-01,63,68,104 bottles of IMFL,1.0793650793650793,1.0684931506849316
Mayurbhanj,2019-12-01,27,27,106 liters of ID liquor,1.0,1.0
Cuttack,2019-12-01,82,84,108 pouches of country liquor,1.024390243902439,1.051948051948052
Kalahandi,2019-12-01,17,19,512 kg of fermented wash destroyed,1.1176470588235294,1.0
Bhubaneswar,2020-01-01,90,90,103 pouches of country liquor,1.0,1.125
Ganjam,2020-01-01,52,52,94 pouches of country liquor,1.0,1.037037037037037
Koraput,2020-01-01,19,20,92 liters of ID liquor,1.0526315789473684,1.4074074074074074
Sambalpur,2020-01-01,43,45,525 kg of fermented wash destroyed,1.0465116279069768,1.0444444444444445
Puri,2020-01-01,39,41,110 pouches of country liquor,1.0512820512820513,1.0571428571428572
Balasore,2020-01-01,43,43,110 bottles of IMFL,1.0,1.0
Rourkela,2020-01-01,73,78,514 kg of fermented wash destroyed,1.0684931506849316,1.056338028169014
Mayurbhanj,2020-01-01,20,20,112 bottles of IMFL,1.0,1.0
Cuttack,2020-01-01,77,81,510 kg of fermented wash destroyed,1.051948051948052,1.0
Kalahandi,2020-01-01,18,18,500 kg of fermented wash destroyed,1.0,1.1818181818181819
Bhubaneswar,2020-02-01,96,108,96 liters of ID liquor,1.125,1.0121951219512195
Ganjam,2020-02-01,54,56,88 bottles of IMFL,1.037037037037037,1.064516129032258
Koraput,2020-02-01,27,38,92 pouches of country liquor,1.4074074074074074,1.0
Sambalpur,2020-02-01,45,47,102 bottles of IMFL,1.0444444444444445,1.2545454545454546
Puri,2020-02-01,35,37,96 liters of ID liquor,1.0571428571428572,1.2222222222222223
Balasore,2020-02-01,56,56,98 pouches of country liquor,1.0,1.2820512820512822
Rourkela,2020-02-01,71,75,118 liters of ID liquor,1.056338028169014,1.0461538461538462
Mayurbhanj,2020-02-01,22,22,112 pouches of country liquor,1.0,1.3703703703703705
Cuttack,2020-02-01,67,67,102 bottles of IMFL,1.0,1.160919540229885
Kalahandi,2020-02-01,22,26,104 liters of ID liquor,1.1818181818181819,1.0555555555555556
Bhubaneswar,2020-03-01,82,83,91 bottles of IMFL,1.0121951219512195,1.32
Ganjam,2020-03-01,62,66,105 pouches of country liquor,1.064516129032258,1.0851063829787233
Koraput,2020-03-01,30,30,111 pouches of country liquor,1.0,1.28125
Sambalpur,2020-03-01,55,69,471 kg of fermented wash destroyed,1.2545454545454546,1.302325581395349
Puri,2020-03-01,36,44,98 liters of ID liquor,1.2222222222222223,1.0
Balasore,2020-03-01,39,50,103 pouches of country liquor,1.2820512820512822,1.0576923076923077
Rourkela,2020-03-01,65,68,105 bottles of IMFL,1.0461538461538462,1.1139240506329113
Mayurbhanj,2020-03-01,27,37,102 bottles of IMFL,1.3703703703703705,1.0
Cuttack,2020-03-01,87,101,111 liters of ID liquor,1.160919540229885,1.10989010989011
Kalahandi,2020-03-01,18,19,105 liters of ID liquor,1.0555555555555556,1.0
Bhubaneswar,2020-04-01,75,99,529 kg of fermented wash destroyed,1.32,1.1866666666666668
Ganjam,2020-04-01,47,51,89 pouches of country liquor,1.0851063829787233,1.25
Koraput,2020-04-01,32,41,101 liters of ID liquor,1.28125,1.68
Sambalpur,2020-04-01,43,56,99 pouches of country liquor,1.302325581395349,1.0
Puri,2020-04-01,42,42,99 pouches of country liquor,1.0,1.3076923076923077
Balasore,2020-04-01,52,55,115 bottles of IMFL,1.0576923076923077,1.2380952380952381
Rourkela,2020-04-01,79,88,79 pouches of country liquor,1.1139240506329113,1.15
Mayurbhanj,2020-04-01,23,23,98 bottles of IMFL,1.0,1.391304347826087
Cuttack,2020-04-01,91,101,109 liters of ID liquor,1.10989010989011,1.3066666666666666
Kalahandi,2020-04-01,15,15,108 liters of ID liquor,1.0,1.0
Bhubaneswar,2020-05-01,75,89,104 pouches of country liquor,1.1866666666666668,1.0
Ganjam,2020-05-01,52,65,84 liters of ID liquor,1.25,1.297872340425532
Koraput,2020-05-01,25,42,113 liters of ID liquor,1.68,1.0
Sambalpur,2020-05-01,46,46,103 pouches of country liquor,1.0,1.0277777777777777
